workload	primary_class	secondary_classes	evidence_paths	evidence_backed_rationale	validator_status
ATAX					UNFILLED_PENDING_FAST64_4_PASS
BICG					UNFILLED_PENDING_FAST64_4_PASS
GESUMMV					UNFILLED_PENDING_FAST64_4_PASS
GEMM					UNFILLED_PENDING_FAST64_4_PASS
2DConvolution					UNFILLED_PENDING_FAST64_4_PASS
Btree					UNFILLED_PENDING_FAST64_4_PASS
DWT2D					UNFILLED_PENDING_FAST64_4_PASS
Gaussian					UNFILLED_PENDING_FAST64_4_PASS
Hotspot1					UNFILLED_PENDING_FAST64_4_PASS
LUD					UNFILLED_PENDING_FAST64_4_PASS
NN					UNFILLED_PENDING_FAST64_4_PASS
MRI-Q					UNFILLED_PENDING_FAST64_4_PASS
