schema	FAST64_6_PHYSICAL_COVERAGE_V1
status	PRELIMINARY_EXECUTION_COVERAGE_NONPROMOTING
as_of_utc	2026-09-11T02:31:47Z
classification	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE
scope	FROZEN_FAST64_6_PHYSICAL_IO_OO_ROSTER_ONLY
workload	physical_pool_kib	mode	modeled_value	coverage_state	attempt_or_evidence	qualification_note
BICG	16.5	IO	132_lines_16896B	PRESERVED_FAILED_NOT_RESULT	fast64_sens_v1_bicg_physical16p5_io	SOURCE_BACKED_CAPACITY_BOUND_IO_DEADLOCK
BICG	16.5	OO	132_lines_16896B	PRESERVED_FAILED_NOT_RESULT	fast64_sens_v1_bicg_physical16p5_oo;fast64_6_bicg_physical16p5_oo_coref283_diag_v1	SOURCE_BACKED_CAPACITY_BOUND_RESOURCE_DEADLOCK
BICG	24	IO	192_lines_24576B	STRICT_TERMINAL_PRECOMPUTE	generated/fast64_6_precomputed_v1/fast64_sens_v1_bicg_physical24_io.json	NO_LOGICAL_PROMOTION
BICG	24	OO	192_lines_24576B	STRICT_TERMINAL_PRECOMPUTE	generated/fast64_6_precomputed_v1/fast64_sens_v1_bicg_physical24_oo.json	NO_LOGICAL_PROMOTION
BICG	32	IO	256_lines_32768B	STRICT_TERMINAL_PRECOMPUTE	generated/fast64_6_precomputed_v3/fast64_sens_v5_bicg_physical32_io.json	NO_LOGICAL_PROMOTION
BICG	32	OO	256_lines_32768B	STRICT_TERMINAL_PRECOMPUTE	generated/fast64_6_precomputed_v9/fast64_sens_v6_bicg_physical32_oo.json	NO_LOGICAL_PROMOTION
BICG	40	IO	320_lines_40960B	STRICT_TERMINAL_PRECOMPUTE	generated/fast64_6_precomputed_v5/fast64_sens_v7_bicg_physical40_io.json	NO_LOGICAL_PROMOTION
BICG	40	OO	320_lines_40960B	STRICT_TERMINAL_PRECOMPUTE	generated/fast64_6_precomputed_v6/fast64_sens_v8_bicg_physical40_oo.json	NO_LOGICAL_PROMOTION
BICG	48	IO	384_lines_49152B	STRICT_TERMINAL_PRECOMPUTE	generated/fast64_6_precomputed_v7/fast64_sens_v9_bicg_physical48_io.json	NO_LOGICAL_PROMOTION
BICG	48	OO	384_lines_49152B	STRICT_TERMINAL_PRECOMPUTE	generated/fast64_6_precomputed_v7/fast64_sens_v10_bicg_physical48_oo.json	NO_LOGICAL_PROMOTION
GESUMMV	16.5	IO	132_lines_16896B	PRESERVED_FAILED_NOT_RESULT	fast64_sens_v1_gesummv_physical16p5_io;fast64_6_gesummv_physical16p5_io_coref283_diag_v2	SOURCE_BACKED_CAPACITY_BOUND_RESOURCE_DEADLOCK
GESUMMV	16.5	OO	132_lines_16896B	PRESERVED_FAILED_NOT_RESULT	fast64_sens_v1_gesummv_physical16p5_oo;fast64_6_gesummv_physical16p5_oo_coref283_diag_v2	SOURCE_BACKED_CAPACITY_BOUND_RESOURCE_DEADLOCK
GESUMMV	24	IO	192_lines_24576B	STRICT_TERMINAL_PRECOMPUTE	generated/fast64_6_precomputed_v1/fast64_sens_v1_gesummv_physical24_io.json	NO_LOGICAL_PROMOTION
GESUMMV	24	OO	192_lines_24576B	STRICT_TERMINAL_PRECOMPUTE	generated/fast64_6_precomputed_v1/fast64_sens_v1_gesummv_physical24_oo.json	NO_LOGICAL_PROMOTION
GESUMMV	32	IO	256_lines_32768B	STRICT_TERMINAL_PRECOMPUTE	generated/fast64_6_precomputed_v8/fast64_sens_v11_gesummv_physical32_io.json	NO_LOGICAL_PROMOTION
GESUMMV	32	OO	256_lines_32768B	STRICT_TERMINAL_PRECOMPUTE	generated/fast64_6_precomputed_v8/fast64_sens_v12_gesummv_physical32_oo.json	NO_LOGICAL_PROMOTION
