schema	FAST64_PROVISIONAL_STAGE4_TRIPLETS_V1
status	PRELIMINARY_NONPROMOTING
workload	core_sha	runtime_sha256	observer_sha256	framework_sha	payload_sha256	base_candidates	io_candidates	oo_candidates	instruction_identity	terminal_drain	identity_status
2DConvolution	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	23bcc08b04d82fc527ffc1365d3199f4d1f3057bf6a2705d1110c5c226227d64	0	1	1	PENDING	PENDING	INCOMPLETE_OR_MULTIPLE_CANDIDATES
ATAX	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	b6dcd0e3807bd71449d2283f97ba43a91868cb761e7b4924dd3d3063340a94ba	1	1	1	COMMON	PASS	COMMON_IDENTITY_CANDIDATE
ATAX	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	b6dcd0e3807bd71449d2283f97ba43a91868cb761e7b4924dd3d3063340a94ba	2	1	0	PENDING	PENDING	INCOMPLETE_OR_MULTIPLE_CANDIDATES
BICG	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b	1	1	1	COMMON	PASS	COMMON_IDENTITY_CANDIDATE
BICG	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b	1	3	2	PENDING	PENDING	INCOMPLETE_OR_MULTIPLE_CANDIDATES
Btree	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467	1	1	1	COMMON	PASS	COMMON_IDENTITY_CANDIDATE
DWT2D	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	337087fedad435cd92cbd7e0f962f90d567ec9e77038fd8150977b7c6beb7164	1	2	2	PENDING	PENDING	INCOMPLETE_OR_MULTIPLE_CANDIDATES
GEMM	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	fd9a9430fc95eb0af4c73b9710db271f8e32bff4ea2f5dd08a4e8e17c9b02057	1	1	1	COMMON	PASS	HISTORICAL_CORE_NONPROMOTING
GESUMMV	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	1	2	0	PENDING	PENDING	INCOMPLETE_OR_MULTIPLE_CANDIDATES
Gaussian	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	6dc7caba6733657293e8c517467bac28890ae4eb97c732ffd245d7fd1c479fb9	1	2	2	PENDING	PENDING	INCOMPLETE_OR_MULTIPLE_CANDIDATES
