workload	mode	summary	origin	cap_disposition	retry_resolution
ATAX	BASE	docs/dtc_l1/fast64/generated/fast64_repaired_ramp3_v1/fast64_atax_base_core95ccdb7a_a1_r1.json	CORE95_COMMON_TRIPLET_CAP_INERT	ZERO	CAP_RESOLUTION_AUTHORITY_V1
ATAX	IO	docs/dtc_l1/fast64/generated/fast64_repaired_ramp3_v1/fast64_atax_io_core95ccdb7a_a1_r1.json	CORE95_COMMON_TRIPLET_CAP_INERT	ZERO	CAP_RESOLUTION_AUTHORITY_V1
ATAX	OO	docs/dtc_l1/fast64/generated/fast64_repaired_ramp_v1/fast64_atax_oo_core95ccdb7a_a1_r1.json	CORE95_COMMON_TRIPLET_CAP_INERT	ZERO	CAP_RESOLUTION_AUTHORITY_V1
BICG	BASE	docs/dtc_l1/fast64/generated/fast64_repaired_ramp2_v1/fast64_bicg_base_core95ccdb7a_a1_r1.json	CORE95_COMMON_TRIPLET_CAP_INERT	ZERO	CAP_RESOLUTION_AUTHORITY_V1
BICG	IO	docs/dtc_l1/fast64/generated/fast64_repaired_ramp2_v1/fast64_bicg_io_core95ccdb7a_a1_r1.json	CORE95_COMMON_TRIPLET_CAP_INERT	ZERO	CAP_RESOLUTION_AUTHORITY_V1
BICG	OO	docs/dtc_l1/fast64/generated/fast64_repaired_ramp2_v1/fast64_bicg_oo_core95ccdb7a_a1_r1.json	CORE95_COMMON_TRIPLET_CAP_INERT	ZERO	CAP_RESOLUTION_AUTHORITY_V1
GESUMMV	BASE	docs/dtc_l1/fast64/generated/fast64_repaired_ramp2_v1/fast64_gesummv_base_core95ccdb7a_a1_r1.json	CORE95_COMMON_TRIPLET_CAP_INERT	ZERO	CAP_RESOLUTION_AUTHORITY_V1
GESUMMV	IO	docs/dtc_l1/fast64/generated/fast64_repaired_ramp3_v1/fast64_gesummv_io_core95ccdb7a_a1_r1.json	CORE95_COMMON_TRIPLET_CAP_INERT	ZERO	CAP_RESOLUTION_AUTHORITY_V1
GESUMMV	OO	docs/dtc_l1/fast64/generated/fast64_repaired_ramp_v1/fast64_gesummv_oo_core95ccdb7a_a1_r1.json	CORE95_COMMON_TRIPLET_CAP_INERT	ZERO	CAP_RESOLUTION_AUTHORITY_V1
GEMM	BASE	docs/dtc_l1/fast64/generated/fast64_3_gemm_base_alias_v4/fast64_3_precomputed_gemm_base_cap8192_a1_r2.json	LITERAL_BBCBB_COMMON_TRIPLET_CAP_INERT	ZERO	CAP_RESOLUTION_AUTHORITY_V1
GEMM	IO	docs/dtc_l1/fast64/generated/fast64_4_precomputed_rows_v1/fast64_4_gemm_io_cap8192_a1_v3.json	LITERAL_BBCBB_COMMON_TRIPLET_CAP_INERT	ZERO	CAP_RESOLUTION_AUTHORITY_V1
GEMM	OO	docs/dtc_l1/fast64/generated/fast64_4_precomputed_rows_v1/fast64_4_gemm_oo_cap8192_a1_v3.json	LITERAL_BBCBB_COMMON_TRIPLET_CAP_INERT	ZERO	CAP_RESOLUTION_AUTHORITY_V1
2DConvolution	BASE	docs/dtc_l1/fast64/generated/fast64_3_tag_identity_repair_v2/fast64_3_2DConvolution_base_core6587238c_a1_v1.json	CORE658_COMMON_TRIPLET_CAP_INERT	ZERO	CAP_RESOLUTION_AUTHORITY_V1
2DConvolution	IO	docs/dtc_l1/fast64/generated/fast64_4_cap16384_recovery_v1/fast64_4_2DConvolution_io_cap16384_core658_a1_v1.json	CORE658_COMMON_TRIPLET_CAP_INERT	ZERO	CAP_RESOLUTION_AUTHORITY_V1
2DConvolution	OO	docs/dtc_l1/fast64/generated/fast64_4_2d_tag_identity_v2/fast64_4_primary_2DConvolution_oo_core6587238c_a1_v1.json	CORE658_COMMON_TRIPLET_CAP_INERT	ZERO	CAP_RESOLUTION_AUTHORITY_V1
Btree	BASE	docs/dtc_l1/fast64/generated/fast64_repaired_ramp_v1/fast64_btree_base_core95ccdb7a_a1_r1.json	CORE95_COMMON_TRIPLET_CAP_INERT	ZERO	CAP_RESOLUTION_AUTHORITY_V1
Btree	IO	docs/dtc_l1/fast64/generated/fast64_repaired_ramp_v1/fast64_btree_io_core95ccdb7a_a1_r1.json	CORE95_COMMON_TRIPLET_CAP_INERT	ZERO	CAP_RESOLUTION_AUTHORITY_V1
Btree	OO	docs/dtc_l1/fast64/generated/fast64_repaired_ramp_v1/fast64_btree_oo_core95ccdb7a_a1_r1.json	CORE95_COMMON_TRIPLET_CAP_INERT	ZERO	CAP_RESOLUTION_AUTHORITY_V1
DWT2D	BASE	docs/dtc_l1/fast64/generated/fast64_3_dwt2d_base_alias_v3/fast64_3_precomputed_dwt2d_base_cap8192_a1_r2.json	LITERAL_BBCBB_COMMON_TRIPLET_CAP_INERT	ZERO	CAP_RESOLUTION_AUTHORITY_V1
DWT2D	IO	docs/dtc_l1/fast64/generated/fast64_4_precomputed_rows_v1/fast64_4_dwt2d_io_cap8192_a1_v3_recovered_v2.json	LITERAL_BBCBB_COMMON_TRIPLET_CAP_INERT	ZERO	CAP_RESOLUTION_AUTHORITY_V1
DWT2D	OO	docs/dtc_l1/fast64/generated/fast64_4_precomputed_rows_v1/fast64_4_dwt2d_oo_cap8192_a1_v3_recovered_v2.json	LITERAL_BBCBB_COMMON_TRIPLET_CAP_INERT	ZERO	CAP_RESOLUTION_AUTHORITY_V1
Gaussian	BASE	docs/dtc_l1/fast64/generated/fast64_4_cap16384_recovery_v1/fast64_4_Gaussian_base_cap16384_core95_a1_v1.json	CORE95_COMMON_TRIPLET_CAP_INERT	ZERO	CAP_RESOLUTION_AUTHORITY_V1
Gaussian	IO	docs/dtc_l1/fast64/generated/fast64_4_cap16384_recovery_v1/fast64_4_Gaussian_io_cap16384_core95_a1_v1.json	CORE95_COMMON_TRIPLET_CAP_INERT	ZERO	CAP_RESOLUTION_AUTHORITY_V1
Gaussian	OO	docs/dtc_l1/fast64/generated/fast64_4_cap16384_recovery_v1/fast64_4_Gaussian_oo_cap16384_core95_a1_v1.json	CORE95_COMMON_TRIPLET_CAP_INERT	ZERO	CAP_RESOLUTION_AUTHORITY_V1
Hotspot1	BASE	docs/dtc_l1/fast64/generated/fast64_repaired_core_qual_v1/fast64_hotspot1_base_core95ccdb7a_a1_v1.json	CORE95_COMMON_TRIPLET_CAP_INERT	ZERO	CAP_RESOLUTION_AUTHORITY_V1
Hotspot1	IO	docs/dtc_l1/fast64/generated/fast64_4_cap32768_recovery_v1/fast64_4_Hotspot1_io_cap32768_core95_a1_v1.json	CORE95_COMMON_TRIPLET_FINAL_CAP	ZERO	CAP_RESOLUTION_AUTHORITY_V1
Hotspot1	OO	docs/dtc_l1/fast64/generated/fast64_4_cap32768_recovery_v1/fast64_4_Hotspot1_oo_cap32768_core95_a1_v1.json	CORE95_COMMON_TRIPLET_FINAL_CAP	ZERO	CAP_RESOLUTION_AUTHORITY_V1
LUD	BASE	docs/dtc_l1/fast64/generated/fast64_4_cap16384_recovery_v1/fast64_4_LUD_base_cap16384_core95_a1_v1.json	CORE95_COMMON_TRIPLET_CAP_INERT	ZERO	CAP_RESOLUTION_AUTHORITY_V1
LUD	IO	docs/dtc_l1/fast64/generated/fast64_4_cap16384_recovery_v1/fast64_4_LUD_io_cap16384_core95_a1_v1.json	CORE95_COMMON_TRIPLET_CAP_INERT	ZERO	CAP_RESOLUTION_AUTHORITY_V1
LUD	OO	docs/dtc_l1/fast64/generated/fast64_4_cap16384_recovery_v1/fast64_4_LUD_oo_cap16384_core95_a1_v1.json	CORE95_COMMON_TRIPLET_CAP_INERT	ZERO	CAP_RESOLUTION_AUTHORITY_V1
NN	BASE	docs/dtc_l1/fast64/generated/fast64_3_nn_core95_v1/fast64_3_nn_base_core95ccdb7a_a1_v1.json	CORE95_COMMON_TRIPLET_CAP_INERT	ZERO	CAP_RESOLUTION_AUTHORITY_V1
NN	IO	docs/dtc_l1/fast64/generated/fast64_4_primary_core95_v1/fast64_4_primary_nn_io_core95ccdb7a_a1_v1.json	CORE95_COMMON_TRIPLET_CAP_INERT	ZERO	CAP_RESOLUTION_AUTHORITY_V1
NN	OO	docs/dtc_l1/fast64/generated/fast64_4_primary_core95_v1/fast64_4_primary_nn_oo_core95ccdb7a_a1_v1.json	CORE95_COMMON_TRIPLET_CAP_INERT	ZERO	CAP_RESOLUTION_AUTHORITY_V1
MRI-Q	BASE	docs/dtc_l1/fast64/generated/fast64_repaired_ramp_v1/fast64_mriq_base_core95ccdb7a_a1_r1.json	CORE95_COMMON_TRIPLET_CAP_INERT	ZERO	CAP_RESOLUTION_AUTHORITY_V1
