schema	FAST64_6_BICG_LOGICAL_OO_TERMINAL_REGISTRY_V1
status	STRICT_TERMINAL_PRECOMPUTE_NONPROMOTING
classification	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE
workload	BICG
dimension	logical
mode	OO
scientific_framework_sha	037f008b330eb230353b60edf126d6be9f45afdc
formal_core_sha	95ccdb7a056f2d53f740d90869785cac6d4ee0f5
formal_runtime_sha256	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9
observer_sha256	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e
logical_kib	config_sha256	attempt_uuid	terminal_utc	cycles	instructions	lower_create_issue_response	lower_credit_acquire_release	dependency_count_closed	final_lower	final_pib	final_inflight	final_active_refs	lower_cap_full_events	compact_evidence	compact_sha256
16	546c68f96d47f4650703ccfbc925bd789f923501d5607a77e79ca4845f234caa	a5c57367-b457-4d9a-a881-ac56676f9a36	2026-09-11T11:19:47Z	47231655	145666048	17814913/17814913/17814913	17814913/17814913	18350080/18350080	0	0	0	0	0	generated/fast64_6_logical_precomputed_v1/fast64_sens_logical16_bicg_oo_core95_a1_v1.json	9e4028f6e11ac04f45ec1a77dc3ebda056312b31265f7723bc4b6de8001dbcd5
32	cab21e03554de67271b7c7493c397ca2a30747f3d7fbc8ca6cc7d22bc5f3c399	5d14827b-24cc-4f63-99f8-a62be31a605a	2026-09-11T10:56:42Z	47182217	145666048	17813954/17813954/17813954	17813954/17813954	18350080/18350080	0	0	0	0	0	generated/fast64_6_logical_precomputed_v1/fast64_sens_logical32_bicg_oo_core95_a1_v1.json	25fb3d9d23dbdfb70678b1681fc0b2db8fe61253ff4b00799a6c8368331777aa
64	313ff9096e3255735829cb45df28a432be38b1fd4161e381868e10da17fa144f	9338a339-d81a-4eb4-8a47-2de9fee18595	2026-09-11T11:05:13Z	42468441	145666048	17797218/17797218/17797218	17797218/17797218	18350080/18350080	0	0	0	0	0	generated/fast64_6_logical_precomputed_v1/fast64_sens_logical64_bicg_oo_core95_a1_v1.json	00fbeabef21d6b23822654789fff469ef9f5986dfbea9cf9ad2479a9671cd219
