schema	FAST64_6_BICG_LOGICAL_IO_PARTIAL_TERMINAL_REGISTRY_V1
status	STRICT_TERMINAL_PRECOMPUTE_NONPROMOTING
classification	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE
workload	BICG
dimension	logical
mode	IO
scientific_framework_sha	037f008b330eb230353b60edf126d6be9f45afdc
formal_core_sha	95ccdb7a056f2d53f740d90869785cac6d4ee0f5
formal_runtime_sha256	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9
observer_sha256	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e
logical_kib	config_sha256	attempt_uuid	terminal_utc	cycles	instructions	lower_create_issue_response	lower_credit_acquire_release	dependency_count_closed	final_lower	final_pib	final_inflight	lower_cap_full_events	compact_evidence	compact_sha256
16	d4a2d9d0088946b950370b922a8d8e34422bbca9bac26f109b3977fe02a7f621	71ec3e18-9e0c-4cba-a485-651255d4f391	2026-09-11T14:46:08Z	93942704	145666048	17821394/17821394/17821394	17821394/17821394	18350080/18350080	0	0	0	0	generated/fast64_6_logical_precomputed_v1/fast64_sens_logical16_bicg_io_core95_a1_v1.json	4c0deedd8ffe00908e064c31d7f46689e9851f228f7313f7cb65a6dba32080b4
32	fc760923bdea08ce1b256b7944171042a33e74fbe8b5844e7fa582f9bd43d2e3	d52c6d90-8c5d-4319-b84a-5261c9813b57	2026-09-11T14:45:54Z	93942704	145666048	17821394/17821394/17821394	17821394/17821394	18350080/18350080	0	0	0	0	generated/fast64_6_logical_precomputed_v1/fast64_sens_logical32_bicg_io_core95_a1_v1.json	30acd6c51336599619b8237ddb098a10919a667d290b1ee60867fdd538f58f35
64	35b84094cf357a593606fc1f334d91317932caebd6d78084040cb9c0d9edb5aa	e62a6b65-37b0-4d7d-9b61-cd73e56749f1	2026-09-11T15:30:51Z	93697186	145666048	17818019/17818019/17818019	17818019/17818019	18350080/18350080	0	0	0	0	generated/fast64_6_logical_precomputed_v1/fast64_sens_logical64_bicg_io_core95_a1_v1.json	3ad89985dd43b2e79b4cf3e54d88d1363bb24900cebdde955487c2b87331e5ad
