option	BASE	IO	OO	classification
-gpgpu_frfcfs_dram_sched_queue_size	64	64	64	COMMON
-gpgpu_gmem_skip_L1D	0	0	0	COMMON
-gpgpu_heap_size_limit	8388608	8388608	8388608	COMMON
-gpgpu_inst_fetch_throughput	4	4	4	COMMON
-gpgpu_kernel_launch_latency	5000	5000	5000	COMMON
-gpgpu_l1_banks	4	4	4	COMMON
-gpgpu_l1_cache_write_ratio	0	0	0	COMMON
-gpgpu_l1_latency	20	20	20	COMMON
-gpgpu_l2_rop_latency	200	200	200	COMMON
-gpgpu_max_concurrent_kernel	128	128	128	COMMON
-gpgpu_max_insn_issue_per_warp	1	1	1	COMMON
-gpgpu_mem_address_mask	1	1	1	COMMON
-gpgpu_memlatency_stat	14	14	14	COMMON
-gpgpu_memory_partition_indexing	0	0	0	COMMON
-gpgpu_n_cluster_ejection_buffer_size	32	32	32	COMMON
-gpgpu_n_clusters	64	64	64	COMMON
-gpgpu_n_cores_per_cluster	1	1	1	COMMON
-gpgpu_n_mem	20	20	20	COMMON
-gpgpu_n_mem_per_ctrlr	1	1	1	COMMON
-gpgpu_n_sub_partition_per_mchannel	2	2	2	COMMON
-gpgpu_num_dp_units	4	4	4	COMMON
-gpgpu_num_int_units	4	4	4	COMMON
-gpgpu_num_reg_banks	16	16	16	COMMON
-gpgpu_num_sched_per_core	4	4	4	COMMON
-gpgpu_num_sfu_units	4	4	4	COMMON
-gpgpu_num_sp_units	4	4	4	COMMON
-gpgpu_num_tensor_core_units	4	4	4	COMMON
-gpgpu_occupancy_sm_number	64	64	64	COMMON
-gpgpu_operand_collector_num_in_ports_gen	8	8	8	COMMON
-gpgpu_operand_collector_num_out_ports_gen	8	8	8	COMMON
-gpgpu_operand_collector_num_units_gen	8	8	8	COMMON
-gpgpu_perf_sim_memcpy	1	1	1	COMMON
-gpgpu_perfect_inst_const_cache	1	1	1	COMMON
-gpgpu_pipeline_widths	4,4,4,4,4,4,4,4,4,4,8,4,4	4,4,4,4,4,4,4,4,4,4,8,4,4	4,4,4,4,4,4,4,4,4,4,8,4,4	COMMON
-gpgpu_ptx_convert_to_ptxplus	0	0	0	COMMON
-gpgpu_ptx_force_max_capability	70	70	70	COMMON
-gpgpu_ptx_instruction_classification	0	0	0	COMMON
-gpgpu_ptx_save_converted_ptxplus	0	0	0	COMMON
-gpgpu_ptx_sim_mode	0	0	0	COMMON
-gpgpu_reg_file_port_throughput	2	2	2	COMMON
-gpgpu_registers_per_block	65536	65536	65536	COMMON
-gpgpu_runtime_pending_launch_count_limit	2048	2048	2048	COMMON
-gpgpu_runtime_stat	500000	500000	500000	COMMON
-gpgpu_runtime_sync_depth_limit	2	2	2	COMMON
-gpgpu_scheduler	gto	gto	gto	COMMON
-gpgpu_shader_core_pipeline	2048:32	2048:32	2048:32	COMMON
-gpgpu_shader_cta	32	32	32	COMMON
-gpgpu_shader_registers	65536	65536	65536	COMMON
-gpgpu_shmem_limited_broadcast	0	0	0	COMMON
-gpgpu_shmem_num_banks	32	32	32	COMMON
-gpgpu_shmem_option	0,8,16,32,64,96	0,8,16,32,64,96	0,8,16,32,64,96	COMMON
-gpgpu_shmem_per_block	65536	65536	65536	COMMON
-gpgpu_shmem_size	98304	98304	98304	COMMON
-gpgpu_shmem_sizeDefault	98304	98304	98304	COMMON
-gpgpu_shmem_size_PrefL1	98304	98304	98304	COMMON
-gpgpu_shmem_size_PrefShared	98304	98304	98304	COMMON
-gpgpu_shmem_warp_parts	1	1	1	COMMON
-gpgpu_simd_model	1	1	1	COMMON
-gpgpu_smem_latency	20	20	20	COMMON
-gpgpu_stack_size_limit	1024	1024	1024	COMMON
-gpgpu_sub_core_model	1	1	1	COMMON
-gpgpu_tensor_core_avail	1	1	1	COMMON
-gpgpu_tex_cache:l1	N:4:128:256,L:R:m:N:L,T:512:8,128:2	N:4:128:256,L:R:m:N:L,T:512:8,128:2	N:4:128:256,L:R:m:N:L,T:512:8,128:2	COMMON
-gpgpu_unified_l1d_size	128	128	128	COMMON
-icnt_arbiter_algo	1	1	1	COMMON
-icnt_flit_size	40	40	40	COMMON
-icnt_in_buffer_limit	512	512	512	COMMON
-icnt_out_buffer_limit	512	512	512	COMMON
-icnt_subnets	2	2	2	COMMON
-network_mode	2	2	2	COMMON
-ptx_opcode_initiation_dp	4,4,4,4,130	4,4,4,4,130	4,4,4,4,130	COMMON
-ptx_opcode_initiation_fp	2,2,2,2,4	2,2,2,2,4	2,2,2,2,4	COMMON
-ptx_opcode_initiation_int	2,2,2,2,8,4	2,2,2,2,8,4	2,2,2,2,8,4	COMMON
-ptx_opcode_initiation_sfu	8	8	8	COMMON
-ptx_opcode_initiation_tensor	64	64	64	COMMON
-ptx_opcode_latency_dp	8,19,8,8,330	8,19,8,8,330	8,19,8,8,330	COMMON
-ptx_opcode_latency_fp	4,13,4,5,39	4,13,4,5,39	4,13,4,5,39	COMMON
-ptx_opcode_latency_int	4,13,4,5,145,21	4,13,4,5,145,21	4,13,4,5,145,21	COMMON
-ptx_opcode_latency_sfu	100	100	100	COMMON
-ptx_opcode_latency_tesnor	64	64	64	COMMON
-visualizer_enabled	0	0	0	COMMON
