workload	lower_acquired	lower_released	lower_average	lower_peak	final_lower_outstanding	lower_cap_full_events
ATAX	19215755	19215755	UNSUPPORTED	512	0	0
BICG	19214879	19214879	UNSUPPORTED	512	0	0
GESUMMV	34394773	34394773	UNSUPPORTED	272	0	0
GEMM	16813388	16813388	UNSUPPORTED	2048	0	0
2DConvolution	8362183	8362183	UNSUPPORTED	1092	0	0
Btree	1458407	1458407	UNSUPPORTED	1876	0	0
DWT2D	757359	757359	UNSUPPORTED	2048	0	0
Gaussian	1951815	1951815	UNSUPPORTED	1646	0	0
Hotspot1	701725	701725	UNSUPPORTED	1486	0	0
LUD	1048098	1048098	UNSUPPORTED	2048	0	0
NN	10691	10691	UNSUPPORTED	2048	0	0
MRI-Q	62208	62208	UNSUPPORTED	2048	0	0
