workload	dimension	point	mode	summary	origin
BICG	logical	16	IO	docs/dtc_l1/fast64/generated/fast64_6_logical_precomputed_v1/fast64_sens_logical16_bicg_io_core95_a1_v1.json	STRICT_TERMINAL_SENSITIVITY
BICG	logical	16	OO	docs/dtc_l1/fast64/generated/fast64_6_logical_precomputed_v1/fast64_sens_logical16_bicg_oo_core95_a1_v1.json	STRICT_TERMINAL_SENSITIVITY
BICG	logical	32	IO	docs/dtc_l1/fast64/generated/fast64_6_logical_precomputed_v1/fast64_sens_logical32_bicg_io_core95_a1_v1.json	STRICT_TERMINAL_SENSITIVITY
BICG	logical	32	OO	docs/dtc_l1/fast64/generated/fast64_6_logical_precomputed_v1/fast64_sens_logical32_bicg_oo_core95_a1_v1.json	STRICT_TERMINAL_SENSITIVITY
BICG	logical	64	IO	docs/dtc_l1/fast64/generated/fast64_6_logical_precomputed_v1/fast64_sens_logical64_bicg_io_core95_a1_v1.json	STRICT_TERMINAL_SENSITIVITY
BICG	logical	64	OO	docs/dtc_l1/fast64/generated/fast64_6_logical_precomputed_v1/fast64_sens_logical64_bicg_oo_core95_a1_v1.json	STRICT_TERMINAL_SENSITIVITY
BICG	physical	24	IO	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_bicg_physical24_io.json	STRICT_TERMINAL_SENSITIVITY
BICG	physical	24	OO	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v1/fast64_sens_v1_bicg_physical24_oo.json	STRICT_TERMINAL_SENSITIVITY
BICG	physical	32	IO	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v3/fast64_sens_v5_bicg_physical32_io.json	STRICT_TERMINAL_SENSITIVITY
BICG	physical	32	OO	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v9/fast64_sens_v6_bicg_physical32_oo.json	STRICT_TERMINAL_SENSITIVITY
BICG	physical	40	IO	docs/dtc_l1/fast64/generated/fast64_6_precomputed_v5/fast64_sens_v7_bicg_physical40_io.json	STRICT_TERMINAL_SENSITIVITY
