schema	FAST64_6_PRECOMPUTE_DISPATCH_V2
status	ACTIVE_NONTERMINAL_IDENTITY_INDEX
classification	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE
scientific_framework_sha	037f008b330eb230353b60edf126d6be9f45afdc
config_materialization_sha	180e81c68816012165c26dab577e693b3b798292
formal_core_sha	95ccdb7a056f2d53f740d90869785cac6d4ee0f5
formal_runtime_sha256	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9
observer_sha256	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e
immutable_runner_sha256	bf9a84c8aab54ccd5d00a8465d69669cfac78012b783c3cfd9e0e4433062e6af
formal_core_worktree	/workspace/worktrees/gpgpu-sim-fast64-formal-95ccdb7a
row	workload	dimension	point	mode	cpu	supervisor_pid	simulator_pid	attempt_uuid	config_path	config_sha256	terminal_state
fast64_sens_v5_btree_physical24_oo	Btree	physical	24	OO	34	802052	802101	6d24efbd-473c-487e-b4d6-d93209a07d66	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_24/FAST64_SENS_PHYSICAL_24KB_OO.config	e716164318dd12a61c06a50e1c4b95794c8dcfdca242cf4b7121ab96f3a94b11	ACTIVE_NONTERMINAL
fast64_sens_v5_btree_physical40_io	Btree	physical	40	IO	35	802113	802165	bef2beaf-5bbd-45b2-b449-89008a3afc87	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_40/FAST64_SENS_PHYSICAL_40KB_IO.config	69a9c237c1e092a0365899ddd770962ffc39c3e7dbe876ce872d9c6be0cf6659	ACTIVE_NONTERMINAL
