workload	source_class	summary	structural	core_sha	runtime_sha256
ATAX	REUSABLE_SOURCE_INERT_BASE	fast64_3_atax_base_alias_v3/fast64_3_precomputed_atax_base_cap8192_a1_r2.json	fast64_3_atax_base_alias_v3/FAST64_3_ATAX_BASE_STRUCTURAL_METRICS_V1.json	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041
BICG	REUSABLE_SOURCE_INERT_BASE	qualification_r2_full_wave_alias_v2/fast64_1r2_bicg_base_cap8192_a1.json	fast64_3_bicg_base_structural_v1/FAST64_3_BICG_BASE_STRUCTURAL_METRICS_V1.json	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041
GESUMMV	REUSABLE_SOURCE_INERT_BASE	fast64_3_gesummv_base_alias_v3/fast64_3_precomputed_gesummv_base_cap8192_a1_r2.json	fast64_3_gesummv_base_alias_v3/FAST64_3_GESUMMV_BASE_STRUCTURAL_METRICS_V1.json	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041
GEMM	REUSABLE_SOURCE_INERT_BASE	fast64_3_gemm_base_alias_v4/fast64_3_precomputed_gemm_base_cap8192_a1_r2.json	fast64_3_gemm_base_alias_v4/FAST64_3_GEMM_BASE_STRUCTURAL_METRICS_V1.json	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041
2DConvolution	INVALID_HISTORICAL_BASE_PENDING_REPAIR	fast64_3_diagnostics_v1/fast64_3_2d_base_coref283_diag_v1.json	NONFORMAL_DIAGNOSTIC_NO_STRUCTURAL_RESULT	f2836ea1258ce64d2ca48e1b7a8ec8522060203f	361aada1e0fc166cb161670e0c9386dc63baad9c8f75587d34cfb69d51da48e7
Btree	REPAIRED_CORE_FRESH	fast64_repaired_ramp_v1/fast64_btree_base_core95ccdb7a_a1_r1.json	fast64_repaired_ramp_v1/FAST64_3_BTREE_BASE_STRUCTURAL_METRICS_V1.json	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9
DWT2D	REUSABLE_SOURCE_INERT_BASE	fast64_3_dwt2d_base_alias_v3/fast64_3_precomputed_dwt2d_base_cap8192_a1_r2.json	fast64_3_dwt2d_base_alias_v3/FAST64_3_DWT2D_BASE_STRUCTURAL_METRICS_V1.json	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041
Gaussian	REUSABLE_SOURCE_INERT_BASE	fast64_3_dynamic_base_v1/fast64_3_Gaussian_base_cap8192_a1_v2.json	fast64_3_dynamic_base_v1/FAST64_3_GAUSSIAN_BASE_STRUCTURAL_METRICS_V1.json	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041
Hotspot1	REPAIRED_CORE_FRESH	fast64_repaired_core_qual_v1/fast64_hotspot1_base_core95ccdb7a_a1_v1.json	fast64_repaired_core_qual_v1/FAST64_3_HOTSPOT1_REPAIRED_BASE_STRUCTURAL_METRICS_V1.json	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9
LUD	REUSABLE_SOURCE_INERT_BASE	fast64_3_dynamic_base_v1/fast64_3_LUD_base_cap8192_a1_v2.json	fast64_3_dynamic_base_v1/FAST64_3_LUD_BASE_STRUCTURAL_METRICS_V1.json	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041
NN	REPAIRED_CORE_FRESH	fast64_3_nn_core95_v1/fast64_3_nn_base_core95ccdb7a_a1_v1.json	fast64_3_nn_core95_v1/FAST64_3_NN_BASE_STRUCTURAL_METRICS_V1.json	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9
MRI-Q	REPAIRED_CORE_FRESH	fast64_repaired_ramp_v1/fast64_mriq_base_core95ccdb7a_a1_r1.json	fast64_repaired_ramp_v1/FAST64_3_MRI_Q_REPAIRED_BASE_STRUCTURAL_METRICS_V1.json	95ccdb7a056f2d53f740d90869785cac6d4ee0f5	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9
