schema	FAST64_6_PRECOMPUTE_DISPATCH_V1
status	MIXED_TERMINAL_ACTIVE_FAILED_IDENTITY_INDEX
classification	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE
scientific_framework_sha	037f008b330eb230353b60edf126d6be9f45afdc
config_materialization_sha	180e81c68816012165c26dab577e693b3b798292
formal_core_sha	95ccdb7a056f2d53f740d90869785cac6d4ee0f5
formal_runtime_sha256	462d105cf28efe98a8a20131fd671f3d28ad374a3e4b5448a597df702cc4dbc9
observer_sha256	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e
immutable_runner_sha256	bf9a84c8aab54ccd5d00a8465d69669cfac78012b783c3cfd9e0e4433062e6af
row	workload	dimension	point	mode	cpu	supervisor_pid	simulator_pid	attempt_uuid	config_path	config_sha256	terminal_state
fast64_sens_v1_bicg_physical16p5_io	BICG	physical	16.5	IO	24	466093	466148	cf459ee2-7ac4-4caa-8649-26eeb31d1d4e	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_16.5/FAST64_SENS_PHYSICAL_16p5KB_IO.config	475b8eab9b555c06ca3adeb2b011079eee01de0bf7b8bcca36e7c3adce7d9a77	FAILED_CAPACITY_BOUND_DEADLOCK_PRESERVED_NOT_RESULT
fast64_sens_v1_bicg_physical16p5_oo	BICG	physical	16.5	OO	25	466153	466208	a6061cae-52b5-4263-a7fd-04434386ffaa	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_16.5/FAST64_SENS_PHYSICAL_16p5KB_OO.config	f9855bce0b1480a529f894de15a2fd769233f83d837ee07e745f88c901782d31	FAILED_DEADLOCK_PRESERVED_NOT_RESULT_OO_DIAGNOSTIC_PENDING
fast64_sens_v1_gesummv_physical16p5_io	GESUMMV	physical	16.5	IO	26	466213	466261	8a6207ac-b653-4c4f-afb5-d298e8a91bcd	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_16.5/FAST64_SENS_PHYSICAL_16p5KB_IO.config	475b8eab9b555c06ca3adeb2b011079eee01de0bf7b8bcca36e7c3adce7d9a77	ACTIVE_NONTERMINAL
fast64_sens_v1_gesummv_physical16p5_oo	GESUMMV	physical	16.5	OO	27	466273	466323	2bde0d86-a872-4e2f-960c-262c5711ae45	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_16.5/FAST64_SENS_PHYSICAL_16p5KB_OO.config	f9855bce0b1480a529f894de15a2fd769233f83d837ee07e745f88c901782d31	ACTIVE_NONTERMINAL
fast64_sens_v1_btree_physical16p5_io	Btree	physical	16.5	IO	28	466333	466362	3936327b-fe50-4212-bb1d-b0e79b2c6e23	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_16.5/FAST64_SENS_PHYSICAL_16p5KB_IO.config	475b8eab9b555c06ca3adeb2b011079eee01de0bf7b8bcca36e7c3adce7d9a77	STRICT_TERMINAL_PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE
fast64_sens_v1_btree_physical16p5_oo	Btree	physical	16.5	OO	29	480861	480922	3a34fc35-38d0-48f3-a0e0-399f72c348f1	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_16.5/FAST64_SENS_PHYSICAL_16p5KB_OO.config	f9855bce0b1480a529f894de15a2fd769233f83d837ee07e745f88c901782d31	STRICT_TERMINAL_PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE
fast64_sens_v1_bicg_physical24_io	BICG	physical	24	IO	30	480931	480992	15f1c709-7c73-439c-93f6-f64f2c7623f4	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_24/FAST64_SENS_PHYSICAL_24KB_IO.config	6d8ab5fa96097c3aac520e0996ef6d3d57c4098646a646b74b02e4264a014d54	ACTIVE_NONTERMINAL
fast64_sens_v1_bicg_physical24_oo	BICG	physical	24	OO	31	481001	481056	e33abcc8-c43f-4599-a55b-4e895fe2fe32	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_24/FAST64_SENS_PHYSICAL_24KB_OO.config	e716164318dd12a61c06a50e1c4b95794c8dcfdca242cf4b7121ab96f3a94b11	ACTIVE_NONTERMINAL
fast64_sens_v1_gesummv_physical24_io	GESUMMV	physical	24	IO	32	481061	481112	e90ad9ea-0b57-4de3-91ff-011a07599110	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_24/FAST64_SENS_PHYSICAL_24KB_IO.config	6d8ab5fa96097c3aac520e0996ef6d3d57c4098646a646b74b02e4264a014d54	ACTIVE_NONTERMINAL
fast64_sens_v1_gesummv_physical24_oo	GESUMMV	physical	24	OO	33	481121	481147	591daeca-22c3-4918-ae2a-aa17cb69bd80	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_24/FAST64_SENS_PHYSICAL_24KB_OO.config	e716164318dd12a61c06a50e1c4b95794c8dcfdca242cf4b7121ab96f3a94b11	ACTIVE_NONTERMINAL
fast64_sens_v1_btree_physical24_io	Btree	physical	24	IO	29	532514	532540	c0902c8e-e9b8-4783-a021-933494c8b558	configs/dtc_l1/fast64/sensitivity_frozen_v2/physical_24/FAST64_SENS_PHYSICAL_24KB_IO.config	6d8ab5fa96097c3aac520e0996ef6d3d57c4098646a646b74b02e4264a014d54	STRICT_TERMINAL_PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE
