schema	FAST64_PROVISIONAL_STAGE3_STRUCTURAL_V1
status	PRELIMINARY_NONPROMOTING
workload	source_summary	cycles	instructions	pib_full	cacheline_reserved	mshr_entry_full	mshr_merge_full	downstream_full	tag_conflicts	lower_acquired	lower_released	terminal_pib	terminal_lower
ATAX	/workspace/worktrees/accel-sim-decoupled-l1-fast64/docs/dtc_l1/fast64/generated/fast64_3_atax_base_alias_v3/fast64_3_precomputed_atax_base_cap8192_a1_r2.json	87750512	145666048	10200202	1349272650	0	0	1070	20972288	19215755	19215755	0	0
BICG	/workspace/worktrees/accel-sim-decoupled-l1-fast64/docs/dtc_l1/fast64/generated/qualification_r2_full_wave_alias_v2/fast64_1r2_bicg_base_cap8192_a1.json	88495620	145666048	10203224	1369006149	0	0	1145	20972288	19214879	19214879	0	0
DWT2D	docs/dtc_l1/fast64/generated/fast64_3_dwt2d_base_alias_v3/fast64_3_precomputed_dwt2d_base_cap8192_a1_r2.json	344119	148684429	8289065	1417779	346268	0	18367	1225446	757359	757359	0	0
GAUSSIAN	/workspace/worktrees/accel-sim-decoupled-l1-fast64/docs/dtc_l1/fast64/generated/fast64_3_dynamic_base_v1/fast64_3_Gaussian_base_cap8192_a1_v2.json	4229815	283685120	3706501	29611524	2025717	0	78330	8502071	1951815	1951815	0	0
HOTSPOT1	/workspace/worktrees/accel-sim-decoupled-l1-fast64/docs/dtc_l1/fast64/generated/fast64_3_dynamic_base_v1/fast64_3_Hotspot1_base_cap8192_a1_v2.json	160486	377291004	5037171	24303354	866624	0	15056	577925	701725	701725	0	0
LUD	/workspace/worktrees/accel-sim-decoupled-l1-fast64/docs/dtc_l1/fast64/generated/fast64_3_dynamic_base_v1/fast64_3_LUD_base_cap8192_a1_v2.json	1113878	184963840	5720827	6288688	0	0	1372	1040112	1048098	1048098	0	0
MRI-Q	/workspace/worktrees/accel-sim-decoupled-l1-fast64/docs/dtc_l1/fast64/generated/fast64_3_dynamic_base_v1/fast64_3_MRI-Q_base_cap8192_a1_v2.json	366667	1411757056	420442	104423	0	0	0	65376	62208	62208	0	0
NN	/workspace/worktrees/accel-sim-decoupled-l1-fast64/docs/dtc_l1/fast64/generated/fast64_3_dynamic_base_v1/fast64_3_NN_base_cap8192_a1_v2.json	6985	1284872	57768	0	89427	0	0	20045	10691	10691	0	0
GEMM	/workspace/worktrees/accel-sim-decoupled-l1-fast64/docs/dtc_l1/fast64/generated/fast64_3_gemm_base_alias_v4/fast64_3_precomputed_gemm_base_cap8192_a1_r2.json	2662394	739246080	128879948	114099368	0	0	49091	25214976	16813388	16813388	0	0
GESUMMV	/workspace/worktrees/accel-sim-decoupled-l1-fast64/docs/dtc_l1/fast64/generated/fast64_3_gesummv_base_alias_v3/fast64_3_precomputed_gesummv_base_cap8192_a1_r2.json	194986098	190918656	49978400	3157387337	0	0	1455	38798080	34394773	34394773	0	0
NN	/workspace/worktrees/accel-sim-decoupled-l1-fast64/docs/dtc_l1/fast64/generated/fast64_3_nn_core95_v1/fast64_3_nn_base_core95ccdb7a_a1_v1.json	6985	1284872	57768	0	89427	0	0	20045	10691	10691	0	0
HOTSPOT1-REPAIRED	/workspace/worktrees/accel-sim-decoupled-l1-fast64/docs/dtc_l1/fast64/generated/fast64_repaired_core_qual_v1/fast64_hotspot1_base_core95ccdb7a_a1_v1.json	160486	377291004	5037171	24303354	866624	0	15056	577925	701725	701725	0	0
BTREE	/workspace/worktrees/accel-sim-decoupled-l1-fast64/docs/dtc_l1/fast64/generated/fast64_repaired_ramp_v1/fast64_btree_base_core95ccdb7a_a1_r1.json	369977	444467849	18175485	590	1622927	0	0	1751328	1458407	1458407	0	0
MRI-Q-REPAIRED	docs/dtc_l1/fast64/generated/fast64_repaired_ramp_v1/fast64_mriq_base_core95ccdb7a_a1_r1.json	366667	1411757056	420442	104423	0	0	0	65376	62208	62208	0	0
