schema	FAST64_3_BASE_PROMOTION_AUDIT_V1
workload	decision	summary_evidence	structural_evidence	payload_trace_list_sha256	config_sha256	core_sha	runtime_sha256	observer_sha256	framework_sha	basis
ATAX	PROMOTED	fast64_3_atax_base_alias_v3/fast64_3_precomputed_atax_base_cap8192_a1_r2.json	fast64_3_atax_base_alias_v3/FAST64_3_ATAX_BASE_STRUCTURAL_METRICS_V1.json	b6dcd0e3807bd71449d2283f97ba43a91868cb761e7b4924dd3d3063340a94ba	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	exact formal identity; immutable natural terminal; strict evidence; cap-full=0; lower/PIB drain; structural and host fields complete
BICG	PROMOTED	qualification_r2_full_wave_alias_v2/fast64_1r2_bicg_base_cap8192_a1.json	fast64_3_bicg_base_structural_v1/FAST64_3_BICG_BASE_STRUCTURAL_METRICS_V1.json	388740a7be05d5596ffb77ff3f4812ff93f41afa0ee5082c1e179745cf5e0a4b	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	immutable R2 Base; exact formal identity; strict evidence; cap-full=0; lower/PIB drain; companion extracted from canonical terminal perf
GESUMMV	PROMOTED	fast64_3_gesummv_base_alias_v3/fast64_3_precomputed_gesummv_base_cap8192_a1_r2.json	fast64_3_gesummv_base_alias_v3/FAST64_3_GESUMMV_BASE_STRUCTURAL_METRICS_V1.json	ed0da283145c822bb1b9fc13c78fe41088b43478b706fcb17d078d83111044a8	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	exact formal identity; immutable natural terminal; strict evidence; cap-full=0; lower/PIB drain; structural and host fields complete
GEMM	PROMOTED	fast64_3_gemm_base_alias_v4/fast64_3_precomputed_gemm_base_cap8192_a1_r2.json	fast64_3_gemm_base_alias_v4/FAST64_3_GEMM_BASE_STRUCTURAL_METRICS_V1.json	fd9a9430fc95eb0af4c73b9710db271f8e32bff4ea2f5dd08a4e8e17c9b02057	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	exact formal identity; immutable natural terminal; strict evidence; cap-full=0; lower/PIB drain; structural and host fields complete
DWT2D	PROMOTED	fast64_3_dwt2d_base_alias_v3/fast64_3_precomputed_dwt2d_base_cap8192_a1_r2.json	fast64_3_dwt2d_base_alias_v3/FAST64_3_DWT2D_BASE_STRUCTURAL_METRICS_V1.json	337087fedad435cd92cbd7e0f962f90d567ec9e77038fd8150977b7c6beb7164	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	exact formal identity; immutable natural terminal; strict evidence; cap-full=0; lower/PIB drain; structural and host fields complete
2DConvolution	MISSING	-	-	23bcc08b04d82fc527ffc1365d3199f4d1f3057bf6a2705d1110c5c226227d64	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	fresh immutable Base acquisition required
Btree	MISSING	-	-	26315d4ae044e91094d54134ec94e25d70fd4eda8c0fe01767bc2a9437d73467	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	fresh immutable Base acquisition required
Gaussian	MISSING	-	-	6dc7caba6733657293e8c517467bac28890ae4eb97c732ffd245d7fd1c479fb9	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	fresh immutable Base acquisition required
Hotspot1	MISSING	-	-	a731bfc2cbb90b51888e92f3fb188ff4fceb123612a7b1ceb1817bc752e89461	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	fresh immutable Base acquisition required
LUD	MISSING	-	-	6bf8f1fd5951793b1b2c563ee13203591e3d53d5985d4d1d6e3b5cf8f64a39e0	1a016e3cac65376330a92dd3fcf037d5fdcab5e7d295920be568e04600dd1cde	bbcbb5e7565417102087bc80b14c349b4e568c05	6a8743b4d7adc7f56d40aafdf913718c9e0ad13641e962aa8ef5e3ee35d4f041	2c2a6a272c129243626617e2b80ded798b30ccb09377d07a2ca453209074074e	037f008b330eb230353b60edf126d6be9f45afdc	fresh immutable Base acquisition required
