scope	semantic_category	normalized_kernel_family	launch_count	launch_count_share	total_gpu_duration_ns	gpu_time_share	mean_ns	median_ns	min_ns	p25_ns	p75_ns	max_ns
WHOLE_FROZEN_INFERENCE	ATTENTION_CORE	PYTORCH_FLASH_FWD	1546	0.04537450105658605	13613945	0.10227340484001567	8805.915265200518	11488.0	2496	2848.0	13024.0	159969
WHOLE_FROZEN_INFERENCE	COPY_LAYOUT	AT_NATIVE_ELEMENTWISE	1556	0.04566799718243719	10810967	0.08121631200236593	6947.922236503856	7008.0	6016	6976.0	7040.0	7840
WHOLE_FROZEN_INFERENCE	COPY_LAYOUT	AT_NATIVE_UNROLLED_ELEMENTWISE	3275	0.09611998121624794	6955854	0.052255159848966795	2123.9248854961834	2048	992	2016.0	2176.0	7904
WHOLE_FROZEN_INFERENCE	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	6329	0.18575369805118572	9990946	0.07505598597561068	1578.5978827618897	1376	800	1280	1824	7776
WHOLE_FROZEN_INFERENCE	ELEMENTWISE	AT_NATIVE_REDUCE	1588	0.046607184785160835	3574854	0.02685573435076676	2251.167506297229	2240.0	1920	2208.0	2240.0	5472
WHOLE_FROZEN_INFERENCE	ELEMENTWISE	AT_NATIVE_VECTORIZED_ELEMENTWISE	11110	0.32607419582061514	11759168	0.08833957750275598	1058.4309630963096	992.0	832	992.0	1024.0	26112
WHOLE_FROZEN_INFERENCE	UNKNOWN	COPY_KERNEL	3125	0.09171753932848087	8274320	0.06216000425562453	2647.7824	2016	1312	1728	3456	13056
WHOLE_FROZEN_INFERENCE	UNKNOWN	CUBLAS_GEMM	102	0.0029936604836816156	7127087	0.05354153069378587	69873.40196078431	9472.0	1120	1312.0	199152.75	204417
WHOLE_FROZEN_INFERENCE	UNKNOWN	CUBLAS_GEMV	5408	0.15872270486029585	60929146	0.45772413620111	11266.484097633136	4544.0	2528	3040.0	15968.0	413825
WHOLE_FROZEN_INFERENCE	UNKNOWN	OTHER_EXACT_IMPLEMENTATION	33	0.0009685372153087579	76960	0.0005781543289977743	2332.121212121212	1856	1632	1856	1856	17312
PREFILL	ATTENTION_CORE	PYTORCH_FLASH_FWD	10	0.024509803921568627	1525285	0.1431004687189225	152528.5	154112.5	146976	148617.0	154608.25	159969
PREFILL	COPY_LAYOUT	AT_NATIVE_ELEMENTWISE	20	0.049019607843137254	149952	0.014068322631731033	7497.6	7520.0	7264	7360.0	7560.0	7840
PREFILL	COPY_LAYOUT	AT_NATIVE_UNROLLED_ELEMENTWISE	43	0.1053921568627451	296960	0.027860442599757573	6906.046511627907	7168	2016	6960.0	7376.0	7904
PREFILL	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	121	0.2965686274509804	634882	0.05956389250612637	5246.9586776859505	6720	1152	2304	7264	7776
PREFILL	ELEMENTWISE	AT_NATIVE_REDUCE	20	0.049019607843137254	99104	0.00929782227709582	4955.2	4720.0	4512	4672.0	5312.0	5472
PREFILL	ELEMENTWISE	AT_NATIVE_VECTORIZED_ELEMENTWISE	102	0.25	676417	0.06346065800781324	6631.5392156862745	3776.0	960	1024.0	10448.0	26112
PREFILL	UNKNOWN	COPY_KERNEL	21	0.051470588235294115	172673	0.01619998048568137	8222.52380952381	4384	3168	4288	12609	13056
PREFILL	UNKNOWN	CUBLAS_GEMM	70	0.1715686274509804	7086255	0.664824221022175	101232.21428571429	52464.0	1312	9448.0	202136.25	204417
PREFILL	UNKNOWN	OTHER_EXACT_IMPLEMENTATION	1	0.0024509803921568627	17312	0.001624191750697074	17312	17312	17312	17312	17312	17312
DECODE_TOTAL	ATTENTION_CORE	PYTORCH_FLASH_FWD	1536	0.045627376425855515	12088660	0.09871968103197788	7870.221354166667	7168.0	2496	2848.0	13024.0	13344
DECODE_TOTAL	COPY_LAYOUT	AT_NATIVE_ELEMENTWISE	1536	0.045627376425855515	10661015	0.08706109695178223	6940.764973958333	7008.0	6016	6976.0	7040.0	7392
DECODE_TOTAL	COPY_LAYOUT	AT_NATIVE_UNROLLED_ELEMENTWISE	3232	0.09600760456273764	6658894	0.05437855740055154	2060.3013613861385	2048.0	992	2016.0	2176.0	2240
DECODE_TOTAL	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	6208	0.1844106463878327	9356064	0.07640446946102969	1507.0979381443299	1376.0	800	1280.0	1824.0	1921
DECODE_TOTAL	ELEMENTWISE	AT_NATIVE_REDUCE	1568	0.04657794676806084	3475750	0.02838403357749305	2216.6772959183672	2240.0	1920	2208.0	2240.0	2304
DECODE_TOTAL	ELEMENTWISE	AT_NATIVE_VECTORIZED_ELEMENTWISE	11008	0.3269961977186312	11082751	0.0905051216327396	1006.7906068313954	992.0	832	992.0	1024.0	1376
DECODE_TOTAL	UNKNOWN	COPY_KERNEL	3104	0.09220532319391635	8101647	0.06616051801222637	2610.06668814433	2016.0	1312	1728.0	3456.0	5504
DECODE_TOTAL	UNKNOWN	CUBLAS_GEMM	32	0.0009505703422053232	40832	0.0003334465537038614	1276	1280.0	1120	1280.0	1280.0	1344
DECODE_TOTAL	UNKNOWN	CUBLAS_GEMV	5408	0.16064638783269963	60929146	0.49756597163546756	11266.484097633136	4544.0	2528	3040.0	15968.0	413825
DECODE_TOTAL	UNKNOWN	OTHER_EXACT_IMPLEMENTATION	32	0.0009505703422053232	59648	0.0004871037430282113	1864	1856.0	1632	1856.0	1856.0	2400
DECODE_STEP_1	ATTENTION_CORE	PYTORCH_FLASH_FWD	48	0.045627376425855515	383073	0.09674014991613243	7980.6875	7936.0	2816	2848.0	13120.0	13248
DECODE_STEP_1	COPY_LAYOUT	AT_NATIVE_ELEMENTWISE	48	0.045627376425855515	333601	0.08424663380653738	6950.020833333333	6944.0	6784	6912.0	6976.0	7392
DECODE_STEP_1	COPY_LAYOUT	AT_NATIVE_UNROLLED_ELEMENTWISE	101	0.09600760456273764	210368	0.05312572762256005	2082.8514851485147	2080	1120	2048	2176	2208
DECODE_STEP_1	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	194	0.1844106463878327	295553	0.07463810168861466	1523.4690721649486	1408.0	864	1288.75	1824.0	1920
DECODE_STEP_1	ELEMENTWISE	AT_NATIVE_REDUCE	49	0.04657794676806084	109505	0.02765407668137948	2234.795918367347	2240	2176	2208	2272	2304
DECODE_STEP_1	ELEMENTWISE	AT_NATIVE_VECTORIZED_ELEMENTWISE	344	0.3269961977186312	353280	0.08921631167524535	1026.9767441860465	992.0	928	992.0	1024.0	1312
DECODE_STEP_1	UNKNOWN	COPY_KERNEL	97	0.09220532319391635	343361	0.08671139604031906	3539.8041237113403	2176	1664	1824	5248	5504
DECODE_STEP_1	UNKNOWN	CUBLAS_GEMM	1	0.0009505703422053232	1312	0.0003313286937214728	1312	1312	1312	1312	1312	1312
DECODE_STEP_1	UNKNOWN	CUBLAS_GEMV	169	0.16064638783269963	1927361	0.48673018480160934	11404.502958579882	4608	2848	3040	16064	413825
DECODE_STEP_1	UNKNOWN	OTHER_EXACT_IMPLEMENTATION	1	0.0009505703422053232	2400	0.0006060890738807429	2400	2400	2400	2400	2400	2400
DECODE_STEP_2	ATTENTION_CORE	PYTORCH_FLASH_FWD	48	0.045627376425855515	381346	0.09931687193497392	7944.708333333333	7904.0	2816	2848.0	13032.0	13184
DECODE_STEP_2	COPY_LAYOUT	AT_NATIVE_ELEMENTWISE	48	0.045627376425855515	334977	0.08724063661389331	6978.6875	6976.0	6912	6944.0	7008.0	7072
DECODE_STEP_2	COPY_LAYOUT	AT_NATIVE_UNROLLED_ELEMENTWISE	101	0.09600760456273764	209888	0.054662746211282684	2078.09900990099	2080	1120	2048	2176	2208
DECODE_STEP_2	ELEMENTWISE	AT_NATIVE_ELEMENTWISE	194	0.1844106463878327	295298	0.07690672944951285	1522.1546391752577	1392.0	896	1312.0	1824.0	1921
DECODE_STEP_2	ELEMENTWISE	AT_NATIVE_REDUCE	49	0.04657794676806084	109248	0.02845229693022093	2229.5510204081634	2240	2176	2208	2240	2272
DECODE_STEP_2	ELEMENTWISE	AT_NATIVE_VECTORIZED_ELEMENTWISE	344	0.3269961977186312	349856	0.09111568902697874	1017.0232558139535	992.0	928	992.0	1024.0	1248
DECODE_STEP_2	UNKNOWN	COPY_KERNEL	97	0.09220532319391635	250496	0.06523859999114512	2582.4329896907216	2016	1504	1728	3328	3904
DECODE_STEP_2	UNKNOWN	CUBLAS_GEMM	1	0.0009505703422053232	1280	0.0003333602452281304	1280	1280	1280	1280	1280	1280
DECODE_STEP_2	UNKNOWN	CUBLAS_GEMV	169	0.16064638783269963	1905445	0.4962496972411835	11274.8224852071	4544	2784	3072	16000	412769
DECODE_STEP_2	UNKNOWN	OTHER_EXACT_IMPLEMENTATION	1	0.0009505703422053232	1856	0.0004833723555807891	1856	1856	1856	1856	1856	1856
DECODE_STEP_3	ATTENTION_CORE	PYTORCH_FLASH_FWD	48	0.045627376425855515	381056	0.09947681838959474	7938.666666666667	7888.0	2816	2848.0	13024.0	13216
DECODE_STEP_3	COPY_LAYOUT	AT_NATIVE_ELEMENTWISE	48	0.045627376425855515	334304	0.0872719450550971	6964.666666666667	6976.0	6848	6944.0	6976.0	7072
DECODE_STEP_3	COPY_LAYOUT	AT_NATIVE_UNROLLED_ELEMENTWISE	101	0.09600760456273764	209665	0.054734230999260954	2075.891089108911	2080	1120	2016	2176	2208
