scope	semantic_category	launch_count	launch_count_share	total_gpu_duration_ns	gpu_time_share	mean_ns	median_ns	min_ns	p25_ns	p75_ns	max_ns
WHOLE_FROZEN_INFERENCE	ATTENTION_CORE	1546	0.04537450105658605	13613945	0.10227340484001567	8805.915265200518	11488.0	2496	2848.0	13024.0	159969
WHOLE_FROZEN_INFERENCE	COPY_LAYOUT	4831	0.14178797839868515	17766821	0.13347147185133273	3677.6694266197474	2176	992	2048.0	6976.0	7904
WHOLE_FROZEN_INFERENCE	ELEMENTWISE	19027	0.5584350786569617	25324968	0.19025129782913341	1331.0016292636778	1088	800	992.0	1408.0	26112
WHOLE_FROZEN_INFERENCE	UNKNOWN	8668	0.25440244188776706	76407513	0.5740038254795182	8814.895362251962	3648.0	1120	2880.0	15168.0	413825
PREFILL	ATTENTION_CORE	10	0.024509803921568627	1525285	0.1431004687189225	152528.5	154112.5	146976	148617.0	154608.25	159969
PREFILL	COPY_LAYOUT	63	0.15441176470588236	446912	0.041928765231488606	7093.841269841269	7296	2016	7056.0	7552.0	7904
PREFILL	ELEMENTWISE	243	0.5955882352941176	1410403	0.13232237279103543	5804.127572016461	5120	960	2176.0	7232.0	26112
PREFILL	UNKNOWN	92	0.22549019607843138	7276240	0.6826483932585534	79089.56521739131	51360.5	1312	9392.0	199593.0	204417
DECODE_TOTAL	ATTENTION_CORE	1536	0.045627376425855515	12088660	0.09871968103197788	7870.221354166667	7168.0	2496	2848.0	13024.0	13344
DECODE_TOTAL	COPY_LAYOUT	4768	0.14163498098859315	17319909	0.14143965435233377	3632.53125	2176.0	992	2048.0	6976.0	7392
DECODE_TOTAL	ELEMENTWISE	18784	0.5579847908745247	23914565	0.19529362467126235	1273.1348488074957	1072.0	800	992.0	1376.0	2304
DECODE_TOTAL	UNKNOWN	8576	0.25475285171102663	69131273	0.564547039944426	8061.015974813433	3616.0	1120	2880.0	15136.0	413825
DECODE_STEP_1	ATTENTION_CORE	48	0.045627376425855515	383073	0.09674014991613243	7980.6875	7936.0	2816	2848.0	13120.0	13248
DECODE_STEP_1	COPY_LAYOUT	149	0.14163498098859315	543969	0.13737236142909742	3650.798657718121	2176	1120	2048	6912	7392
DECODE_STEP_1	ELEMENTWISE	587	0.5579847908745247	758338	0.1915084900452395	1291.8875638841566	1120	864	992.0	1392.0	2304
DECODE_STEP_1	UNKNOWN	268	0.25475285171102663	2274434	0.5743789986095307	8486.694029850747	4576.0	1312	2912.0	15296.0	413825
DECODE_STEP_2	ATTENTION_CORE	48	0.045627376425855515	381346	0.09931687193497392	7944.708333333333	7904.0	2816	2848.0	13032.0	13184
DECODE_STEP_2	COPY_LAYOUT	149	0.14163498098859315	544865	0.14190338282517598	3656.8120805369126	2176	1120	2048	6944	7072
DECODE_STEP_2	ELEMENTWISE	587	0.5579847908745247	754402	0.19647471540671252	1285.1822827938672	1088	896	992.0	1376.0	2272
DECODE_STEP_2	UNKNOWN	268	0.25475285171102663	2159077	0.5623050298331376	8056.257462686567	3600.0	1280	2880.0	15080.0	412769
DECODE_STEP_3	ATTENTION_CORE	48	0.045627376425855515	381056	0.09947681838959474	7938.666666666667	7888.0	2816	2848.0	13024.0	13216
DECODE_STEP_3	COPY_LAYOUT	149	0.14163498098859315	543969	0.14200617605435806	3650.798657718121	2176	1120	2048	6944	7072
DECODE_STEP_3	ELEMENTWISE	587	0.5579847908745247	752994	0.19657333144329048	1282.7836456558773	1088	896	992.0	1376.0	2272
DECODE_STEP_3	UNKNOWN	268	0.25475285171102663	2152582	0.5619436741127567	8032.022388059701	3552.0	1312	2872.0	15104.0	409121
DECODE_STEP_4	ATTENTION_CORE	48	0.045627376425855515	381376	0.09951465937438028	7945.333333333333	7920.0	2816	2848.0	13056.0	13088
DECODE_STEP_4	COPY_LAYOUT	149	0.14163498098859315	544834	0.14216670667682577	3656.6040268456377	2176	1120	2048	6944	7072
DECODE_STEP_4	ELEMENTWISE	587	0.5579847908745247	753092	0.1965086787253807	1282.9505962521296	1088	864	992.0	1376.0	2272
