scope	phase	decode_step	launch_count	launch_count_share	total_gpu_duration_ns	gpu_time_share	mean_ns	median_ns	min_ns	p25_ns	p75_ns	max_ns
WHOLE_FROZEN_INFERENCE	DECODE	1	1052	0.0308757924395398	3959814	0.029747707979807598	3764.0817490494296	1856.0	864	1024.0	2944.0	413825
WHOLE_FROZEN_INFERENCE	DECODE	10	1052	0.0308757924395398	3845992	0.02889263155003649	3655.885931558935	1856.0	864	1024.0	2912.0	408737
WHOLE_FROZEN_INFERENCE	DECODE	11	1052	0.0308757924395398	3836682	0.02882269110301246	3647.036121673004	1856.0	896	1024.0	2944.0	409025
WHOLE_FROZEN_INFERENCE	DECODE	12	1052	0.0308757924395398	3842249	0.028864512635620707	3652.327946768061	1856.0	896	1024.0	2920.0	408961
WHOLE_FROZEN_INFERENCE	DECODE	13	1052	0.0308757924395398	3842249	0.028864512635620707	3652.327946768061	1856.0	896	1024.0	2944.0	408801
WHOLE_FROZEN_INFERENCE	DECODE	14	1052	0.0308757924395398	3841511	0.028858968484180993	3651.6264258555134	1856.0	864	1024.0	2944.0	409249
WHOLE_FROZEN_INFERENCE	DECODE	15	1052	0.0308757924395398	3837928	0.02883205155381718	3648.2205323193916	1856.0	896	1024.0	2944.0	408961
WHOLE_FROZEN_INFERENCE	DECODE	16	1052	0.0308757924395398	3847016	0.028900324247969098	3656.8593155893536	1840.0	896	1024.0	2944.0	410497
WHOLE_FROZEN_INFERENCE	DECODE	17	1052	0.0308757924395398	3838056	0.028833013141058756	3648.342205323194	1824.0	896	1024.0	2912.0	409409
WHOLE_FROZEN_INFERENCE	DECODE	18	1052	0.0308757924395398	3848972	0.028915018503004437	3658.7186311787073	1824.0	896	1024.0	2912.0	410593
WHOLE_FROZEN_INFERENCE	DECODE	19	1052	0.0308757924395398	3841349	0.02885775147532837	3651.472433460076	1856.0	896	1024.0	2912.0	409249
WHOLE_FROZEN_INFERENCE	DECODE	2	1052	0.0308757924395398	3839690	0.028845288403189503	3649.8954372623575	1856.0	896	1024.0	2920.0	412769
WHOLE_FROZEN_INFERENCE	DECODE	20	1052	0.0308757924395398	3849225	0.028916919140286615	3658.959125475285	1856.0	896	1024.0	2912.0	409025
WHOLE_FROZEN_INFERENCE	DECODE	21	1052	0.0308757924395398	3843720	0.02887556337649851	3653.7262357414447	1856.0	896	1024.0	2944.0	409345
WHOLE_FROZEN_INFERENCE	DECODE	22	1052	0.0308757924395398	3852009	0.0289378336627909	3661.605513307985	1856.0	864	1024.0	2912.0	411745
WHOLE_FROZEN_INFERENCE	DECODE	23	1052	0.0308757924395398	3848584	0.02891210369167841	3658.3498098859313	1856.0	896	1024.0	2944.0	409441
WHOLE_FROZEN_INFERENCE	DECODE	24	1052	0.0308757924395398	3849831	0.028921471654883454	3659.5351711026615	1856.0	864	1024.0	2912.0	408608
WHOLE_FROZEN_INFERENCE	DECODE	25	1052	0.0308757924395398	3848838	0.02891401184136091	3658.591254752852	1856.0	864	1024.0	2912.0	409056
WHOLE_FROZEN_INFERENCE	DECODE	26	1052	0.0308757924395398	3851140	0.028931305386908638	3660.7794676806084	1856.0	896	1024.0	2944.0	408929
WHOLE_FROZEN_INFERENCE	DECODE	27	1052	0.0308757924395398	3846730	0.0288981757014762	3656.5874524714827	1856.0	896	1024.0	2944.0	409089
WHOLE_FROZEN_INFERENCE	DECODE	28	1052	0.0308757924395398	3852937	0.02894480517029233	3662.4876425855514	1856.0	896	1024.0	2912.0	410945
WHOLE_FROZEN_INFERENCE	DECODE	29	1052	0.0308757924395398	3846218	0.028894329352509896	3656.1007604562737	1840.0	896	1024.0	2920.0	409473
WHOLE_FROZEN_INFERENCE	DECODE	3	1052	0.0308757924395398	3830601	0.02877700819663726	3641.255703422053	1840.0	896	1024.0	2912.0	409121
WHOLE_FROZEN_INFERENCE	DECODE	30	1052	0.0308757924395398	3717770	0.02792937655558804	3534.0019011406844	1728.0	832	992.0	2848.0	409889
WHOLE_FROZEN_INFERENCE	DECODE	31	1052	0.0308757924395398	3575205	0.026858371203280766	3398.4838403041826	1632.0	800	896.0	2656.0	408929
WHOLE_FROZEN_INFERENCE	DECODE	32	1052	0.0308757924395398	3577224	0.02687353873953657	3400.403041825095	1632.0	800	896.0	2632.0	408416
WHOLE_FROZEN_INFERENCE	DECODE	4	1052	0.0308757924395398	3832360	0.028790222508808607	3642.927756653992	1824.0	864	1024.0	2912.0	409089
WHOLE_FROZEN_INFERENCE	DECODE	5	1052	0.0308757924395398	3835017	0.02881018295647164	3645.453422053232	1856.0	864	1024.0	2944.0	409441
WHOLE_FROZEN_INFERENCE	DECODE	6	1052	0.0308757924395398	3847717	0.028905590440596794	3657.5256653992396	1856.0	864	1024.0	2944.0	409441
WHOLE_FROZEN_INFERENCE	DECODE	7	1052	0.0308757924395398	3838824	0.028838782664508213	3649.072243346008	1856.0	896	1024.0	2912.0	408961
WHOLE_FROZEN_INFERENCE	DECODE	8	1052	0.0308757924395398	3845099	0.02888592297654643	3655.037072243346	1824.0	896	1024.0	2920.0	409473
WHOLE_FROZEN_INFERENCE	DECODE	9	1052	0.0308757924395398	3843850	0.028876539988540735	3653.8498098859313	1856.0	896	1024.0	2944.0	408833
WHOLE_FROZEN_INFERENCE	PREFILL		408	0.011974641934726462	10658840	0.08007347307815277	26124.607843137255	7088.0	960	3904.0	9440.0	204417
PREFILL	PREFILL		408	1.0	10658840	1.0	26124.607843137255	7088.0	960	3904.0	9440.0	204417
DECODE_TOTAL	DECODE	1	1052	0.03125	3959814	0.03233704769808734	3764.0817490494296	1856.0	864	1024.0	2944.0	413825
