page_size	page	nearest_predecessor_member	kernel_distance
4096	0x0	21	13
4096	0x1000	21	13
4096	0x2000	21	13
4096	0x3000	21	13
4096	0x4000	21	13
4096	0x5000	21	13
4096	0x6000	21	13
4096	0x7000	21	13
4096	0x8000	21	13
4096	0x9000	21	13
4096	0xa000	21	13
4096	0xb000	21	13
4096	0x7dcbda000000	32	2
4096	0x7dcbda001000	32	2
4096	0x7dcbda002000	32	2
4096	0x7dcbda003000	32	2
4096	0x7dcbda004000	32	2
4096	0x7dcbda005000	32	2
4096	0x7dcbda006000	32	2
4096	0x7dcbda007000	32	2
4096	0x7dcbda008000	32	2
4096	0x7dcbda009000	32	2
4096	0x7dcbda00a000	32	2
4096	0x7dcbda00b000	32	2
4096	0x7dcbda00c000	32	2
4096	0x7dcbda00d000	32	2
4096	0x7dcbda00e000	32	2
4096	0x7dcbda00f000	32	2
4096	0x7dcbda010000	32	2
4096	0x7dcbda011000	32	2
4096	0x7dcbda012000	32	2
4096	0x7dcbda013000	32	2
4096	0x7dcbda014000	32	2
4096	0x7dcbda015000	32	2
4096	0x7dcbda016000	32	2
4096	0x7dcbda017000	32	2
4096	0x7dcbda018000	32	2
4096	0x7dcbda019000	32	2
4096	0x7dcbda01a000	32	2
4096	0x7dcbda01b000	32	2
4096	0x7dcbda01c000	32	2
4096	0x7dcbda01d000	32	2
4096	0x7dcbda01e000	32	2
4096	0x7dcbda01f000	32	2
4096	0x7dcbda020000	32	2
4096	0x7dcbda021000	32	2
4096	0x7dcbda022000	32	2
4096	0x7dcbda023000	32	2
4096	0x7dcbda024000	32	2
4096	0x7dcbda025000	32	2
4096	0x7dcbda026000	32	2
4096	0x7dcbda027000	32	2
4096	0x7dcbda028000	32	2
4096	0x7dcbda029000	32	2
4096	0x7dcbda02a000	32	2
4096	0x7dcbda02b000	32	2
4096	0x7dcbda02c000	32	2
4096	0x7dcbda02d000	32	2
4096	0x7dcbda02e000	32	2
4096	0x7dcbda02f000	32	2
4096	0x7dcbda030000	32	2
4096	0x7dcbda031000	32	2
4096	0x7dcbda032000	32	2
4096	0x7dcbda033000	32	2
4096	0x7dcbda034000	32	2
4096	0x7dcbda035000	32	2
4096	0x7dcbda036000	32	2
4096	0x7dcbda037000	32	2
4096	0x7dcbda038000	32	2
4096	0x7dcbda039000	32	2
