bytes	path
43492200448	/root
38119944192	/root/workspace
27479195648	/root/workspace/offline-sim-v1
5598961664	/root/workspace/awma_runtime_preserved_before_ldgdepbar_hotfix_174new_v1
3924598784	/root/.vscode-server
3841748992	/root/workspace/accel-sim-framework
1760485376	/root/.vscode-server/extensions
1422336000	/root/.vscode-server/cli
1028108288	/root/.venvs
1028104192	/root/.venvs/c16-q30-cpu-prep
707567616	/root/.vscode-server/data
286883840	/root/.cache
286744576	/root/.cache/pip
83369984	/root/.local
48779264	/root/.codex
46620672	/root/.local/share
41889792	/root/workspace/accel-sim-framework-awma-new-sim-baseline-174new-v1
36712448	/root/.local/lib
30408704	/root/workspace/accel-sim-framework-q30-cpu-streaming-hardening-v1
30351360	/root/workspace/accel-sim-framework-q30-cpu-streaming-impl-prep-v1
30220288	/root/workspace/accel-sim-framework-qwen3-30b-control-prep-174new-v1
28741632	/root/workspace/accel-sim-framework-c16-prospective-common-input-174new-laneB-v8
28741632	/root/workspace/accel-sim-framework-c16-canonical-input-validation-174new-laneB-v9
27742208	/root/workspace/accel-sim-framework-qwen3-30b-archive-v2
27721728	/root/workspace/accel-sim-framework-awma-local-storage-audit-174new-v1
27709440	/root/workspace/accel-sim-framework-awma-storage-consumer-audit-174new-v1
27664384	/root/workspace/accel-sim-framework-awma-q05-translation-timeline-174new-v1
27553792	/root/workspace/accel-sim-framework-awma-q05-full-translation-174new-v1
27533312	/root/workspace/accel-sim-framework-old174-post-archive-cleanup-v1
27500544	/root/workspace/accel-sim-framework-old174-recovery-archive-to-164-v1
27455488	/root/workspace/accel-sim-framework-awma-tlb-ptw-characterization-174new-v1
27119616	/root/workspace/accel-sim-framework-awma-first-current-model-replay-174new-v1
26406912	/root/workspace/accel-sim-framework-c16-model-completion-174new-v7
26279936	/root/workspace/accel-sim-framework-c16-qwen3-cross-lineage-174new-v17
26222592	/root/workspace/accel-sim-framework-c16-qwen3-attention-kv-consumer-174new-v19
26210304	/root/workspace/accel-sim-framework-c16-deepseek-s2-s3-consumer-174new-v30
26206208	/root/workspace/accel-sim-framework-c16-deepseek-v2-lite-authorization-174new-v22
26181632	/root/workspace/accel-sim-framework-c16-qwen3-consumer-174new-v16
26173440	/root/workspace/accel-sim-framework-c16-qwen3-kv-scope-audit-174new-v19r1
26165248	/root/workspace/accel-sim-framework-c16-qwen3-s3-kv-consumer-174new-v21r1
26161152	/root/workspace/accel-sim-framework-c16-qwen3-s3-kv-consumer-174new-v21
26161152	/root/workspace/accel-sim-framework-c16-deepseek-v2-lite-s2-consumer-174new-v24
26079232	/root/workspace/accel-sim-framework-c16-qwen3-v2-input-export-174new-v13
25772032	/root/workspace/accel-sim-framework-c16-qwen3-authorization-174new-v12
25743360	/root/workspace/accel-sim-framework-c16-unified-consumer-174new-v11
25628672	/root/workspace/accel-sim-framework-c16-pair-static-semantics-174new-laneA-v9
25407488	/root/workspace/accel-sim-framework-c16-raw7b-awq-pair-prep-174new-laneA-v8
25350144	/root/workspace/accel-sim-framework-c16-awq-consumer-174new-laneA-v7
25333760	/root/workspace/accel-sim-framework-c16-ldgsts-analysis-174new-v6-r1
25276416	/root/workspace/awma-hotfix-admit
25079808	/root/workspace/accel-sim-framework-c16-asset-readiness-174new-v6-r1
25063424	/root/workspace/accel-sim-framework-asset-readiness-v6
25026560	/root/workspace/accel-sim-framework-qwen0-decode-analysis-174new-v4
24887296	/root/workspace/accel-sim-framework-awma-simulation-foundation-174new-v1
24752128	/root/workspace/accel-sim-framework-c16-v2-analysis-hardening-174new-v1
24571904	/root/workspace/accel-sim-framework-174new-c12c15-v2
24498176	/root/workspace/accel-sim-framework-174new
24440832	/root/workspace/accel-sim-framework-first-v2-formal-ingest-174new-v1
24326144	/root/workspace/accel-sim-framework-analysis-sharded-v2-174new
24252416	/root/workspace/accel-sim-framework-analysis-prep-174new-v1
24150016	/root/workspace/accel-sim-framework-pipeline-v1-integration-174new-r1
23851008	/root/workspace/accel-sim-framework-phase-b-174new-v1
18206720	/root/.codex/sessions
1671168	/root/.codex/skills
282624	/root/.dotnet
278528	/root/.dotnet/corefx
114688	/root/.cache/huggingface
61440	/root/.config
53248	/root/.codex/attachments
49152	/root/.codex/tmp
32768	/root/.copilot
28672	/root/.ssh
20480	/root/.local/bin
20480	/root/.config/codex
20480	/root/.config/Code
16384	/root/.copilot/logs
12288	/root/.local/state
12288	/root/.config/gh
12288	/root/.codex/shell_snapshots
12288	/root/.claude
