relative_path	size_bytes	sha256	durable_destination
qwen25_s2_census.nsys-rep	1943124	3e234eb92b1ae8f8296ad8c85fbb7dea2ddea1a019b989bca2967a036547f626	/root/share/mnt164/huangrulin/c16_ai_workload/provenance/awma/qwen25_s2_kernel_census_20260917T101100Z/qwen25_s2_census.nsys-rep
qwen25_s2_census.sqlite	5410816	17d9551472a4b8d090a6aa9437ff9a74d90f336ae1ab15189ed108da1041734d	/root/share/mnt164/huangrulin/c16_ai_workload/provenance/awma/qwen25_s2_kernel_census_20260917T101100Z/qwen25_s2_census.sqlite
driver.py	2400	824f88b975580288a6a68b6997aa4ce5a611e241c42fd347fc2f59e933faab6c	/root/share/mnt164/huangrulin/c16_ai_workload/provenance/awma/qwen25_s2_kernel_census_20260917T101100Z/driver.py
driver.stdout	1766	1763640c27fa0d43eb7b3bcadf5bf5f2b89dbbdb8a34d36fd5ea56503ab6cf28	/root/share/mnt164/huangrulin/c16_ai_workload/provenance/awma/qwen25_s2_kernel_census_20260917T101100Z/driver.stdout
driver.stderr	256	7983ac3789868f44973c82b22ad7c7fac709c77cd235473c0257474ddcc31505	/root/share/mnt164/huangrulin/c16_ai_workload/provenance/awma/qwen25_s2_kernel_census_20260917T101100Z/driver.stderr
gpu_before.csv	61	8fec9291df99ad7b1e49a7b4c77a761b0287ed9135e5e5c2711c90d13f42eb0a	/root/share/mnt164/huangrulin/c16_ai_workload/provenance/awma/qwen25_s2_kernel_census_20260917T101100Z/gpu_before.csv
gpu_post_archive.csv	61	8fec9291df99ad7b1e49a7b4c77a761b0287ed9135e5e5c2711c90d13f42eb0a	/root/share/mnt164/huangrulin/c16_ai_workload/provenance/awma/qwen25_s2_kernel_census_20260917T101100Z/gpu_post_archive.csv
analysis/ALL_KERNEL_LAUNCHES.tsv	22974997	7825697aa23647daee6a38ac4436029c5746fe29a468d303520d3884f2b4abef	/root/share/mnt164/huangrulin/c16_ai_workload/provenance/awma/qwen25_s2_kernel_census_20260917T101100Z/analysis/ALL_KERNEL_LAUNCHES.tsv
analysis/ALL_KERNEL_LAUNCHES_INDEX.json	301	a8e83d840e31456a1a83e2033302cd472e02d02fd05ba9441651d0b774f93859	/root/share/mnt164/huangrulin/c16_ai_workload/provenance/awma/qwen25_s2_kernel_census_20260917T101100Z/analysis/ALL_KERNEL_LAUNCHES_INDEX.json
analysis/ATTENTION_KERNEL_SUMMARY.tsv	494	7c159ac8a9d2c1a10860b5c8eae45592eeb010d51185b37eca09d2d5041e6565	/root/share/mnt164/huangrulin/c16_ai_workload/provenance/awma/qwen25_s2_kernel_census_20260917T101100Z/analysis/ATTENTION_KERNEL_SUMMARY.tsv
analysis/FLASH_ATTENTION_OCCURRENCES.tsv	1161354	05b7f99d1a0693ef275c477e81ebcba56f921b0ac7512ad0360a6fff125188c0	/root/share/mnt164/huangrulin/c16_ai_workload/provenance/awma/qwen25_s2_kernel_census_20260917T101100Z/analysis/FLASH_ATTENTION_OCCURRENCES.tsv
analysis/KERNEL_FAMILY_SUMMARY.tsv	48963	ee66223ac23df30f6118cc471f3410a3075bfdf6df7e0966fc4a7205dd368d4a	/root/share/mnt164/huangrulin/c16_ai_workload/provenance/awma/qwen25_s2_kernel_census_20260917T101100Z/analysis/KERNEL_FAMILY_SUMMARY.tsv
analysis/PHASE_SUMMARY.tsv	11432	9c50d7e59c25c1f6e04317bd93d5abbff99788e34a3e6b820a6b773aad96bd32	/root/share/mnt164/huangrulin/c16_ai_workload/provenance/awma/qwen25_s2_kernel_census_20260917T101100Z/analysis/PHASE_SUMMARY.tsv
analysis/Q05_REPRESENTATIVENESS.json	674	e812555b3c0bc08d66b1aa64f0185d826a0f9baef8089eb9187e286869fd6e88	/root/share/mnt164/huangrulin/c16_ai_workload/provenance/awma/qwen25_s2_kernel_census_20260917T101100Z/analysis/Q05_REPRESENTATIVENESS.json
analysis/RUN_RECEIPT.json	6966	f0b3f309d60a3da12afe4909d1ead1ff30468673b83bcb4c03925b73410401be	/root/share/mnt164/huangrulin/c16_ai_workload/provenance/awma/qwen25_s2_kernel_census_20260917T101100Z/analysis/RUN_RECEIPT.json
analysis/SEMANTIC_KERNEL_SUMMARY.tsv	17600	c59487b0f364b7809645ab063937ee8e2f27a166f8fa2fddc6b9c3c8c1b7d225	/root/share/mnt164/huangrulin/c16_ai_workload/provenance/awma/qwen25_s2_kernel_census_20260917T101100Z/analysis/SEMANTIC_KERNEL_SUMMARY.tsv
analysis/SEMANTIC_RULES.md	257	772a0ea1ef2fcf884296584655b411eab910a1a68e16a8328aac5bb4d45a1828	/root/share/mnt164/huangrulin/c16_ai_workload/provenance/awma/qwen25_s2_kernel_census_20260917T101100Z/analysis/SEMANTIC_RULES.md
analysis/SHA256SUMS	911	ff28e0d2b20469b729f0b52c56a2237ec44d7ea6d47e0deb11fab66b5845a0ce	/root/share/mnt164/huangrulin/c16_ai_workload/provenance/awma/qwen25_s2_kernel_census_20260917T101100Z/analysis/SHA256SUMS
