bank_attempts,bank_conflicts,bank_grants,bank_logical_ops,bank_requests,bank_retry_attempts,bank_true_conflict_events,bank_true_conflict_ops,bank_wait_cycles,block_bank,c7d_bank0_grants,c7d_bank0_logical_ops,c7d_bank0_true_conflict_ops,c7d_bank0_wait_cycles,c7d_bank1_grants,c7d_bank1_logical_ops,c7d_bank1_true_conflict_ops,c7d_bank1_wait_cycles,c7d_bank2_grants,c7d_bank2_logical_ops,c7d_bank2_true_conflict_ops,c7d_bank2_wait_cycles,c7d_bank3_grants,c7d_bank3_logical_ops,c7d_bank3_true_conflict_ops,c7d_bank3_wait_cycles,c7d_bank_bypass_fill,c7d_bank_bypass_read,c7d_bank_fill_write,c7d_bank_resident_hit_read,c7d_bank_resident_write,c7d_bank_wb_readout,kernel_uid,samples,schema_version,scope,slice
15624,0,15624,15624,15624,0,0,0,0,0,3904,3904,0,0,3860,3860,0,0,4092,4092,0,0,3768,3768,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,0
15624,0,15624,15624,15624,0,0,0,0,0,3928,3928,0,0,3832,3832,0,0,4164,4164,0,0,3700,3700,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,1
15624,0,15624,15624,15624,0,0,0,0,0,3916,3916,0,0,3908,3908,0,0,4076,4076,0,0,3724,3724,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,2
15624,0,15624,15624,15624,0,0,0,0,0,3916,3916,0,0,3908,3908,0,0,4044,4044,0,0,3756,3756,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,3
15624,0,15624,15624,15624,0,0,0,0,0,3924,3924,0,0,3936,3936,0,0,4092,4092,0,0,3672,3672,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,4
15624,0,15624,15624,15624,0,0,0,0,0,3924,3924,0,0,3940,3940,0,0,4060,4060,0,0,3700,3700,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,5
15624,0,15624,15624,15624,0,0,0,0,0,3836,3836,0,0,3932,3932,0,0,4148,4148,0,0,3708,3708,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,6
15624,0,15624,15624,15624,0,0,0,0,0,3872,3872,0,0,3912,3912,0,0,4136,4136,0,0,3704,3704,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,7
15632,0,15632,15632,15632,0,0,0,0,0,3908,3908,0,0,3928,3928,0,0,4032,4032,0,0,3764,3764,0,0,0,0,15632,0,0,0,18446744073709551615,73325,EPL2B0V1,application,8
15624,0,15624,15624,15624,0,0,0,0,0,3896,3896,0,0,3916,3916,0,0,4024,4024,0,0,3788,3788,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,9
15632,0,15632,15632,15632,0,0,0,0,0,3912,3912,0,0,3920,3920,0,0,4008,4008,0,0,3792,3792,0,0,0,0,15632,0,0,0,18446744073709551615,73325,EPL2B0V1,application,10
15624,0,15624,15624,15624,0,0,0,0,0,3916,3916,0,0,3892,3892,0,0,4028,4028,0,0,3788,3788,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,11
15632,0,15632,15632,15632,0,0,0,0,0,3880,3880,0,0,3916,3916,0,0,4020,4020,0,0,3816,3816,0,0,0,0,15632,0,0,0,18446744073709551615,73325,EPL2B0V1,application,12
15624,0,15624,15624,15624,0,0,0,0,0,3812,3812,0,0,4020,4020,0,0,3944,3944,0,0,3848,3848,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,13
15632,0,15632,15632,15632,0,0,0,0,0,3836,3836,0,0,3988,3988,0,0,4084,4084,0,0,3724,3724,0,0,0,0,15632,0,0,0,18446744073709551615,73325,EPL2B0V1,application,14
15624,0,15624,15624,15624,0,0,0,0,0,3856,3856,0,0,3984,3984,0,0,4084,4084,0,0,3700,3700,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,15
15624,0,15624,15624,15624,0,0,0,0,0,3832,3832,0,0,4000,4000,0,0,4036,4036,0,0,3756,3756,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,16
15624,0,15624,15624,15624,0,0,0,0,0,3960,3960,0,0,3924,3924,0,0,4100,4100,0,0,3640,3640,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,17
15624,0,15624,15624,15624,0,0,0,0,0,3992,3992,0,0,3884,3884,0,0,3984,3984,0,0,3764,3764,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,18
15624,0,15624,15624,15624,0,0,0,0,0,3912,3912,0,0,3876,3876,0,0,4068,4068,0,0,3768,3768,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,19
15624,0,15624,15624,15624,0,0,0,0,0,3872,3872,0,0,3884,3884,0,0,4036,4036,0,0,3832,3832,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,20
15624,0,15624,15624,15624,0,0,0,0,0,3848,3848,0,0,3856,3856,0,0,4032,4032,0,0,3888,3888,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,21
15624,0,15624,15624,15624,0,0,0,0,0,3852,3852,0,0,3960,3960,0,0,4032,4032,0,0,3780,3780,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,22
15624,0,15624,15624,15624,0,0,0,0,0,3860,3860,0,0,3912,3912,0,0,4104,4104,0,0,3748,3748,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,23
15624,0,15624,15624,15624,0,0,0,0,0,3824,3824,0,0,3948,3948,0,0,4064,4064,0,0,3788,3788,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,24
15632,0,15632,15632,15632,0,0,0,0,0,3888,3888,0,0,3896,3896,0,0,4076,4076,0,0,3772,3772,0,0,0,0,15632,0,0,0,18446744073709551615,73325,EPL2B0V1,application,25
15624,0,15624,15624,15624,0,0,0,0,0,3920,3920,0,0,3880,3880,0,0,4040,4040,0,0,3784,3784,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,26
15632,0,15632,15632,15632,0,0,0,0,0,3920,3920,0,0,3940,3940,0,0,4052,4052,0,0,3720,3720,0,0,0,0,15632,0,0,0,18446744073709551615,73325,EPL2B0V1,application,27
15624,0,15624,15624,15624,0,0,0,0,0,3876,3876,0,0,3880,3880,0,0,4052,4052,0,0,3816,3816,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,28
15632,0,15632,15632,15632,0,0,0,0,0,3860,3860,0,0,3948,3948,0,0,4016,4016,0,0,3808,3808,0,0,0,0,15632,0,0,0,18446744073709551615,73325,EPL2B0V1,application,29
15624,0,15624,15624,15624,0,0,0,0,0,3928,3928,0,0,3828,3828,0,0,4076,4076,0,0,3792,3792,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,30
15632,0,15632,15632,15632,0,0,0,0,0,3856,3856,0,0,3892,3892,0,0,4064,4064,0,0,3820,3820,0,0,0,0,15632,0,0,0,18446744073709551615,73325,EPL2B0V1,application,31
15624,0,15624,15624,15624,0,0,0,0,0,3880,3880,0,0,3956,3956,0,0,4048,4048,0,0,3740,3740,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,32
15624,0,15624,15624,15624,0,0,0,0,0,3796,3796,0,0,4016,4016,0,0,4028,4028,0,0,3784,3784,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,33
15624,0,15624,15624,15624,0,0,0,0,0,3968,3968,0,0,3936,3936,0,0,4060,4060,0,0,3660,3660,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,34
15624,0,15624,15624,15624,0,0,0,0,0,3904,3904,0,0,3924,3924,0,0,4068,4068,0,0,3728,3728,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,35
15624,0,15624,15624,15624,0,0,0,0,0,3872,3872,0,0,3992,3992,0,0,3892,3892,0,0,3868,3868,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,36
15624,0,15624,15624,15624,0,0,0,0,0,3760,3760,0,0,4028,4028,0,0,3900,3900,0,0,3936,3936,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,37
15624,0,15624,15624,15624,0,0,0,0,0,3904,3904,0,0,3900,3900,0,0,4040,4040,0,0,3780,3780,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,38
15624,0,15624,15624,15624,0,0,0,0,0,3832,3832,0,0,3972,3972,0,0,4104,4104,0,0,3716,3716,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,39
15624,0,15624,15624,15624,0,0,0,0,0,3884,3884,0,0,3976,3976,0,0,3992,3992,0,0,3772,3772,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,40
15624,0,15624,15624,15624,0,0,0,0,0,3844,3844,0,0,3984,3984,0,0,4080,4080,0,0,3716,3716,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,41
15624,0,15624,15624,15624,0,0,0,0,0,3920,3920,0,0,3884,3884,0,0,4032,4032,0,0,3788,3788,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,42
15624,0,15624,15624,15624,0,0,0,0,0,3872,3872,0,0,3916,3916,0,0,4104,4104,0,0,3732,3732,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,43
15624,0,15624,15624,15624,0,0,0,0,0,3832,3832,0,0,3988,3988,0,0,3976,3976,0,0,3828,3828,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,44
15624,0,15624,15624,15624,0,0,0,0,0,3840,3840,0,0,3956,3956,0,0,4080,4080,0,0,3748,3748,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,45
15624,0,15624,15624,15624,0,0,0,0,0,3904,3904,0,0,3924,3924,0,0,4016,4016,0,0,3780,3780,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,46
15624,0,15624,15624,15624,0,0,0,0,0,3888,3888,0,0,3940,3940,0,0,4088,4088,0,0,3708,3708,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,47
15624,0,15624,15624,15624,0,0,0,0,0,3876,3876,0,0,3908,3908,0,0,4068,4068,0,0,3772,3772,0,0,0,0,15624,0,0,0,18446744073709551615,73325,EPL2B0V1,application,48
