bank_attempts,bank_conflicts,bank_grants,bank_logical_ops,bank_requests,bank_retry_attempts,bank_true_conflict_events,bank_true_conflict_ops,bank_wait_cycles,block_bank,block_descriptor,block_l1,block_lower,block_payload,block_wad,bypass_payload_avg,bypass_payload_max,bypass_payload_p95,c7d_bank0_grants,c7d_bank0_logical_ops,c7d_bank0_true_conflict_ops,c7d_bank0_wait_cycles,c7d_bank1_grants,c7d_bank1_logical_ops,c7d_bank1_true_conflict_ops,c7d_bank1_wait_cycles,c7d_bank2_grants,c7d_bank2_logical_ops,c7d_bank2_true_conflict_ops,c7d_bank2_wait_cycles,c7d_bank3_grants,c7d_bank3_logical_ops,c7d_bank3_true_conflict_ops,c7d_bank3_wait_cycles,c7d_bank_bypass_fill,c7d_bank_bypass_read,c7d_bank_fill_write,c7d_bank_resident_hit_read,c7d_bank_resident_write,c7d_bank_wb_readout,c7d_bypass_pending_avg,c7d_bypass_pending_max,c7d_bypass_pending_p95,c7d_bypass_ready_avg,c7d_bypass_ready_max,c7d_bypass_ready_p95,c7d_descriptor_alloc_eligible,c7d_descriptor_pool_full_block,c7d_l2_to_dram_full_block,c7d_line_alloc_block,c7d_line_alloc_eligible,c7d_line_mshr_alloc_eligible,c7d_line_mshr_full_block,c7d_missq_full_block,c7d_payload_capacity_allocation_denial,c7d_payload_service_port_denial,c7d_per_address_cap_block,c7d_per_address_cap_eligible,c7d_reserved_avg,c7d_reserved_max,c7d_reserved_p95,c7d_reserved_set_max,c7d_resident_dirty_avg,c7d_resident_dirty_max,c7d_resident_dirty_p95,c7d_resident_pending_sector_avg,c7d_resident_pending_sector_max,c7d_resident_pending_sector_p95,c7d_resident_valid_avg,c7d_resident_valid_max,c7d_resident_valid_p95,c7d_tag_set_all_reserved_block,c7d_wad_full_events,c7d_wad_hazard_events,c7d_wad_hazard_wait_cycles,c7d_wad_lifetime_avg,c7d_wad_lifetime_max,c7d_wad_lifetime_p95,completion_cycle,descriptor_avg,descriptor_max,descriptor_p95,interval,kernel_uid,line_mshr_avg,line_mshr_max,line_mshr_p95,lowerq_avg,lowerq_max,missq_avg,missq_max,overlap_detected,resident_payload_avg,resident_payload_max,resident_payload_p95,samples,schema_version,scope,slice,start_cycle,wad_avg,wad_max,wad_p95
15624,0,15624,15624,15624,0,0,0,0,0,36825,0,36825,0,0,0,0,0,3904,3904,0,0,3860,3860,0,0,4092,4092,0,0,3768,3768,0,0,0,0,15624,0,0,0,0,0,0,0,0,0,52449,36825,36825,0,60257,3906,0,0,0,0,0,11718,59,92,70,3,293,384,352,59,92,70,839,1024,965,0,0,0,0,0,0,0,73325,226,256,256,application_cumulative,18446744073709551615,59,92,70,113,128,44,97,0,896,1024,1024,73325,EPL2B0V1,application,0,0,29,75,57
15624,0,15624,15624,15624,0,0,0,0,0,36959,0,36959,0,0,0,0,0,3928,3928,0,0,3832,3832,0,0,4164,4164,0,0,3700,3700,0,0,0,0,15624,0,0,0,0,0,0,0,0,0,52583,36959,36959,0,60399,3906,0,0,0,0,0,11718,59,88,70,3,292,382,352,59,88,70,839,1024,966,0,0,0,0,0,0,0,73325,226,256,256,application_cumulative,18446744073709551615,59,88,70,113,128,43,97,0,896,1024,1024,73325,EPL2B0V1,application,1,0,29,74,58
15624,0,15624,15624,15624,0,0,0,0,0,38461,0,38461,0,0,0,0,0,3916,3916,0,0,3908,3908,0,0,4076,4076,0,0,3724,3724,0,0,0,0,15624,0,0,0,0,0,0,0,0,0,54085,38461,38461,0,61893,3906,0,0,0,0,0,11718,60,89,71,3,296,373,353,60,89,71,839,1024,964,0,0,0,0,0,0,0,73325,227,256,256,application_cumulative,18446744073709551615,60,89,71,114,128,44,91,0,896,1024,1024,73325,EPL2B0V1,application,2,0,29,67,55
15624,0,15624,15624,15624,0,0,0,0,0,38157,0,38157,0,0,0,0,0,3916,3916,0,0,3908,3908,0,0,4044,4044,0,0,3756,3756,0,0,0,0,15624,0,0,0,0,0,0,0,0,0,53781,38157,38157,0,61597,3906,0,0,0,0,0,11718,60,86,70,3,295,374,352,60,86,70,839,1024,965,0,0,0,0,0,0,0,73325,227,256,256,application_cumulative,18446744073709551615,60,86,70,114,128,45,92,0,896,1024,1024,73325,EPL2B0V1,application,3,0,29,66,55
15624,0,15624,15624,15624,0,0,0,0,0,36057,0,36057,0,0,0,0,0,3924,3924,0,0,3936,3936,0,0,4092,4092,0,0,3672,3672,0,0,0,0,15624,0,0,0,0,0,0,0,0,0,51681,36057,36057,0,59489,3906,0,0,0,0,0,11718,59,89,70,3,294,381,352,59,89,70,839,1024,966,0,0,0,0,0,0,0,73325,226,256,256,application_cumulative,18446744073709551615,59,89,70,113,128,44,95,0,896,1024,1024,73325,EPL2B0V1,application,4,0,29,72,56
15624,0,15624,15624,15624,0,0,0,0,0,36139,0,36139,0,0,0,0,0,3924,3924,0,0,3940,3940,0,0,4060,4060,0,0,3700,3700,0,0,0,0,15624,0,0,0,0,0,0,0,0,0,51763,36139,36139,0,59579,3906,0,0,0,0,0,11718,59,86,70,3,294,382,352,59,86,70,839,1024,965,0,0,0,0,0,0,0,73325,226,256,256,application_cumulative,18446744073709551615,59,86,70,113,128,44,99,0,896,1024,1024,73325,EPL2B0V1,application,5,0,29,74,57
15624,0,15624,15624,15624,0,0,0,0,0,33739,0,33739,0,0,0,0,0,3836,3836,0,0,3932,3932,0,0,4148,4148,0,0,3708,3708,0,0,0,0,15624,0,0,0,0,0,0,0,0,0,49363,33739,33739,0,57171,3906,0,0,0,0,0,11718,59,87,70,3,289,384,350,59,87,70,840,1024,968,0,0,0,0,0,0,0,73325,223,256,256,application_cumulative,18446744073709551615,59,87,70,112,128,44,103,0,896,1024,1024,73325,EPL2B0V1,application,6,0,30,95,60
15624,0,15624,15624,15624,0,0,0,0,0,34435,0,34435,0,0,0,0,0,3872,3872,0,0,3912,3912,0,0,4136,4136,0,0,3704,3704,0,0,0,0,15624,0,0,0,0,0,0,0,0,0,50059,34435,34435,0,57875,3906,0,0,0,0,0,11718,59,89,71,3,288,382,348,59,89,71,840,1024,969,0,0,0,0,0,0,0,73325,223,256,256,application_cumulative,18446744073709551615,59,89,71,113,128,43,102,0,896,1024,1024,73325,EPL2B0V1,application,7,0,30,95,61
15632,0,15632,15632,15632,0,0,0,0,0,37031,0,37031,0,0,0,0,0,3908,3908,0,0,3928,3928,0,0,4032,4032,0,0,3764,3764,0,0,0,0,15632,0,0,0,0,0,0,0,0,0,52663,37031,37031,0,60471,3908,0,0,0,0,0,11724,59,86,70,3,293,382,352,59,86,70,839,1024,965,0,0,0,0,0,0,0,73325,226,256,256,application_cumulative,18446744073709551615,59,86,70,113,128,44,99,0,896,1024,1024,73325,EPL2B0V1,application,8,0,29,72,58
15624,0,15624,15624,15624,0,0,0,0,0,37123,0,37123,0,0,0,0,0,3896,3896,0,0,3916,3916,0,0,4024,4024,0,0,3788,3788,0,0,0,0,15624,0,0,0,0,0,0,0,0,0,52747,37123,37123,0,60563,3906,0,0,0,0,0,11718,59,90,70,3,293,382,352,59,90,70,839,1024,966,0,0,0,0,0,0,0,73325,225,256,256,application_cumulative,18446744073709551615,59,90,70,113,128,45,100,0,896,1024,1024,73325,EPL2B0V1,application,9,0,29,75,58
