# C10-A2 runtime fair-arm selector contract. No row is a performance result.
arm_id	selector_value	official_selectable	l2_mode	page_size_class	l2_entries	associativity	sets	segment_enabled	segment_slots	segment_replicas	lseg_points	segment_accept_rate	charged_bits	status
F0	1	true	exact	64KiB	768	16	48	false	0	0	NA	NA	66000	OFFICIAL_BASELINE
F1	2	true	subentry16	64KiB	96	16	6	false	0	0	NA	NA	59802	OFFICIAL_REFERENCE_APPROX_SUBENTRY_16
F2	3	true	exact	64KiB	688	16	43	false	0	0	NA	NA	59125	OFFICIAL_COMPARATOR
F3	4	true	exact	64KiB	E_GT_768_MULTIPLE_OF_16	16	E_DIV_16	false	0	0	NA	NA	E*85+(E/16)*15	OFFICIAL_CHARGED_SWEEP
F4	5	true	exact	64KiB	1536	16	96	false	0	0	NA	NA	132000	DIAGNOSTIC_NOT_EQUAL_COST
F5	6	false	blocked	64KiB	656	16	41	false	0	0	NA	NA	64745	F5_MODEL_IMPLEMENTATION_INCOMPLETE_C10B_BLOCKER
F6	7	true	exact	2MiB	848	16	53	false	0	0	NA	NA	65243	DIAGNOSTIC_PAGE_POLICY_REQUIRED
F7	8	true	exact	64KiB	320	16	20	true	8	35	5|10|20	ONE_LOCAL_L1_ACCEPT_PER_CYCLE	65300	OFFICIAL_SPECULATIVE_CANDIDATE
F8	9	true	subentry16	64KiB	32	16	2	true	8	35	5|10|20	ONE_LOCAL_L1_ACCEPT_PER_CYCLE	57734	OFFICIAL_REFERENCE_APPROX_SUBENTRY_16_SPECULATIVE_CANDIDATE
F9	10	true	exact	64KiB	656	16	41	false	0	0	NA	NA	56375	OFFICIAL_COMPARATOR
H0	11	false	historical_unfair	64KiB	768_groups	16	48	false	0	0	NA	NA	478416	HISTORICAL_UNFAIR_SPECULATIVE_CANDIDATE_DO_NOT_SELECT
