l1d_accesses,l1d_bank_latency_queue_conflict,l1d_line_alloc_fail,l1d_miss_queue_full,l1d_misses,l1d_mshr_entry_fail,l1d_mshr_merge_fail,l1d_mshr_rw_pending,variant,workload
1500000,144409,0,1263518,1500000,0,0,0,LEGACY,vectorAdd_4M
1500000,144409,0,1263518,1500000,0,0,0,BANKED,vectorAdd_4M
42764800,55242027,471629,38533635,35947209,124523721,0,0,LEGACY,scan
42764800,55242027,471629,38533635,35947209,124523721,0,0,BANKED,scan
650620,604733,0,73304,432620,1399927,7324,0,LEGACY,spmv
650620,604733,0,73304,432620,1399927,7324,0,BANKED,spmv
5289984,3811459,5179994,1460359,5215696,2242333,0,0,LEGACY,convolutionSeparable
5289984,3811459,5179994,1460359,5215696,2242333,0,0,BANKED,convolutionSeparable
1539872,628708,498,780328,1328553,454367,0,0,LEGACY,cfd_097k
1539872,634969,1250,786287,1333347,461031,0,0,BANKED,cfd_097k
1704000,602591,0,1929192,1641970,0,0,0,LEGACY,dwt2d
1704000,602591,0,1929192,1641970,0,0,0,BANKED,dwt2d
505098,17622,0,340795,422873,0,0,0,LEGACY,sad
505098,17622,0,340795,422873,0,0,0,BANKED,sad
9698304,329353,0,331698,2452480,0,0,0,LEGACY,sgemm
9698304,329353,0,331698,2452480,0,0,0,BANKED,sgemm
4249841,346228,0,233530,1340267,0,527591,0,LEGACY,btree
4249841,346228,0,233530,1340267,0,527591,0,BANKED,btree
10223616,8909207,0,19940958,5242880,4709556,0,0,LEGACY,FWT_7_21
10223616,8909207,0,19940958,5242880,4709556,0,0,BANKED,FWT_7_21
2162688,1095194,0,2680785,1114112,274558,0,0,LEGACY,FWT_11_19
2162688,1095194,0,2680785,1114112,274558,0,0,BANKED,FWT_11_19
