bank0_grants,bank0_logical_ops,bank0_true_conflict_ops,bank0_wait_cycles,bank1_grants,bank1_logical_ops,bank1_true_conflict_ops,bank1_wait_cycles,bank2_grants,bank2_logical_ops,bank2_true_conflict_ops,bank2_wait_cycles,bank3_grants,bank3_logical_ops,bank3_true_conflict_ops,bank3_wait_cycles,bank_attempts,bank_grants,bank_logical_ops,bank_retry_attempts,bank_true_conflict_events,bank_true_conflict_ops,bank_true_conflict_rate,bank_wait_cycles,variant,workload
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000,0,LEGACY,vectorAdd_4M
248616,248616,0,0,251144,251144,0,0,258920,258920,0,0,241320,241320,0,0,1000000,1000000,1000000,0,0,0,0.000000000,0,BANKED,vectorAdd_4M
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000,0,LEGACY,scan
7044581,7044581,0,0,7069598,7069598,0,0,7049440,7049440,0,0,7081359,7081359,0,0,28244978,28244978,28244978,0,0,0,0.000000000,0,BANKED,scan
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000,0,LEGACY,spmv
112637,112637,0,0,106137,106137,0,0,101051,101051,0,0,102677,102677,0,0,422502,422502,422502,0,0,0,0.000000000,0,BANKED,spmv
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000,0,LEGACY,convolutionSeparable
674668,674668,0,0,674943,674943,0,0,696933,696933,0,0,693926,693926,0,0,2740470,2740470,2740470,0,0,0,0.000000000,0,BANKED,convolutionSeparable
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000,0,LEGACY,cfd_097k
224017,224017,3386,3386,290410,290410,2857,2857,289617,289617,4221,4221,289422,289422,5702,5702,1109632,1093466,1093466,16166,16166,16166,0.014784182,16166,BANKED,cfd_097k
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000,0,LEGACY,dwt2d
199200,199200,0,0,216376,216376,0,0,219144,219144,0,0,212654,212654,0,0,847374,847374,847374,0,0,0,0.000000000,0,BANKED,dwt2d
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000,0,LEGACY,sad
40709,40709,0,0,46105,46105,0,0,51489,51489,0,0,50523,50523,0,0,188826,188826,188826,0,0,0,0.000000000,0,BANKED,sad
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000,0,LEGACY,sgemm
457720,457720,0,0,443460,443460,0,0,465366,465366,0,0,453352,453352,0,0,1819898,1819898,1819898,0,0,0,0.000000000,0,BANKED,sgemm
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000,0,LEGACY,btree
474909,474909,0,0,279352,279352,0,0,293926,293926,0,0,322647,322647,0,0,1370834,1370834,1370834,0,0,0,0.000000000,0,BANKED,btree
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000,0,LEGACY,FWT_7_21
2556304,2556304,0,0,2557404,2557404,0,0,2555924,2555924,0,0,2553984,2553984,0,0,10223616,10223616,10223616,0,0,0,0.000000000,0,BANKED,FWT_7_21
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000000000,0,LEGACY,FWT_11_19
540672,540672,0,0,540672,540672,0,0,540672,540672,0,0,540672,540672,0,0,2162688,2162688,2162688,0,0,0,0.000000000,0,BANKED,FWT_11_19
