model_id	revision	deployment_id	dense_or_moe	attention_representation	layer_count	hidden_size	intermediate_sizes	head_dimensions	local_kv_heads	expert_count	top_k	shared_experts	weight_dtype	activation_dtype	kv_dtype	quantization_method	quant_group_size	tying_status	tensor_parallel	pipeline_parallel	expert_parallel	rank	kv_layout	allocation_mode	logits_policy	implementation_identity	native_hardware	fields_verified	readiness_tier
Qwen/Qwen2.5-0.5B-Instruct	7ae557604adf67be50417f59c2c2f167def9a775	fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	DENSE	STANDARD_KV_CANDIDATE	24	896	4864	64	2	NA	NA	NA	BF16	NA	NA	NA	NA	CONFIG_TIED	1	1	1	0	UNVERIFIED_STATIC_DEPLOYMENT	UNVERIFIED_RUNTIME	NA	qwen2	NA	"[""revision"",""model_type"",""num_hidden_layers"",""hidden_size"",""num_attention_heads"",""num_key_value_heads""]"	STATIC_HEADER_VERIFIED
Qwen/Qwen2.5-7B-Instruct	a09a35458c702b33eeacc393d103063234e8bc28	76212cb557a7830eb2692351ee5329e660e83ea54c334924af9cb34391baff7d	DENSE	STANDARD_KV_CANDIDATE	28	3584	18944	128	4	NA	NA	NA	BF16	NA	NA	NA	NA	CONFIG_UNTIED_OR_UNSPECIFIED	1	1	1	0	UNVERIFIED_STATIC_DEPLOYMENT	UNVERIFIED_RUNTIME	NA	qwen2	NA	"[""revision"",""model_type"",""num_hidden_layers"",""hidden_size"",""num_attention_heads"",""num_key_value_heads""]"	STATIC_HEADER_VERIFIED
Qwen/Qwen2.5-7B-Instruct-AWQ	b25037543e9394b818fdfca67ab2a00ecc7dd641	4398395677622815eb3719b6f78c959c7a761febc6211d83cd9d587cccc06f8c	DENSE	STANDARD_KV_CANDIDATE	28	3584	18944	128	4	NA	NA	NA	MIXED:F16,I32	NA	NA	awq	128	CONFIG_UNTIED_OR_UNSPECIFIED	1	1	1	0	UNVERIFIED_STATIC_DEPLOYMENT	UNVERIFIED_RUNTIME	NA	qwen2	NA	"[""revision"",""model_type"",""num_hidden_layers"",""hidden_size"",""num_attention_heads"",""num_key_value_heads""]"	STATIC_HEADER_VERIFIED
Qwen/Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	3cddd8e22bb36a4dc181415c6c88b0f0a149e75f976b38e110919e258ade5856	DENSE	STANDARD_KV_CANDIDATE	36	4096	12288	128	8	NA	NA	NA	NA	NA	NA	NA	NA	CONFIG_UNTIED_OR_UNSPECIFIED	1	1	1	0	UNVERIFIED_STATIC_DEPLOYMENT	UNVERIFIED_RUNTIME	NA	qwen3	NA	"[""revision"",""model_type"",""num_hidden_layers"",""hidden_size"",""num_attention_heads"",""num_key_value_heads""]"	STATIC_CONFIG_ONLY
Qwen/Qwen3-30B-A3B	ad44e777bcd18fa416d9da3bd8f70d33ebb85d39	d30463c604d39cac0d3f615032332fd8b87a4784cdd06c6185a67325a18cbb5c	MOE	STANDARD_KV_CANDIDATE	48	2048	6144	128	4	128	8	NA	NA	NA	NA	NA	NA	CONFIG_UNTIED_OR_UNSPECIFIED	1	1	1	0	UNVERIFIED_STATIC_DEPLOYMENT	UNVERIFIED_RUNTIME	NA	qwen3_moe	NA	"[""revision"",""model_type"",""num_hidden_layers"",""hidden_size"",""num_attention_heads"",""num_key_value_heads""]"	STATIC_CONFIG_ONLY
deepseek-ai/DeepSeek-V2-Lite	604d5664dddd88a0433dbae533b7fe9472482de0	b4ae9afb7fd28e4a130ea4cc296b8774cbf3c8d79848774bec28d46f0015db3c	MOE	MLA_OR_COMPRESSED	27	2048	10944	128	16	64	6	2	NA	NA	NA	NA	NA	CONFIG_UNTIED_OR_UNSPECIFIED	1	1	1	0	UNVERIFIED_STATIC_DEPLOYMENT	UNVERIFIED_RUNTIME	NA	deepseek_v2	NA	"[""revision"",""model_type"",""num_hidden_layers"",""hidden_size"",""num_attention_heads"",""num_key_value_heads""]"	STATIC_CONFIG_ONLY
openai/gpt-oss-20b	6cee5e81ee83917806bbde320786a8fb61efebee	5c3ed44a71a1699685b98982603fc6b3b8bffbd79c8f14b9103c23c168133726	MOE	STANDARD_KV_CANDIDATE	24	2880	2880	64	8	32	4	NA	NA	NA	NA	mxfp4	NA	CONFIG_UNTIED_OR_UNSPECIFIED	1	1	1	0	UNVERIFIED_STATIC_DEPLOYMENT	UNVERIFIED_RUNTIME	NA	gpt_oss	NA	"[""revision"",""model_type"",""num_hidden_layers"",""hidden_size"",""num_attention_heads"",""num_key_value_heads""]"	STATIC_CONFIG_ONLY
bigscience/bloom-560m	ac2ae5fab2ce3f9f40dc79b5ca9f637430d24971	c4a04c36897ef5e76a20ca30d46cf430b1ccaae9a6bdf902b16f85cbcb83704e	DENSE	STANDARD_KV_CANDIDATE	24	NA	NA	NA	16	NA	NA	NA	NA	NA	NA	NA	NA	CONFIG_UNTIED_OR_UNSPECIFIED	1	1	1	0	UNVERIFIED_STATIC_DEPLOYMENT	UNVERIFIED_RUNTIME	NA	bloom	NA	"[""revision"",""model_type"",""num_hidden_layers"",""hidden_size"",""num_attention_heads"",""num_key_value_heads""]"	STATIC_CONFIG_ONLY
facebook/opt-1.3b	3f5c25d0bc631cb57ac65913f76e22c2dfb61d62	33175976fa57807e7349d5054b8ee2a01fa46df20eb36747863a7f33e0f24d1c	DENSE	STANDARD_KV_CANDIDATE	24	2048	NA	64	32	NA	NA	NA	NA	NA	NA	NA	NA	CONFIG_UNTIED_OR_UNSPECIFIED	1	1	1	0	UNVERIFIED_STATIC_DEPLOYMENT	UNVERIFIED_RUNTIME	NA	opt	NA	"[""revision"",""model_type"",""num_hidden_layers"",""hidden_size"",""num_attention_heads"",""num_key_value_heads""]"	STATIC_CONFIG_ONLY
mistralai/Mistral-7B-v0.3	caa1feb0e54d415e2df31207e5f4e273e33509b1	e905fa5f222e38ecab569c038909d8ced15be3d820b8ebcf73ab90841497661a	DENSE	STANDARD_KV_CANDIDATE	32	4096	14336	128	8	NA	NA	NA	NA	NA	NA	NA	NA	CONFIG_UNTIED_OR_UNSPECIFIED	1	1	1	0	UNVERIFIED_STATIC_DEPLOYMENT	UNVERIFIED_RUNTIME	NA	mistral	NA	"[""revision"",""model_type"",""num_hidden_layers"",""hidden_size"",""num_attention_heads"",""num_key_value_heads""]"	STATIC_CONFIG_ONLY
