plan_id	candidate_id	model_id	candidate_role	model_counting_rule	planned_source_api	planned_revision	availability_at_freeze	metadata_budget_class	selection_basis	forbidden_result_input	readiness_target	missing_reason
C15_A_PRIMARY_V1	qwen25_0p5	Qwen/Qwen2.5-0.5B-Instruct	small_dense_gqa	one_repo_revision_is_one_model;deployment_differs_by_config	https://huggingface.co/api/models/Qwen/Qwen2.5-0.5B-Instruct	NA	PENDING_BOUNDED_QUERY	<=128MiB_per_model	Dense GQA size anchor	candidate speedup/cycle/miss result	T0_STATIC	NA
C15_A_PRIMARY_V1	qwen25_7	Qwen/Qwen2.5-7B-Instruct	medium_dense_gqa	one_repo_revision_is_one_model;deployment_differs_by-config	https://huggingface.co/api/models/Qwen/Qwen2.5-7B-Instruct	NA	PENDING_BOUNDED_QUERY	<=128MiB_per_model	Larger same-family dense comparison	candidate speedup/cycle/miss result	T0_STATIC	NA
C15_A_PRIMARY_V1	qwen25_7_awq	Qwen/Qwen2.5-7B-Instruct-AWQ	quantized_dense_pair	model_and_deployment_are_reported_separately	https://huggingface.co/api/models/Qwen/Qwen2.5-7B-Instruct-AWQ	NA	PENDING_BOUNDED_QUERY	<=128MiB_per_model	Same named model family with a storage-format deployment difference	candidate speedup/cycle/miss result	T0_STATIC	NA
C15_A_PRIMARY_V1	qwen3_0p6	Qwen/Qwen3-0.6B	dense_modern_small	one_repo_revision_is_one_model;deployment_differs_by-config	https://huggingface.co/api/models/Qwen/Qwen3-0.6B	NA	PENDING_BOUNDED_QUERY	<=128MiB_per_model	Different release generation and small dense scale	candidate speedup/cycle/miss result	T0_STATIC	NA
C15_A_PRIMARY_V1	qwen3_8	Qwen/Qwen3-8B	dense_modern_medium	one_repo_revision_is_one_model;deployment_differs_by-config	https://huggingface.co/api/models/Qwen/Qwen3-8B	NA	PENDING_BOUNDED_QUERY	<=128MiB_per_model	Dense scale pair without treating size as a dynamic result	candidate speedup/cycle/miss result	T0_STATIC	NA
C15_A_PRIMARY_V1	qwen3_a3b	Qwen/Qwen3-30B-A3B	moe_candidate	one_repo_revision_is_one_model;deployment_differs_by-config	https://huggingface.co/api/models/Qwen/Qwen3-30B-A3B	NA	PENDING_BOUNDED_QUERY	<=128MiB_per_model	Config-evidenced routed-expert candidate; verify after fetch	candidate speedup/cycle/miss result	T0_STATIC	NA
C15_A_PRIMARY_V1	deepseek_v2_lite	deepseek-ai/DeepSeek-V2-Lite	compressed_attention_moe_candidate	one_repo_revision_is_one_model;deployment_differs_by-config	https://huggingface.co/api/models/deepseek-ai/DeepSeek-V2-Lite	NA	PENDING_BOUNDED_QUERY	<=128MiB_per_model	Config-evidenced MLA/MoE candidate; verify after fetch	candidate speedup/cycle/miss result	T0_STATIC	NA
C15_A_PRIMARY_V1	gpt_oss_20b	openai/gpt-oss-20b	open_moe_candidate	one_repo_revision_is_one_model;deployment_differs_by-config	https://huggingface.co/api/models/openai/gpt-oss-20b	NA	PENDING_BOUNDED_QUERY	<=128MiB_per_model	Independent implementation and routed-expert candidate; verify after fetch	candidate speedup/cycle/miss result	T0_STATIC	NA
C15_A_PRIMARY_V1	bloom_560m	bigscience/bloom-560m	dense_alibi_mha	one_repo_revision_is_one_model;deployment_differs_by-config	https://huggingface.co/api/models/bigscience/bloom-560m	NA	PENDING_BOUNDED_QUERY	<=128MiB_per_model	Different attention-position implementation candidate	candidate speedup/cycle/miss result	T0_STATIC	NA
C15_A_PRIMARY_V1	opt_1p3b	facebook/opt-1.3b	dense_legacy_mha	one_repo_revision_is_one_model;deployment_differs_by-config	https://huggingface.co/api/models/facebook/opt-1.3b	NA	PENDING_BOUNDED_QUERY	<=128MiB_per_model	Distinct older dense implementation candidate	candidate speedup/cycle/miss result	T0_STATIC	NA
C15_A_PRIMARY_V1	mistral_7	mistralai/Mistral-7B-v0.3	dense_gqa	one_repo_revision_is_one_model;deployment_differs_by-config	https://huggingface.co/api/models/mistralai/Mistral-7B-v0.3	NA	PENDING_BOUNDED_QUERY	<=128MiB_per_model	Independent GQA implementation candidate	candidate speedup/cycle/miss result	T0_STATIC	NA
C15_A_PRIMARY_V1	falcon_7	FalconAI/falcon-7b	dense_multiquery_candidate	one_repo_revision_is_one_model;deployment_differs_by-config	https://huggingface.co/api/models/FalconAI/falcon-7b	NA	PENDING_BOUNDED_QUERY	<=128MiB_per_model	Config-evidenced multi-query candidate; verify after fetch	candidate speedup/cycle/miss result	T0_STATIC	NA
