deployment_id	model_id	revision	representation	adapter_status	layer_count	local_kv_heads	head_dim	kv_dtype_assumption	token_residency_policy	evidence_source	missing_reason
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	Qwen/Qwen2.5-0.5B-Instruct	7ae557604adf67be50417f59c2c2f167def9a775	STANDARD_KV	STATIC_FORMULA_SUPPORTED	24	2	64	CONFIG_TORCH_DTYPE:BF16	min(requested_tokens,sliding_window_if_configured)	CONFIG_JSON_SHA256:18e18afcaccafade98daf13a54092927904649e1dd4eba8299ab717d5d94ff45	NA
76212cb557a7830eb2692351ee5329e660e83ea54c334924af9cb34391baff7d	Qwen/Qwen2.5-7B-Instruct	a09a35458c702b33eeacc393d103063234e8bc28	STANDARD_KV	STATIC_FORMULA_SUPPORTED	28	4	128	CONFIG_TORCH_DTYPE:BF16	min(requested_tokens,sliding_window_if_configured)	CONFIG_JSON_SHA256:7463bb0ea78315365e6c6b74de4e73bbcc8359dfb0c5a737584e077d42c0b03c	NA
4398395677622815eb3719b6f78c959c7a761febc6211d83cd9d587cccc06f8c	Qwen/Qwen2.5-7B-Instruct-AWQ	b25037543e9394b818fdfca67ab2a00ecc7dd641	STANDARD_KV	STATIC_FORMULA_SUPPORTED	28	4	128	CONFIG_TORCH_DTYPE:F16	min(requested_tokens,sliding_window_if_configured)	CONFIG_JSON_SHA256:ec0c1f5f875ad8bc1f78c5140c22dbdde1b55478442ad358e7a4d9ecf947a327	NA
3cddd8e22bb36a4dc181415c6c88b0f0a149e75f976b38e110919e258ade5856	Qwen/Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	STANDARD_KV	STATIC_FORMULA_SUPPORTED	36	8	128	CONFIG_TORCH_DTYPE:BF16	min(requested_tokens,sliding_window_if_configured)	CONFIG_JSON_SHA256:f7c4eadfbbf522470667b797a3c89be2524832d2d599797248dc304fff447c30	NA
d30463c604d39cac0d3f615032332fd8b87a4784cdd06c6185a67325a18cbb5c	Qwen/Qwen3-30B-A3B	ad44e777bcd18fa416d9da3bd8f70d33ebb85d39	STANDARD_KV	STATIC_FORMULA_SUPPORTED	48	4	128	CONFIG_TORCH_DTYPE:BF16	min(requested_tokens,sliding_window_if_configured)	CONFIG_JSON_SHA256:2850ddb3bf7aecad20b611e2d44f3077fc8193f4827c93beddd4c02ad63c2297	NA
b4ae9afb7fd28e4a130ea4cc296b8774cbf3c8d79848774bec28d46f0015db3c	deepseek-ai/DeepSeek-V2-Lite	604d5664dddd88a0433dbae533b7fe9472482de0	MLA_OR_COMPRESSED	UNSUPPORTED_REPRESENTATION	27	16	128	NA	NA	CONFIG_JSON	MLA_OR_COMPRESSED_REPRESENTATION
5c3ed44a71a1699685b98982603fc6b3b8bffbd79c8f14b9103c23c168133726	openai/gpt-oss-20b	6cee5e81ee83917806bbde320786a8fb61efebee	STANDARD_KV_CANDIDATE	INSUFFICIENT_CONFIG_EVIDENCE	24	8	64	NA	NA	CONFIG_JSON	MISSING_SHAPE_OR_CONFIG_TORCH_DTYPE
c4a04c36897ef5e76a20ca30d46cf430b1ccaae9a6bdf902b16f85cbcb83704e	bigscience/bloom-560m	ac2ae5fab2ce3f9f40dc79b5ca9f637430d24971	STANDARD_KV_CANDIDATE	INSUFFICIENT_CONFIG_EVIDENCE	24	16	NA	NA	NA	CONFIG_JSON	MISSING_SHAPE_OR_CONFIG_TORCH_DTYPE
33175976fa57807e7349d5054b8ee2a01fa46df20eb36747863a7f33e0f24d1c	facebook/opt-1.3b	3f5c25d0bc631cb57ac65913f76e22c2dfb61d62	STANDARD_KV	STATIC_FORMULA_SUPPORTED	24	32	64	CONFIG_TORCH_DTYPE:F16	min(requested_tokens,sliding_window_if_configured)	CONFIG_JSON_SHA256:f1aaceefb7d34d346e9b0400d95fdb4970567bcbe1d4aba1068c5402099b644f	NA
e905fa5f222e38ecab569c038909d8ced15be3d820b8ebcf73ab90841497661a	mistralai/Mistral-7B-v0.3	caa1feb0e54d415e2df31207e5f4e273e33509b1	STANDARD_KV	STATIC_FORMULA_SUPPORTED	32	8	128	CONFIG_TORCH_DTYPE:BF16	min(requested_tokens,sliding_window_if_configured)	CONFIG_JSON_SHA256:affafc6478ec0fd07a32f0ca57aa2fc57743f4d17d6730f86a96ac24d1507f99	NA
