asset_id	asset_kind	discovered_path_or_ref	model_id	revision	phase	dtype	framework	hardware_scope	availability	source_commit	hash_kind	sha256	size_bytes	readonly	missing_reason
c12_provenance_matrix	FROZEN_REVIEW_PACK_TSV	git:a268aba0d01310294074ded5bb8017e2092394c0:docs/vm_tlb/review_packs/M4B_SPECULATIVE_DEVELOPMENT/C12_C5_FULL_ROI_FAIR_PERFORMANCE/PROVENANCE_MATRIX.tsv	NA	NA	prefill+decode1	NA	Accel-Sim	SIMULATED_HISTORICAL	READABLE_FIXED_GIT_OBJECT	a268aba0d01310294074ded5bb8017e2092394c0	SHA256_OF_GIT_OBJECT_CONTENT	dbc17e3489d20e64d338e61707955577338447514b566ac42dbe090acca87981	10243	true	NA
c12_raw_log_index	FROZEN_REVIEW_PACK_TSV	git:a268aba0d01310294074ded5bb8017e2092394c0:docs/vm_tlb/review_packs/M4B_SPECULATIVE_DEVELOPMENT/C12_C5_FULL_ROI_FAIR_PERFORMANCE/RAW_LOG_INDEX.tsv	NA	NA	prefill+decode1	NA	Accel-Sim	SIMULATED_HISTORICAL	READABLE_FIXED_GIT_OBJECT	a268aba0d01310294074ded5bb8017e2092394c0	SHA256_OF_GIT_OBJECT_CONTENT	62cf1d5b7a1a3415acfed43c9bf0ac309cfa519c3561e51cf4fa8db65953f95e	7419	true	RAW_LOGS_NOT_CONSUMED_BY_LANE_A
capture_metadata_schema	FROZEN_METADATA_SCHEMA	git:a268aba0d01310294074ded5bb8017e2092394c0:docs/vm_tlb/llm/METADATA_SCHEMA.md	NA	NA	NA	NA	Accel-Sim	NA	READABLE_FIXED_GIT_OBJECT	a268aba0d01310294074ded5bb8017e2092394c0	SHA256_OF_GIT_OBJECT_CONTENT	e9547f58f7f8e2cd5dc64766467fee4f48b1a7f5c828e3b833e5ff7f138ea4a5	2240	true	NA
local_huggingface_cache	LOCAL_MODEL_CACHE	/root/.cache/huggingface	NA	NA	NA	NA	NA	NA	NOT_FOUND	NA	NA	NA	NA	true	NO_AUTHORIZED_LOCAL_WEIGHT_OR_METADATA_CACHE_DISCOVERED
workspace_model_cache_scan	LOCAL_MODEL_CACHE_SCAN	/workspace(maxdepth=3,name=*model*|*huggingface*|*cache*)	NA	NA	NA	NA	NA	NA	NO_MODEL_CACHE_FOUND	NA	NA	NA	NA	true	ONLY_UNRELATED_CACHE_DIRECTORIES_FOUND;NO_MODEL_ID_INFERRED
hf_qwen25_0p5	PUBLIC_MODEL_METADATA	https://huggingface.co/api/models/Qwen/Qwen2.5-0.5B-Instruct	Qwen/Qwen2.5-0.5B-Instruct	7ae557604adf67be50417f59c2c2f167def9a775	NA	BF16	HUGGINGFACE_CONFIG_AND_SAFETENSORS	NA	HEADER_RANGE_VERIFIED	NA	CONFIG_AND_HEADER_RECEIPTS	18e18afcaccafade98daf13a54092927904649e1dd4eba8299ab717d5d94ff45	33382	true	NA
hf_qwen25_7	PUBLIC_MODEL_METADATA	https://huggingface.co/api/models/Qwen/Qwen2.5-7B-Instruct	Qwen/Qwen2.5-7B-Instruct	a09a35458c702b33eeacc393d103063234e8bc28	NA	BF16	HUGGINGFACE_CONFIG_AND_SAFETENSORS	NA	HEADER_RANGE_VERIFIED	NA	CONFIG_AND_HEADER_RECEIPTS	7463bb0ea78315365e6c6b74de4e73bbcc8359dfb0c5a737584e077d42c0b03c	67919	true	NA
hf_qwen25_7_awq	PUBLIC_MODEL_METADATA	https://huggingface.co/api/models/Qwen/Qwen2.5-7B-Instruct-AWQ	Qwen/Qwen2.5-7B-Instruct-AWQ	b25037543e9394b818fdfca67ab2a00ecc7dd641	NA	MIXED:F16,I32	HUGGINGFACE_CONFIG_AND_SAFETENSORS	NA	HEADER_RANGE_VERIFIED	NA	CONFIG_AND_HEADER_RECEIPTS	ec0c1f5f875ad8bc1f78c5140c22dbdde1b55478442ad358e7a4d9ecf947a327	146417	true	NA
hf_qwen3_0p6	PUBLIC_MODEL_METADATA	https://huggingface.co/api/models/Qwen/Qwen3-0.6B	Qwen/Qwen3-0.6B	NA	NA	NA	NA	NA	UNAVAILABLE	NA	API_METADATA_SHA256	NA	NA	true	IMMUTABLE_REVISION_UNAVAILABLE
hf_qwen3_8	PUBLIC_MODEL_METADATA	https://huggingface.co/api/models/Qwen/Qwen3-8B	Qwen/Qwen3-8B	b968826d9c46dd6066d109eabc6255188de91218	NA	NA	HUGGINGFACE_CONFIG_AND_SAFETENSORS	NA	CONFIG_ONLY_OR_PARTIAL_HEADER	NA	CONFIG_AND_HEADER_RECEIPTS	f7c4eadfbbf522470667b797a3c89be2524832d2d599797248dc304fff447c30	34284	true	HEADER_LIMITED_OR_INVALID
