deployment_id	scenario_id	batch	requested_tokens	resident_tokens	payload_bytes	unit	formula_id	assumptions_json	evidence_tier	missing_reason
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	static-b1-t128	1	128	128	1572864	B	STANDARD_KV_K_AND_V_V1	"{""dtype_assumed_from_config"":""BF16"",""not_runtime_allocation"":true,""rank_local_kv_heads"":2,""reserved_blocks_excluded"":true,""tp"":1}"	STATIC_DERIVED	NA
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	static-b1-t2048	1	2048	2048	25165824	B	STANDARD_KV_K_AND_V_V1	"{""dtype_assumed_from_config"":""BF16"",""not_runtime_allocation"":true,""rank_local_kv_heads"":2,""reserved_blocks_excluded"":true,""tp"":1}"	STATIC_DERIVED	NA
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	static-b1-t8192	1	8192	8192	100663296	B	STANDARD_KV_K_AND_V_V1	"{""dtype_assumed_from_config"":""BF16"",""not_runtime_allocation"":true,""rank_local_kv_heads"":2,""reserved_blocks_excluded"":true,""tp"":1}"	STATIC_DERIVED	NA
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	static-b8-t128	8	128	128	12582912	B	STANDARD_KV_K_AND_V_V1	"{""dtype_assumed_from_config"":""BF16"",""not_runtime_allocation"":true,""rank_local_kv_heads"":2,""reserved_blocks_excluded"":true,""tp"":1}"	STATIC_DERIVED	NA
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	static-b8-t2048	8	2048	2048	201326592	B	STANDARD_KV_K_AND_V_V1	"{""dtype_assumed_from_config"":""BF16"",""not_runtime_allocation"":true,""rank_local_kv_heads"":2,""reserved_blocks_excluded"":true,""tp"":1}"	STATIC_DERIVED	NA
fc1d0bf5e22db5d75cc6fc2d4d97420c9421941f928e89c0ba2433ccbaa562b8	static-b8-t8192	8	8192	8192	805306368	B	STANDARD_KV_K_AND_V_V1	"{""dtype_assumed_from_config"":""BF16"",""not_runtime_allocation"":true,""rank_local_kv_heads"":2,""reserved_blocks_excluded"":true,""tp"":1}"	STATIC_DERIVED	NA
76212cb557a7830eb2692351ee5329e660e83ea54c334924af9cb34391baff7d	static-b1-t128	1	128	128	7340032	B	STANDARD_KV_K_AND_V_V1	"{""dtype_assumed_from_config"":""BF16"",""not_runtime_allocation"":true,""rank_local_kv_heads"":4,""reserved_blocks_excluded"":true,""tp"":1}"	STATIC_DERIVED	NA
76212cb557a7830eb2692351ee5329e660e83ea54c334924af9cb34391baff7d	static-b1-t2048	1	2048	2048	117440512	B	STANDARD_KV_K_AND_V_V1	"{""dtype_assumed_from_config"":""BF16"",""not_runtime_allocation"":true,""rank_local_kv_heads"":4,""reserved_blocks_excluded"":true,""tp"":1}"	STATIC_DERIVED	NA
76212cb557a7830eb2692351ee5329e660e83ea54c334924af9cb34391baff7d	static-b1-t8192	1	8192	8192	469762048	B	STANDARD_KV_K_AND_V_V1	"{""dtype_assumed_from_config"":""BF16"",""not_runtime_allocation"":true,""rank_local_kv_heads"":4,""reserved_blocks_excluded"":true,""tp"":1}"	STATIC_DERIVED	NA
76212cb557a7830eb2692351ee5329e660e83ea54c334924af9cb34391baff7d	static-b8-t128	8	128	128	58720256	B	STANDARD_KV_K_AND_V_V1	"{""dtype_assumed_from_config"":""BF16"",""not_runtime_allocation"":true,""rank_local_kv_heads"":4,""reserved_blocks_excluded"":true,""tp"":1}"	STATIC_DERIVED	NA
