path	purpose_stage	file_type	latest_relevant_commit	status	known_inputs	known_outputs	path_assumptions	recommended_visibility	recommended_status
util/vm_tlb/c12_c5_replay.py	C12 C5 arm replay/validation	launcher+validator	a268aba0d01310294074ded5bb8017e2092394c0	legacy; executable code path exists	C11 matrix, command manifest, trace list, Framework/Core checkouts	RUN_MANIFEST.tsv, validation JSON, structured summaries	/workspace roots; old Core/framework SHAs	GIT_AUTHORITY_ONLY	REVALIDATE/UNKNOWN
util/vm_tlb/c12_c5_scheduler.py	C12 bounded arm scheduling	scheduler	a268aba0d01310294074ded5bb8017e2092394c0	legacy; not invoked	c12_c5_replay.py, matrix/commands	state/resource TSV	/workspace/vm-m4b-speculative	GIT_AUTHORITY_ONLY	REFERENCE_ONLY
util/vm_tlb/c12_c5_finalize.py	C12 result finalization/review pack	normalizer/finalizer	a268aba0d01310294074ded5bb8017e2092394c0	legacy; hard-coded checkout	terminal arm outputs	comparison/provenance/summary TSV and report	/workspace/worktrees paths	GIT_AUTHORITY_ONLY	REFERENCE_ONLY
util/vm_tlb/c12_cache_behavior_checkpoint.py	C12 F0 cache/L2 replacement extraction	analyzer	b660198ba1d374764b862eccc7a69e4f8fc87ec9	current historical analyzer; offline only	C12 F0 raw logs	C12_CACHE_BEHAVIOR_CHECKPOINT.tsv, findings MD	/workspace result root	GIT_AUTHORITY_ONLY	REVALIDATE
util/vm_tlb/run_m4c_replay.sh	M4C/M4B simulator invocation	launcher script	5dd4501a51720a959129860b72988a6961b07477	current code-level entrypoint; not run	Framework/Core roots, simulator binary, traceg list/dir, profile	isolated run dir, gpgpusim.config, RUN_MANIFEST.tsv, simulator log	absolute caller-supplied roots; .traceg.xz required	GIT_AUTHORITY_ONLY	REUSE after smoke
util/vm_tlb/analyze_m4c_trace_locality.py	offline trace locality/object footprint	analyzer	5dfea3869e1ebe8be128e19259f7a2b6943450bb	current; requires traceg decoder	traceg.xz list, object map	locality TSV + work DB	absolute input paths; no simulator run	GIT_AUTHORITY_ONLY	REUSE after input conversion
util/vm_tlb/export_m4c_telemetry.py	M4C structured telemetry extraction	post-processor	a7c0759be7f293ed0d5e2179c62094b6de49c1e8	current; consumes completed log	RUN_MANIFEST.tsv, simulator stdout	KERNEL/WINDOW/L1D/L2/DRAM/cross-layer TSVs	run-dir/output-dir supplied	GIT_AUTHORITY_ONLY	REUSE
util/vm_tlb/summarize_m4c_runs.py	multi-run metric summarization	post-processor	5dfea3869e1ebe8be128e19259f7a2b6943450bb	current; offline	run roots with kernelslist.g and logs	summary TSV	caller-supplied run root	GIT_AUTHORITY_ONLY	REUSE
util/vm_tlb/c11_c5_artifact_tool.py	C11 trace/config/registration artifact checks	provenance tool	a082f73ad752bbf9eb630ede036d80ecf266f35	legacy provenance helper	artifact manifests	validated manifests/receipts	manifest paths; historical /workspace roots	GIT_AUTHORITY_ONLY	REFERENCE_ONLY
configs/vm_tlb/M4C_CONFIG_LEDGER.tsv	M4C config authority ledger	config ledger	103641562b6474e22192c19d1bd81dd12d88ce61	current	SM86 base/trace configs + overlays	config identity and modeling decisions	paths are repository-relative except inherited Core path	GIT_AUTHORITY_ONLY	REUSE
configs/vm_tlb/M4C_GENERIC_M3_LLM_BASELINE.config	generic 49-bit real-PTW baseline	config	103641562b6474e22192c19d1bd81dd12d88ce61	current	SM86 base + trace config	VM mode, TLB/MSHR/PTW/PWC settings	no host path	GIT_AUTHORITY_ONLY	REUSE
configs/vm_tlb/M4C_CONTROL_VM_DISABLED.config	VM-disabled control	config	103641562b6474e22192c19d1bd81dd12d88ce61	current	SM86 base + trace config	control profile	no host path	GIT_AUTHORITY_ONLY	REUSE
configs/vm_tlb/M4C_CONTROL_VM_IDEAL_IDENTITY.config	ideal identity control	config	103641562b6474e22192c19d1bd81dd12d88ce61	current	SM86 base + trace config	control profile	no host path	GIT_AUTHORITY_ONLY	REUSE
configs/vm_tlb/M4B_SPECULATIVE_SUBENTRY16*.config	C12/M4B reference subentry + Segment overlays	config family	5dd4501a51720a959129860b72988a6961b07477	candidate/reference; paper approximation labeled	base/trace configs, object/segment maps	subentry/Segment simulator settings	segment map supplied by launcher	GIT_AUTHORITY_ONLY	REVALIDATE
configs/vm_tlb/c5_configs/C11_C5_* (22 rows)	C11/C12 arm matrix configs	config family	various; manifest at 103641562b6474e22192c19d1bd81dd12d88ce61	legacy historical identity	registration + trace manifests	per-arm simulator overlay	/workspace source/archive paths	GIT_AUTHORITY_ONLY	REFERENCE_ONLY
configs/vm_tlb/c5_trace_manifests/*	C11 trace-list provenance	manifest	103641562b6474e22192c19d1bd81dd12d88ce61	legacy provenance	trace list/archive	trace SHA and source root	/workspace paths	GIT_AUTHORITY_ONLY	REVALIDATE
configs/vm_tlb/c5_registrations/*	C11 Segment registration	registration TSV	103641562b6474e22192c19d1bd81dd12d88ce61	legacy provenance	allocation sidecar/object map	descriptor rows	modeled PA and /workspace archive refs	GIT_AUTHORITY_ONLY	REVALIDATE
configs/vm_tlb/segment_maps/*	Weight segment descriptors	map TSV	103641562b6474e22192c19d1bd81dd12d88ce61	current candidate	object map/registration	segment ranges	repository-relative	GIT_AUTHORITY_ONLY	REVALIDATE
docs/vm_tlb/review_packs/M4B_SPECULATIVE_DEVELOPMENT/C12_C5_FULL_ROI_FAIR_PERFORMANCE/	C12 22-arm review pack	review pack	103641562b6474e22192c19d1bd81dd12d88ce61	Git-available; historical evidence	C11 identity and raw-log references	FINAL_REPORT, matrices, raw-log index	/workspace run paths	GIT_AUTHORITY_ONLY	UNKNOWN pending old174 closure
