absolute_path	mount_source	bytes_or_du	file_count_or_shape	apparent_role	canonical_node164_representation	duplicate_or_overlap	visibility_class	scientific_status	current_consumer
/root/share	/dev/md127 ext4 (findmnt -T)	device mount	immediate entries listed	verified shared root	N/A	N/A	SHARED_VISIBLE_UNCHANGED	UNKNOWN	filesystem only
/root/data	(no files visible; mount identity not reported by findmnt in this container)	0 visible bytes	0 immediate files	shared path named by policy, no content observed	N/A	N/A	MISSING_OR_UNKNOWN	UNKNOWN	none
/root/share/workspace_migrated_20260905/m4_batch_20260906/m4bs-formal-replay-20260903T180000Z	/dev/md127	557253823 B	18 files	M4B/Segment replay logs and outputs	no old174_c12_c15_simulation namespace	likely overlaps Git C12/M4B pack; raw not byte-compared	SHARED_VISIBLE_UNCHANGED	UNKNOWN	not directly consumed without run manifest
/root/share/workspace_migrated_20260905/m4_batch_20260906/m4c-formal-controls-20260903T220000Z	/dev/md127	582305043 B	14 files	M4C disabled/ideal/generic/paper-shell logs	no old174_c12_c15_simulation namespace	likely overlaps Git M4C reports; raw not byte-compared	SHARED_VISIBLE_UNCHANGED	UNKNOWN	potential input to export_m4c_telemetry after manifest check
/root/share/workspace_migrated_20260905/m4_batch_20260906/m4i-m4b-staged-f96b7ea9-5bdd4b55	/dev/md127	199798756 B	1512 files	staged C16/M4I-M4B traces, sidecars, receipts	canonical C16 provenance/derived roots exist separately	C16 formal staging; do not merge with historical simulator namespace	SHARED_VISIBLE_UNCHANGED	FORMAL/UNKNOWN per source pack	C16 pipeline, not C12 replay as-is
/root/share/workspace_migrated_20260905/results/ep_l2_streaming_reuse	/dev/md127	392498867 B	981 files	older L2/cache result experiments	no canonical historical-simulation namespace	possible historical cache analysis; no identity proof	SHARED_VISIBLE_UNCHANGED	UNKNOWN	offline/reference only
/root/share/mnt164/huangrulin/c16_ai_workload	/dev/md127	top-level structured root	assets/catalog/datasets/derived/features/inbox/legacy/parsed/provenance/raw/...	canonical C16 long-term root	existing canonical C16 root	contains current C16 only; historical C12/C15 namespace absent	SHARED_VISIBLE_UNCHANGED	FORMAL/UNKNOWN per catalogs	current C16 pipeline
/root/share/mnt164/huangrulin/c16_ai_workload/derived/parsed/RTX3090_Q2_PREFILL	/dev/md127	539764730 B	1 file (`memory_access.jsonl`)	modern parsed memory accesses	represented in canonical derived/parsed	not .traceg.xz; semantic conversion required	SHARED_VISIBLE_UNCHANGED	FORMAL/UNKNOWN per C16 pack	analyzers consuming JSONL, not Accel-Sim
/root/share/mnt164/huangrulin/c16_ai_workload/derived/features/RTX3090_Q2_PREFILL	/dev/md127	5931 B	2 files	modern fingerprint/receipt	canonical derived/features	not simulator input	SHARED_VISIBLE_UNCHANGED	FORMAL/UNKNOWN per receipt	fingerprint analysis
/root/share/mnt164/huangrulin/c16_ai_workload/provenance/historical_snapshots/old174_c12_c15_simulation	/dev/md127	absent	absent	planned historical simulator namespace	none	missing	MISSING_OR_UNKNOWN	UNKNOWN	none
/root/share/mnt164/huangrulin/c16_ai_workload/derived/datasets/historical_simulation	/dev/md127	absent	absent	planned derived historical dataset	 none	missing	MISSING_OR_UNKNOWN	UNKNOWN	none
