arm	roi	profile	metric	value	provenance
decode1-disabled	decode1	disabled	gpu_tot_sim_cycle	10938651	existing_run_log_final_scalar
decode1-disabled	decode1	disabled	gpu_tot_ipc	377.4279	existing_run_log_final_scalar
decode1-disabled	decode1	disabled	vm_translation_lookup_requests	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-disabled	decode1	disabled	vm_l1_tlb_hits	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-disabled	decode1	disabled	vm_l1_tlb_misses	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-disabled	decode1	disabled	vm_l2_tlb_hits	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-disabled	decode1	disabled	vm_l2_tlb_misses	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-disabled	decode1	disabled	vm_translation_mshr_allocations	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-disabled	decode1	disabled	vm_translation_mshr_merges	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-disabled	decode1	disabled	vm_translation_mshr_full_events	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-disabled	decode1	disabled	vm_translation_pwq_full_events	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-disabled	decode1	disabled	vm_translation_walk_starts	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-disabled	decode1	disabled	vm_pwc_hits	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-disabled	decode1	disabled	vm_pwc_misses	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-disabled	decode1	disabled	vm_pte_requests	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-disabled	decode1	disabled	vm_pte_responses	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-disabled	decode1	disabled	vm_pte_dram_responses	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-disabled	decode1	disabled	vm_object_WEIGHT_translation_requesters	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-disabled	decode1	disabled	vm_object_KV_CACHE_translation_requesters	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-disabled	decode1	disabled	vm_object_UNKNOWN_translation_requesters	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-disabled	decode1	disabled	vm_object_attribution_conservation_pass	NOT_AVAILABLE	existing_run_log_final_scalar
decode1-disabled	decode1	disabled	completion_missing_telemetry_records	0	manifest/log checkpoint evidence
decode1-disabled	decode1	disabled	completion_duplicate_processing_kernel_marker	FALSE	manifest/log checkpoint evidence
decode1-disabled	decode1	disabled	completion_duplicate_telemetry_records	NOT_AVAILABLE	manifest/log checkpoint evidence
decode1-disabled	decode1	disabled	completion_start_time	NOT_AVAILABLE	manifest/log checkpoint evidence
decode1-disabled	decode1	disabled	completion_end_time	NOT_AVAILABLE	manifest/log checkpoint evidence
decode1-disabled	decode1	disabled	completion_elapsed_runtime	NOT_AVAILABLE	manifest/log checkpoint evidence
decode1-ideal	decode1	ideal	gpu_tot_sim_cycle	10938651	existing_run_log_final_scalar
decode1-ideal	decode1	ideal	gpu_tot_ipc	377.4279	existing_run_log_final_scalar
decode1-ideal	decode1	ideal	vm_translation_lookup_requests	NOT_AVAILABLE	existing_run_log_final_scalar
