layer	role	raw_tensor	raw_shard	raw_dtype	raw_shape	raw_bytes	awq_tensors	awq_bytes	scope	ratio
0	q_proj	model.layers.0.self_attn.q_proj.weight	model-00001-of-00004.safetensors	BF16	[3584, 3584]	25690112	['model.layers.0.self_attn.q_proj.qweight', 'model.layers.0.self_attn.q_proj.qzeros', 'model.layers.0.self_attn.q_proj.bias', 'model.layers.0.self_attn.q_proj.scales']	6680576	CHECKPOINT_STATIC_STORAGE_ONLY	3.8454935622317596
0	k_proj	model.layers.0.self_attn.k_proj.weight	model-00001-of-00004.safetensors	BF16	[512, 3584]	3670016	['model.layers.0.self_attn.k_proj.qweight', 'model.layers.0.self_attn.k_proj.qzeros', 'model.layers.0.self_attn.k_proj.bias', 'model.layers.0.self_attn.k_proj.scales']	954368	CHECKPOINT_STATIC_STORAGE_ONLY	3.8454935622317596
0	v_proj	model.layers.0.self_attn.v_proj.weight	model-00001-of-00004.safetensors	BF16	[512, 3584]	3670016	['model.layers.0.self_attn.v_proj.qweight', 'model.layers.0.self_attn.v_proj.qzeros', 'model.layers.0.self_attn.v_proj.bias', 'model.layers.0.self_attn.v_proj.scales']	954368	CHECKPOINT_STATIC_STORAGE_ONLY	3.8454935622317596
0	o_proj	model.layers.0.self_attn.o_proj.weight	model-00001-of-00004.safetensors	BF16	[3584, 3584]	25690112	['model.layers.0.self_attn.o_proj.qweight', 'model.layers.0.self_attn.o_proj.qzeros', 'model.layers.0.self_attn.o_proj.scales']	6673408	CHECKPOINT_STATIC_STORAGE_ONLY	3.8496240601503757
0	gate_proj	model.layers.0.mlp.gate_proj.weight	model-00001-of-00004.safetensors	BF16	[18944, 3584]	135790592	['model.layers.0.mlp.gate_proj.qweight', 'model.layers.0.mlp.gate_proj.qzeros', 'model.layers.0.mlp.gate_proj.scales']	35273728	CHECKPOINT_STATIC_STORAGE_ONLY	3.8496240601503757
0	up_proj	model.layers.0.mlp.up_proj.weight	model-00001-of-00004.safetensors	BF16	[18944, 3584]	135790592	['model.layers.0.mlp.up_proj.qweight', 'model.layers.0.mlp.up_proj.qzeros', 'model.layers.0.mlp.up_proj.scales']	35273728	CHECKPOINT_STATIC_STORAGE_ONLY	3.8496240601503757
0	down_proj	model.layers.0.mlp.down_proj.weight	model-00001-of-00004.safetensors	BF16	[3584, 18944]	135790592	['model.layers.0.mlp.down_proj.qweight', 'model.layers.0.mlp.down_proj.qzeros', 'model.layers.0.mlp.down_proj.scales']	35273728	CHECKPOINT_STATIC_STORAGE_ONLY	3.8496240601503757
1	q_proj	model.layers.1.self_attn.q_proj.weight	model-00001-of-00004.safetensors	BF16	[3584, 3584]	25690112	['model.layers.1.self_attn.q_proj.qweight', 'model.layers.1.self_attn.q_proj.qzeros', 'model.layers.1.self_attn.q_proj.bias', 'model.layers.1.self_attn.q_proj.scales']	6680576	CHECKPOINT_STATIC_STORAGE_ONLY	3.8454935622317596
1	k_proj	model.layers.1.self_attn.k_proj.weight	model-00001-of-00004.safetensors	BF16	[512, 3584]	3670016	['model.layers.1.self_attn.k_proj.qweight', 'model.layers.1.self_attn.k_proj.qzeros', 'model.layers.1.self_attn.k_proj.bias', 'model.layers.1.self_attn.k_proj.scales']	954368	CHECKPOINT_STATIC_STORAGE_ONLY	3.8454935622317596
1	v_proj	model.layers.1.self_attn.v_proj.weight	model-00001-of-00004.safetensors	BF16	[512, 3584]	3670016	['model.layers.1.self_attn.v_proj.qweight', 'model.layers.1.self_attn.v_proj.qzeros', 'model.layers.1.self_attn.v_proj.bias', 'model.layers.1.self_attn.v_proj.scales']	954368	CHECKPOINT_STATIC_STORAGE_ONLY	3.8454935622317596
1	o_proj	model.layers.1.self_attn.o_proj.weight	model-00001-of-00004.safetensors	BF16	[3584, 3584]	25690112	['model.layers.1.self_attn.o_proj.qweight', 'model.layers.1.self_attn.o_proj.qzeros', 'model.layers.1.self_attn.o_proj.scales']	6673408	CHECKPOINT_STATIC_STORAGE_ONLY	3.8496240601503757
1	gate_proj	model.layers.1.mlp.gate_proj.weight	model-00001-of-00004.safetensors	BF16	[18944, 3584]	135790592	['model.layers.1.mlp.gate_proj.qweight', 'model.layers.1.mlp.gate_proj.qzeros', 'model.layers.1.mlp.gate_proj.scales']	35273728	CHECKPOINT_STATIC_STORAGE_ONLY	3.8496240601503757
1	up_proj	model.layers.1.mlp.up_proj.weight	model-00001-of-00004.safetensors	BF16	[18944, 3584]	135790592	['model.layers.1.mlp.up_proj.qweight', 'model.layers.1.mlp.up_proj.qzeros', 'model.layers.1.mlp.up_proj.scales']	35273728	CHECKPOINT_STATIC_STORAGE_ONLY	3.8496240601503757
1	down_proj	model.layers.1.mlp.down_proj.weight	model-00001-of-00004.safetensors	BF16	[3584, 18944]	135790592	['model.layers.1.mlp.down_proj.qweight', 'model.layers.1.mlp.down_proj.qzeros', 'model.layers.1.mlp.down_proj.scales']	35273728	CHECKPOINT_STATIC_STORAGE_ONLY	3.8496240601503757
2	q_proj	model.layers.2.self_attn.q_proj.weight	model-00001-of-00004.safetensors	BF16	[3584, 3584]	25690112	['model.layers.2.self_attn.q_proj.qweight', 'model.layers.2.self_attn.q_proj.qzeros', 'model.layers.2.self_attn.q_proj.bias', 'model.layers.2.self_attn.q_proj.scales']	6680576	CHECKPOINT_STATIC_STORAGE_ONLY	3.8454935622317596
2	k_proj	model.layers.2.self_attn.k_proj.weight	model-00001-of-00004.safetensors	BF16	[512, 3584]	3670016	['model.layers.2.self_attn.k_proj.qweight', 'model.layers.2.self_attn.k_proj.qzeros', 'model.layers.2.self_attn.k_proj.bias', 'model.layers.2.self_attn.k_proj.scales']	954368	CHECKPOINT_STATIC_STORAGE_ONLY	3.8454935622317596
