workload	point_kib	mode	frozen_compact_source	compact_source_evidence_class	underlying_result_classification	config_identity	core_identity	trace_identity	decision	detail
BICG	32	IO	docs/dtc_l1/fast64/review_packs/FAST64_FINAL/fast64_6_logical_plot.tsv	ACCEPTED_FAST64_EVIDENCE	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE	MATCH	MATCH	RECORDED	NOT_REUSED_UNTIL_RESULT_ACCEPTANCE_IS_RECONCILED	Frozen compact presentation input is accepted, but the individual immutable attempt remains explicitly classified pending; preserve both facts rather than silently promote it.
BICG	32	OO	docs/dtc_l1/fast64/review_packs/FAST64_FINAL/fast64_6_logical_plot.tsv	ACCEPTED_FAST64_EVIDENCE	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE	MATCH	MATCH	RECORDED	NOT_REUSED_UNTIL_RESULT_ACCEPTANCE_IS_RECONCILED	Same status reconciliation required.
BICG	64	IO	docs/dtc_l1/fast64/review_packs/FAST64_FINAL/fast64_6_logical_plot.tsv	ACCEPTED_FAST64_EVIDENCE	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE	MATCH	MATCH	RECORDED	NOT_REUSED_UNTIL_RESULT_ACCEPTANCE_IS_RECONCILED	Same status reconciliation required.
BICG	64	OO	docs/dtc_l1/fast64/review_packs/FAST64_FINAL/fast64_6_logical_plot.tsv	ACCEPTED_FAST64_EVIDENCE	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE	MATCH	MATCH	RECORDED	NOT_REUSED_UNTIL_RESULT_ACCEPTANCE_IS_RECONCILED	Same status reconciliation required.
GESUMMV	32	IO	docs/dtc_l1/fast64/review_packs/FAST64_FINAL/fast64_6_logical_plot.tsv	ACCEPTED_FAST64_EVIDENCE	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE	MATCH	MATCH	RECORDED	NOT_REUSED_UNTIL_RESULT_ACCEPTANCE_IS_RECONCILED	Same status reconciliation required.
GESUMMV	32	OO	docs/dtc_l1/fast64/review_packs/FAST64_FINAL/fast64_6_logical_plot.tsv	ACCEPTED_FAST64_EVIDENCE	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE	MATCH	MATCH	RECORDED	NOT_REUSED_UNTIL_RESULT_ACCEPTANCE_IS_RECONCILED	Same status reconciliation required.
GESUMMV	64	IO	docs/dtc_l1/fast64/review_packs/FAST64_FINAL/fast64_6_logical_plot.tsv	ACCEPTED_FAST64_EVIDENCE	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE	MATCH	MATCH	RECORDED	NOT_REUSED_UNTIL_RESULT_ACCEPTANCE_IS_RECONCILED	Same status reconciliation required.
GESUMMV	64	OO	docs/dtc_l1/fast64/review_packs/FAST64_FINAL/fast64_6_logical_plot.tsv	ACCEPTED_FAST64_EVIDENCE	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE	MATCH	MATCH	RECORDED	NOT_REUSED_UNTIL_RESULT_ACCEPTANCE_IS_RECONCILED	Same status reconciliation required.
Btree	32	IO	docs/dtc_l1/fast64/review_packs/FAST64_FINAL/fast64_6_logical_plot.tsv	ACCEPTED_FAST64_EVIDENCE	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE	MATCH	MATCH	RECORDED	NOT_REUSED_UNTIL_RESULT_ACCEPTANCE_IS_RECONCILED	Same status reconciliation required.
Btree	32	OO	docs/dtc_l1/fast64/review_packs/FAST64_FINAL/fast64_6_logical_plot.tsv	ACCEPTED_FAST64_EVIDENCE	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE	MATCH	MATCH	RECORDED	NOT_REUSED_UNTIL_RESULT_ACCEPTANCE_IS_RECONCILED	Same status reconciliation required.
Btree	64	IO	docs/dtc_l1/fast64/review_packs/FAST64_FINAL/fast64_6_logical_plot.tsv	ACCEPTED_FAST64_EVIDENCE	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE	MATCH	MATCH	RECORDED	NOT_REUSED_UNTIL_RESULT_ACCEPTANCE_IS_RECONCILED	Same status reconciliation required.
Btree	64	OO	docs/dtc_l1/fast64/review_packs/FAST64_FINAL/fast64_6_logical_plot.tsv	ACCEPTED_FAST64_EVIDENCE	PRECOMPUTED_PENDING_FAST64_4_5_ACCEPTANCE	MATCH	MATCH	RECORDED	NOT_REUSED_UNTIL_RESULT_ACCEPTANCE_IS_RECONCILED	Same status reconciliation required.
