workload	aggregate	instructions	base_cycles	io_cycles	oo_cycles	base_normalized_cycles	io_normalized_cycles	oo_normalized_cycles	base_speedup	io_speedup_over_base	oo_speedup_over_base	normalization_formula	evidence_class	accepted_source
ATAX	NO	145666048	87750512	88363340	48078114	1.000000000	1.006983754	0.547895538	1.000000000	0.993064680	1.825165438	mode_cycles / base_cycles; Base is exactly 1.0	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/FAST12_summary.tsv
BICG	NO	145666048	88495620	93942704	47231655	1.000000000	1.061552018	0.533717431	1.000000000	0.942016955	1.873650627	mode_cycles / base_cycles; Base is exactly 1.0	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/FAST12_summary.tsv
GESUMMV	NO	190918656	194986098	210667785	143059605	1.000000000	1.080424641	0.733691307	1.000000000	0.925562007	1.362971036	mode_cycles / base_cycles; Base is exactly 1.0	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/FAST12_summary.tsv
GEMM	NO	739246080	2662394	1488845	1396643	1.000000000	0.559212874	0.524581636	1.000000000	1.788227787	1.906280989	mode_cycles / base_cycles; Base is exactly 1.0	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/FAST12_summary.tsv
2DConvolution	NO	620347492	2247155	627281	593208	1.000000000	0.279144518	0.263981790	1.000000000	3.582373769	3.788140079	mode_cycles / base_cycles; Base is exactly 1.0	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/FAST12_summary.tsv
Btree	NO	444467849	369977	244231	172795	1.000000000	0.660124819	0.467042546	1.000000000	1.514865025	2.141132556	mode_cycles / base_cycles; Base is exactly 1.0	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/FAST12_summary.tsv
DWT2D	NO	148684429	344119	241380	234651	1.000000000	0.701443396	0.681889114	1.000000000	1.425631784	1.466514100	mode_cycles / base_cycles; Base is exactly 1.0	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/FAST12_summary.tsv
Gaussian	NO	283685120	4229815	3817538	3820325	1.000000000	0.902530725	0.903189619	1.000000000	1.107995520	1.107187216	mode_cycles / base_cycles; Base is exactly 1.0	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/FAST12_summary.tsv
Hotspot1	NO	377291004	160486	85633	84173	1.000000000	0.533585484	0.524488117	1.000000000	1.874113951	1.906620888	mode_cycles / base_cycles; Base is exactly 1.0	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/FAST12_summary.tsv
LUD	NO	184963840	1113878	1091487	1087849	1.000000000	0.979898158	0.976632091	1.000000000	1.020514216	1.023927034	mode_cycles / base_cycles; Base is exactly 1.0	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/FAST12_summary.tsv
NN	NO	1284872	6985	6095	6105	1.000000000	0.872584109	0.874015748	1.000000000	1.146021329	1.144144144	mode_cycles / base_cycles; Base is exactly 1.0	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/FAST12_summary.tsv
MRI-Q	NO	1411757056	366667	360536	361415	1.000000000	0.983279106	0.985676377	1.000000000	1.017005237	1.014531771	mode_cycles / base_cycles; Base is exactly 1.0	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/FAST12_summary.tsv
GM-FAST12	YES_EXACT_12_MEMBERS	exact_12_members	N/A	N/A	N/A	1.000000000	0.754066278	0.628116083	1.000000000	1.326143376	1.592062402	accepted geometric mean of 12 per-workload Base/mode speedups	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/FAST12_summary.tsv
