workload	sensitivity_dimension	row_kind	requested_point	mode	modeled_capacity_or_entries	same_mode_reference	same_mode_reference_cycles	cycles	cycles_over_same_mode_reference	speedup_vs_same_mode_reference	normalization_formula	accepted_status	boundary_disposition	evidence_class	accepted_source
BICG	physical_pool_kib	NONNUMERIC_BOUNDARY_MARKER	16.5	IO	132_lines_16896B	IO@32	45668204	NONNUMERIC	NONNUMERIC	NONNUMERIC	NOT_APPLICABLE_RESOURCE_DEADLOCK_HAS_NO_NUMERIC_PERFORMANCE	EXPECTED_RESOURCE_DEADLOCK_NO_NUMERIC_PERFORMANCE	EXPECTED_RESOURCE_DEADLOCK_NO_NUMERIC_PERFORMANCE	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/fast64_6_expected_deadlocks.tsv
BICG	physical_pool_kib	NUMERIC_ACCEPTED_POINT	24	IO	192_lines_24576B	IO@32	45668204	42351523	0.927374394	1.078313146	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_physical_plot.tsv
BICG	physical_pool_kib	NUMERIC_ACCEPTED_POINT	32	IO	256_lines_32768B	IO@32	45668204	45668204	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_physical_plot.tsv
BICG	physical_pool_kib	NUMERIC_ACCEPTED_POINT	40	IO	320_lines_40960B	IO@32	45668204	61017789	1.336110984	0.748440819	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_physical_plot.tsv
BICG	physical_pool_kib	NUMERIC_ACCEPTED_POINT	48	IO	384_lines_49152B	IO@32	45668204	77916699	1.706147651	0.586115744	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_physical_plot.tsv
BICG	physical_pool_kib	NONNUMERIC_BOUNDARY_MARKER	16.5	OO	132_lines_16896B	OO@32	42895109	NONNUMERIC	NONNUMERIC	NONNUMERIC	NOT_APPLICABLE_RESOURCE_DEADLOCK_HAS_NO_NUMERIC_PERFORMANCE	EXPECTED_RESOURCE_DEADLOCK_NO_NUMERIC_PERFORMANCE	EXPECTED_RESOURCE_DEADLOCK_NO_NUMERIC_PERFORMANCE	ACCEPTED_FAST64_EVIDENCE	FAST64_FINAL/fast64_6_expected_deadlocks.tsv
BICG	physical_pool_kib	NUMERIC_ACCEPTED_POINT	24	OO	192_lines_24576B	OO@32	42895109	37846112	0.882294343	1.133408605	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_physical_plot.tsv
BICG	physical_pool_kib	NUMERIC_ACCEPTED_POINT	32	OO	256_lines_32768B	OO@32	42895109	42895109	1	1	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_physical_plot.tsv
BICG	physical_pool_kib	NUMERIC_ACCEPTED_POINT	40	OO	320_lines_40960B	OO@32	42895109	42680059	0.994986608	1.005038653	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_physical_plot.tsv
BICG	physical_pool_kib	NUMERIC_ACCEPTED_POINT	48	OO	384_lines_49152B	OO@32	42895109	47093407	1.097873583	0.910851682	cycles(point, mode) / cycles(reference point, same mode)	CANDIDATE_PENDING_STAGE6_HANDOFF	NUMERIC	EXISTING_DATA_DERIVED_ANALYSIS	FAST64_FINAL/fast64_6_physical_plot.tsv
