# case	suite	abbr	input_label	trace_root	trace_relative_to_root
case	suite	abbr	input_label	trace_root	trace_relative_to_root
btree	Rodinia-3.1	B+	file+command	paper16	decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/b+tree-rodinia-3.1/file___data_mil_txt_command___data_command_txt/traces
dwt2d	Rodinia-3.1	DW	1024x1024	paper16	decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/dwt2d-rodinia-3.1/__data_rgb_bmp__d_1024x1024__f__5__l_3/traces
gaussian	Rodinia-3.1	GA	s=256	paper16	decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/gaussian-rodinia-3.1/_s_256/traces
hotspot1	Rodinia-3.1	HO	1024x1024,2 iterations	paper16	decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/hotspot-rodinia-3.1/1024_2_2___data_temp_1024___data_power_1024_output_out/traces
lud	Rodinia-3.1	LU	matrix-512	paper16	decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/lud-rodinia-3.1/_i___data_512_dat/traces
nn	Rodinia-3.1	NN	filelist-4	paper16	decoupled-l2-pretraces/rodinia-first-batch/rodinia-3.1/9.1/nn-rodinia-3.1/__data_filelist_4__r_5__lat_30__lng_90/traces
cutcp	Parboil	CU	watbox-sl40 (full trace)	paper16	decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-cutcp/_i___data_small_input_watbox_sl40_pqr__o_lattice_dat/traces
mri-q	Parboil	MR	32x32x32 (full trace)	paper16	decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-mri-q/_i___data_small_input_32_32_32_dataset_bin__o_32_32_32_dataset_out/traces
sgemm	Parboil	SG	medium (full trace)	paper16	decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-sgemm/_i___data_medium_input_matrix1_txt___data_medium_input_matrix2t_txt___data_medium_input_matrix2t_txt__o_matrix3_txt/traces
stencil	Parboil	ST	128x128x32 (full trace)	paper16	decoupled-l2-extract/parboil.current.small8.stage/parboil/11.0/parboil-stencil/_i___data_small_input_128x128x32_bin__o_128x128x32_out____128_128_32_100/traces
2DConvolution	PolyBench	2D	NO_ARGS	paper16	c2p-polybench-full-20260821/polybench/11.0/polybench-2DConvolution/NO_ARGS/traces
3mm	PolyBench	3M	NO_ARGS	paper16	c2p-polybench-full-20260821/polybench/11.0/polybench-3mm/NO_ARGS/traces
atax	PolyBench	AT	NO_ARGS	paper16	c2p-polybench-full-20260821/polybench/11.0/polybench-atax/NO_ARGS/traces
bicg	PolyBench	BI	NO_ARGS	paper16	c2p-polybench-full-20260821/polybench/11.0/polybench-bicg/NO_ARGS/traces
gemm	PolyBench	GE	NO_ARGS	paper16	c2p-polybench-full-20260821/polybench/11.0/polybench-gemm/NO_ARGS/traces
gesummv	PolyBench	GS	NO_ARGS	paper16	c2p-polybench-full-20260821/polybench/11.0/polybench-gesummv/NO_ARGS/traces
c2p-ispass-bfs	ISPASS	BV	V100 trace	v100ext	c2p-ispass-bfs/c2p-ispass-bfs/traces
c2p-ispass-lib	ISPASS	LI	V100 trace	v100ext	c2p-ispass-lib/c2p-ispass-lib/traces
c2p-ispass-lps	ISPASS	LP	V100 trace	v100ext	c2p-ispass-lps/c2p-ispass-lps/traces
c2p-ispass-ray	ISPASS	RA	V100 trace	v100ext	c2p-ispass-ray/c2p-ispass-ray/traces
c2p-pannotia-color-max	Pannotia	CM	V100 trace	v100ext	c2p-pannotia-color-max/c2p-pannotia-color-max/traces
c2p-pannotia-fw-block	Pannotia	FW	V100 trace	v100ext	c2p-pannotia-fw-block/c2p-pannotia-fw-block/traces
c2p-pannotia-mis	Pannotia	MI	V100 trace	v100ext	c2p-pannotia-mis/c2p-pannotia-mis/traces
c2p-pannotia-pagerank	Pannotia	PR	V100 trace	v100ext	c2p-pannotia-pagerank/c2p-pannotia-pagerank/traces
