rank	cluster_id	phase	family	grid	marginal_represented_ns	marginal_full_s2_share	selection_pool_mass_ns_used_for_ranking	incremental_targets	incremental_missing_trace_targets	included_in
1	STR_01503476cf8d	DECODE	COPY_KERNEL	152,2,1	4982632	0.0321715612740466	4061127	1	1	BALANCED+BROAD
2	STR_e0922aa2a506	DECODE	AT_NATIVE_REDUCE	1,1,1	3475750	0.022442015404362085	2782982	1	1	BALANCED+BROAD
3	STR_48b98b28a393	DECODE	AT_NATIVE_UNROLLED_ELEMENTWISE	2,1,1	3378439	0.02181370354044383	2748295	1	1	BALANCED+BROAD
4	STR_c6105f5a2136	DECODE	AT_NATIVE_UNROLLED_ELEMENTWISE	2,1,1	3157799	0.020389088341186558	2486341	1	1	BALANCED+BROAD
5	STR_9222044406be	DECODE	COPY_KERNEL	152,2,1	3071111	0.019829366430412384	2443972	1	1	BALANCED+BROAD
6	STR_1a4d1a138a59	DECODE	AT_NATIVE_ELEMENTWISE	2,1,1	2816200	0.018183472281310363	2281862	1	1	BALANCED+BROAD
7	STR_1e8f76f5cafe	DECODE	AT_NATIVE_ELEMENTWISE	1,1,1	2397031	0.015477006869519801	1920643	1	1	BALANCED+BROAD
8	STR_860680a18dcd	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	2,1,1	2274215	0.014684015841999947	1799204	1	1	BALANCED+BROAD
9	STR_ccdc733edc2b	DECODE	AT_NATIVE_ELEMENTWISE	4,1,1	2160965	0.013952789993033822	1721412	1	1	BALANCED+BROAD
10	STR_e5778137820d	DECODE	AT_NATIVE_ELEMENTWISE	1,1,1	1953708	0.012614585350392128	1552713	1	1	BALANCED+BROAD
11	STR_1f2dafe69bb0	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	2,1,1	1684834	0.010878535735249367	1333217	1	1	BALANCED+BROAD
12	STR_88689ae847f6	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	1,1,1	1548388	0.00999753933623805	1247876	1	1	BROAD
13	STR_d56cc69a38d0	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	2,1,1	1525381	0.009848989110126228	1228485	1	1	BROAD
14	STR_1bd2e525d6d9	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	1,1,1	1517863	0.009800447335887577	1219494	1	1	BROAD
15	STR_f9e0dc3dd75e	PREFILL	CUBLAS_GEMM	7,16,1	1236389	0.007983042791853221	1030147	1	1	BROAD
16	STR_4ed9bc160300	PREFILL	CUBLAS_GEMM	4,32,1	1258912	0.008128467955617141	944768	1	1	BROAD
17	STR_4274d3f02d50	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	10,1,1	878978	0.005675332752958462	717282	1	1	BROAD
18	STR_8f8fc33d0b5d	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	10,1,1	761826	0.004918912702997496	613569	1	1	BROAD
19	STR_f1b3a3b3e6d1	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	1,1,1	751650	0.004853208912806951	607074	1	1	BROAD
20	STR_0ae40c0c8c0c	PREFILL	AT_NATIVE_ELEMENTWISE	3584,1,1	688192	0.004443477081251169	547712	1	1	BROAD
21	STR_ff9d1aececa1	PREFILL	AT_NATIVE_VECTORIZED_ELEMENTWISE	19456,1,1	553380	0.0035730309960342057	485188	1	1	BROAD
22	STR_89269a93bcea	PREFILL	CUBLAS_GEMM	2,32,1	446368	0.0028820822936098094	362848	1	1	BROAD
23	STR_a31e2210e722	PREFILL	AT_NATIVE_VECTORIZED_ELEMENTWISE	19456,1,1	407904	0.002633730231317244	340448	1	1	BROAD
24	STR_1219d0211381	PREFILL	COPY_KERNEL	152,2,1	405827	0.0026203195815309075	317026	1	1	BROAD
25	STR_b5c326489d54	PREFILL	AT_NATIVE_VECTORIZED_ELEMENTWISE	3584,1,1	357216	0.002306450974519055	299616	1	1	OPTIONAL
26	STR_d7cf1c228634	PREFILL	AT_NATIVE_UNROLLED_ELEMENTWISE	3584,1,1	368032	0.0023762870785580628	293440	1	1	OPTIONAL
27	STR_7ff50228c0c2	PREFILL	AT_NATIVE_UNROLLED_ELEMENTWISE	3584,1,1	343520	0.0022180194581619688	287488	1	1	OPTIONAL
28	STR_5a3b4488fef1	PREFILL	AT_NATIVE_ELEMENTWISE	3584,1,1	360960	0.0023306250105325577	278752	1	1	OPTIONAL
29	STR_002957baf514	PREFILL	AT_NATIVE_ELEMENTWISE	7168,1,1	354051	0.002286015391190333	274531	1	1	OPTIONAL
30	STR_d46f4739e90f	PREFILL	AT_NATIVE_VECTORIZED_ELEMENTWISE	3584,1,1	265248	0.0017126374744950684	232576	1	1	OPTIONAL
31	STR_49061a443675	PREFILL	AT_NATIVE_REDUCE	128,1,1	244896	0.0015812298941139773	186464	1	1	OPTIONAL
32	STR_267ff47b2393	PREFILL	AT_NATIVE_ELEMENTWISE	3584,1,1	179585	0.0011595337226188204	119489	1	1	OPTIONAL
33	STR_640462b030a1	PREFILL	AT_NATIVE_ELEMENTWISE	512,1,1	121216	0.0007826602428986993	87584	1	1	OPTIONAL
34	STR_94c9838b5ed4	DECODE	AT_NATIVE_UNROLLED_ELEMENTWISE	1,1,1	78784	0.00050868783474567	65824	1	1	OPTIONAL
35	STR_719d72964aaa	PREFILL	AT_NATIVE_ELEMENTWISE	1792,1,1	94784	0.0006119956809572195	63296	1	1	OPTIONAL
36	STR_97f09901283a	DECODE	OTHER_EXACT_IMPLEMENTATION	7,1,1	59648	0.0003851316506766567	53984	1	1	OPTIONAL
37	STR_4e512f9606d5	PREFILL	AT_NATIVE_ELEMENTWISE	512,1,1	54720	0.00035331283404349946	43360	1	1	OPTIONAL
38	STR_d3bf91378889	DECODE	COPY_KERNEL	1,2,1	47904	0.0003093036915573793	40416	1	1	OPTIONAL
39	STR_a0277080afae	PREFILL	AT_NATIVE_VECTORIZED_ELEMENTWISE	4,1,1	55776	0.0003601311518934617	38816	1	1	OPTIONAL
40	STR_3bd8731fe57e	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	1,1,1	39392	0.000254343917372835	36896	1	1	OPTIONAL
41	STR_f9358ea044e5	PREFILL	AT_NATIVE_VECTORIZED_ELEMENTWISE	4,1,1	49920	0.0003223204801800346	36672	1	1	OPTIONAL
42	STR_6836f76739de	DECODE	AT_NATIVE_UNROLLED_ELEMENTWISE	1,1,1	43872	0.00028327011431206883	35552	1	1	OPTIONAL
43	STR_88753124b5c4	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	1,1,1	38560	0.0002489719093698344	33728	1	1	OPTIONAL
44	STR_dfe5a1c0179a	DECODE	CUBLAS_GEMM	1,1,1	40832	0.00026364162353187447	33088	1	1	OPTIONAL
45	STR_a7a6e3b2412b	PREFILL	AT_NATIVE_ELEMENTWISE	256,1,1	46400	0.0002995927540134937	32896	1	1	OPTIONAL
46	STR_dd2b50228f32	DECODE	AT_NATIVE_ELEMENTWISE	1,1,1	28160	0.0001818218093323272	22848	1	1	OPTIONAL
47	STR_a239761b1767	PREFILL	OTHER_EXACT_IMPLEMENTATION	608,1,1	17312	0.00011177908960089661	17312	1	1	OPTIONAL
48	STR_d382d40603a9	PREFILL	COPY_KERNEL	152,2,1	3168	2.045495354988681e-05	3168	1	1	OPTIONAL
49	STR_ba4fcb71823f	PREFILL	AT_NATIVE_VECTORIZED_ELEMENTWISE	256,1,1	2496	1.611602400900173e-05	2496	1	1	OPTIONAL
50	STR_2889bc49a815	PREFILL	AT_NATIVE_UNROLLED_ELEMENTWISE	256,1,1	4192	2.706665570742598e-05	2176	1	1	OPTIONAL
51	STR_b8c7571292df	PREFILL	AT_NATIVE_UNROLLED_ELEMENTWISE	4,1,1	2048	1.3223404315078342e-05	2048	1	1	OPTIONAL
52	STR_d607f00cdb30	PREFILL	AT_NATIVE_VECTORIZED_ELEMENTWISE	256,1,1	1664	1.0744016006001153e-05	1664	1	1	OPTIONAL
53	STR_8447356869c3	PREFILL	CUBLAS_GEMM	64,1,1	1312	8.471243389347063e-06	1312	1	1	OPTIONAL
54	STR_0fa463eb7295	PREFILL	AT_NATIVE_ELEMENTWISE	32,1,1	1152	7.4381649272315675e-06	1152	1	1	OPTIONAL
