cluster_id	cluster_type	phase	normalized_kernel_family	exact_implementation_sha256	implementation_match_key	canonical_exact_function_key	block	member_strata_count	member_grids	launch_count	represented_workload_mass_ns	measurement_target_count	asset_statuses
STR_002957baf514	STRUCTURAL_STRATUM	PREFILL	AT_NATIVE_ELEMENTWISE	91297a911e5ce0bc544f9f1e69b7e03db76a50894146196e6db519747eea57d6	EXACT_IMPLEMENTATION_UNNORMALIZED	EXACT_SHA256_91297a911e5ce0bc544f9f1e69b7e03db76a50894146196e6db519747eea57d6	128,1,1	1	7168,1,1	49	354051	1	MISSING_SIM_TRACE
STR_01503476cf8d	STRUCTURAL_STRATUM	DECODE	COPY_KERNEL	1dcd309bfcaf4619985c9773e3174747e99765bae9400e943b6c6c44db5ba036	EXACT_IMPLEMENTATION_UNNORMALIZED	EXACT_SHA256_1dcd309bfcaf4619985c9773e3174747e99765bae9400e943b6c6c44db5ba036	512,1,1	1	152,2,1	1488	4982632	1	MISSING_SIM_TRACE
STR_0ae40c0c8c0c	STRUCTURAL_STRATUM	PREFILL	AT_NATIVE_ELEMENTWISE	3152a5cb6f7e1e6677da5888d1fefa8b3ca559fddf1fb0c4617d0cb56def4477	EXACT_IMPLEMENTATION_UNNORMALIZED	EXACT_SHA256_3152a5cb6f7e1e6677da5888d1fefa8b3ca559fddf1fb0c4617d0cb56def4477	128,1,1	1	3584,1,1	97	688192	1	MISSING_SIM_TRACE
STR_0fa463eb7295	STRUCTURAL_STRATUM	PREFILL	AT_NATIVE_ELEMENTWISE	9b1cdd2742b2670c8e01f898eb0822cd8797c01086aac0c04669129e160274ce	EXACT_IMPLEMENTATION_UNNORMALIZED	EXACT_SHA256_9b1cdd2742b2670c8e01f898eb0822cd8797c01086aac0c04669129e160274ce	64,1,1	1	32,1,1	1	1152	1	MISSING_SIM_TRACE
STR_1219d0211381	STRUCTURAL_STRATUM	PREFILL	COPY_KERNEL	e593dab8aec90bd69f8465eb6a67ce3b4db21258884d7c33fec094f870a90650	EXACT_IMPLEMENTATION_UNNORMALIZED	EXACT_SHA256_e593dab8aec90bd69f8465eb6a67ce3b4db21258884d7c33fec094f870a90650	512,1,1	1	152,2,1	48	405827	1	MISSING_SIM_TRACE
STR_1a4d1a138a59	STRUCTURAL_STRATUM	DECODE	AT_NATIVE_ELEMENTWISE	3152a5cb6f7e1e6677da5888d1fefa8b3ca559fddf1fb0c4617d0cb56def4477	EXACT_IMPLEMENTATION_UNNORMALIZED	EXACT_SHA256_3152a5cb6f7e1e6677da5888d1fefa8b3ca559fddf1fb0c4617d0cb56def4477	128,1,1	1	2,1,1	1536	2816200	1	MISSING_SIM_TRACE
STR_1bd2e525d6d9	STRUCTURAL_STRATUM	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	5711aa9db8c527013d97f362d04044929dca517a8e05fc11bfa622179d9a60ed	EXACT_IMPLEMENTATION_UNNORMALIZED	EXACT_SHA256_5711aa9db8c527013d97f362d04044929dca517a8e05fc11bfa622179d9a60ed	128,1,1	1	1,1,1	1568	1517863	1	MISSING_SIM_TRACE
STR_1e33a02a023d	STRUCTURAL_STRATUM	PREFILL	CUBLAS_GEMM	90f8352b488cd3123433f3ba1c70b52fdf0186831d779bb6eea1135c76e59d93	CUTLASS_F16_GEMM_256X128_32X3_TN_ALIGN8	CUTLASS_F16_GEMM_256X128_32X3_TN_ALIGN8	256,1,1	1	128,3,1	48	9737876	1	REUSABLE_NOW
STR_1e8f76f5cafe	STRUCTURAL_STRATUM	DECODE	AT_NATIVE_ELEMENTWISE	bdd4f2099fa3c9f8e3b033bd895b8cab81b6e96352879bf37854ae6723f62c16	EXACT_IMPLEMENTATION_UNNORMALIZED	EXACT_SHA256_bdd4f2099fa3c9f8e3b033bd895b8cab81b6e96352879bf37854ae6723f62c16	128,1,1	1	1,1,1	1536	2397031	1	MISSING_SIM_TRACE
STR_1f2dafe69bb0	STRUCTURAL_STRATUM	DECODE	AT_NATIVE_VECTORIZED_ELEMENTWISE	e88663be9a32f280a8174eef80811f6610d41523e6f08d34561f29442abd05c4	EXACT_IMPLEMENTATION_UNNORMALIZED	EXACT_SHA256_e88663be9a32f280a8174eef80811f6610d41523e6f08d34561f29442abd05c4	128,1,1	1	2,1,1	1568	1684834	1	MISSING_SIM_TRACE
STR_267ff47b2393	STRUCTURAL_STRATUM	PREFILL	AT_NATIVE_ELEMENTWISE	8aa3a46aafcd3bec14540f327e0544e4b2dca8d0f1ff0980a31a7beb6a88c7d6	EXACT_IMPLEMENTATION_UNNORMALIZED	EXACT_SHA256_8aa3a46aafcd3bec14540f327e0544e4b2dca8d0f1ff0980a31a7beb6a88c7d6	128,1,1	1	3584,1,1	24	179585	1	MISSING_SIM_TRACE
