trajectory_id	normalized_kernel_family	exact_implementation_sha256	block	step	grid	recurrence	accumulated_duration_ns	median_launch_duration_ns	selection_pool_median_launch_duration_ns	selected_measurement_point
TRJ_a372e5defa43	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	128,1,1	1	3586,1,1	48	333601	6944.0	6944.0	YES
TRJ_a372e5defa43	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	128,1,1	2	3588,1,1	48	334977	6976.0	6976	NO
TRJ_a372e5defa43	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	128,1,1	3	3590,1,1	48	334304	6976.0	6976.0	NO
TRJ_a372e5defa43	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	128,1,1	4	3591,1,1	48	335073	6976.0	6976.0	NO
TRJ_a372e5defa43	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	128,1,1	5	3593,1,1	48	335137	6976.0	6976.0	NO
TRJ_a372e5defa43	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	128,1,1	6	3595,1,1	48	334752	6976.0	6976.0	NO
TRJ_a372e5defa43	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	128,1,1	7	3597,1,1	48	335009	6976.0	6976	NO
TRJ_a372e5defa43	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	128,1,1	8	3598,1,1	48	335553	6976.0	6976.0	NO
TRJ_a372e5defa43	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	128,1,1	9	3600,1,1	48	335648	6992.0	7008.0	NO
TRJ_a372e5defa43	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	128,1,1	10	3602,1,1	48	335905	6992.0	6992.0	NO
TRJ_a372e5defa43	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	128,1,1	11	3604,1,1	48	335746	6992.5	6977	NO
TRJ_a372e5defa43	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	128,1,1	12	3605,1,1	48	336065	7008.0	7008	NO
TRJ_a372e5defa43	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	128,1,1	13	3607,1,1	48	336096	7008.0	7008	NO
TRJ_a372e5defa43	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	128,1,1	14	3609,1,1	48	336800	7008.0	7008.0	NO
TRJ_a372e5defa43	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	128,1,1	15	3611,1,1	48	336128	7008.0	7008.0	NO
TRJ_a372e5defa43	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	128,1,1	16	3612,1,1	48	336897	7008.0	7008.0	YES
TRJ_a372e5defa43	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	128,1,1	17	3614,1,1	48	336929	7008.0	7008	NO
TRJ_a372e5defa43	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	128,1,1	18	3616,1,1	48	336641	7008.0	7008.0	NO
TRJ_a372e5defa43	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	128,1,1	19	3618,1,1	48	337120	7008.0	7008.0	NO
TRJ_a372e5defa43	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	128,1,1	20	3619,1,1	48	337217	7008.0	7008.0	NO
TRJ_a372e5defa43	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	128,1,1	21	3621,1,1	48	337408	7008.0	7008	NO
TRJ_a372e5defa43	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	128,1,1	22	3623,1,1	48	337536	7040.0	7024.0	NO
TRJ_a372e5defa43	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	128,1,1	23	3625,1,1	48	337953	7040.0	7040	NO
TRJ_a372e5defa43	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	128,1,1	24	3626,1,1	48	337600	7040.0	7040.0	NO
TRJ_a372e5defa43	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	128,1,1	25	3628,1,1	48	337921	7040.0	7040	NO
TRJ_a372e5defa43	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	128,1,1	26	3630,1,1	48	338464	7040.0	7040.0	NO
TRJ_a372e5defa43	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	128,1,1	27	3632,1,1	48	338208	7040.0	7040	NO
TRJ_a372e5defa43	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	128,1,1	28	3633,1,1	48	338336	7040.0	7040.0	NO
TRJ_a372e5defa43	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	128,1,1	29	3635,1,1	48	338529	7040.0	7040.0	NO
TRJ_a372e5defa43	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	128,1,1	30	3637,1,1	48	316226	6608.0	6976	NO
TRJ_a372e5defa43	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	128,1,1	31	3639,1,1	48	293569	6112.0	6112	NO
TRJ_a372e5defa43	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	128,1,1	32	3640,1,1	48	293667	6112.0	6112	YES
