suite	cluster_type	cluster_total_represented_mass_ns	represented_mass_accounted_ns	target_id	cluster_id	phase	normalized_kernel_family	exact_implementation_sha256	implementation_match_key	canonical_exact_function_key	canonical_stratum_key	global_launch_index_v2	decode_step_v2	grid	block	representative_launch_native_duration_ns	representative_grid_ctas	asset_status	asset_candidate	accepted_target	payload_sha256	runner_index_sha256	new_capture_authorized
CORE_MINIMAL	STRUCTURAL_STRATUM	9737876	9737876	STR_1e33a02a023d_P1	STR_1e33a02a023d	PREFILL	CUBLAS_GEMM	90f8352b488cd3123433f3ba1c70b52fdf0186831d779bb6eea1135c76e59d93	CUTLASS_F16_GEMM_256X128_32X3_TN_ALIGN8	CUTLASS_F16_GEMM_256X128_32X3_TN_ALIGN8	48f8d3695fe0688656da32be3d1e3d09fa2a8665968a6d56722225c4313161a1	45	N/A	128,3,1	256,1,1	204097	384	REUSABLE_NOW	PREFILL_GEMM_PRIMARY_OCC0	T1	e36178f9a92033cd91f3c1ff4b165321b7958157c7deed2a9aaa4696e7c73e8c	c9dd68f84606deceb8d7dcece6e35c93750b16bf507ac3666c3adb2a0e0cdc41	NO
CORE_MINIMAL	STRUCTURAL_STRATUM	2164261	2164261	STR_2e3b147f9188_P1	STR_2e3b147f9188	DECODE	PYTORCH_FLASH_FWD	e38eb3e5e78b49fe8f9e20a45f95c9b321ce9747e88a1c36a627e74929bc5eec	FLASH_FWD_SPLITKV_COMBINE	FLASH_FWD_SPLITKV_COMBINE	b8eca23ef49cfe3a08b4e15e92ab7813df5987ccc3e24cec5c93ebde830b8af5	16813	16	2,1,1	128,1,1	2816	2	REQUIRES_REQUALIFICATION	DECODE_FLASH_PRIMARY_2_STEP16	NONE	d153db1548517f24eebd80c1a5dc48785ab28ace173b2937dd4f7b4a7005dcb9	31b54d9f55ce501a6cb64360c2b1c988e2099b7e97e3fb9945d27d4631dd8da2	NO
CORE_MINIMAL	STRUCTURAL_STRATUM	24759017	24759017	STR_3ee044e4b346_P1	STR_3ee044e4b346	DECODE	CUBLAS_GEMV	9c8b8197c254fdbf63a135e8bd63b6485df1c077c48dcadd41f00f2c59e81469	CUBLAS_GEMV	CUBLAS_GEMV	41895c48e32b75650fececf0454edc183825f5aa642965e383992a5445d5aeb1	17039	16	1216,1,1	16,4,1	16096	1216	REUSABLE_NOW	DECODE_GEMV_PRIMARY_STEP16	T2	b87cd6cb6a2bc0f67e17616e26d1bf9091facad242d46a43f5f9c1ac274b6138	2a458d31a945cf11ce465b563582e6ab29292ae692bd3d2acd74bf4e8b5c2c4a	NO
CORE_MINIMAL	STRUCTURAL_STRATUM	6155566	6155566	STR_4d6a458e05a7_P1	STR_4d6a458e05a7	PREFILL	CUBLAS_GEMM	90f8352b488cd3123433f3ba1c70b52fdf0186831d779bb6eea1135c76e59d93	CUTLASS_F16_GEMM_256X128_32X3_TN_ALIGN8	CUTLASS_F16_GEMM_256X128_32X3_TN_ALIGN8	a9fdfe938864374d206df613519f3e48f88ef64f5641367c8e8390ec9d3819cd	979	N/A	128,75,1	256,1,1	6155566	9600	MISSING_SIM_TRACE	NONE	NONE	NONE	NONE	NO
CORE_MINIMAL	STRUCTURAL_STRATUM	4468140	4468140	STR_6d8d2509696c_P1	STR_6d8d2509696c	DECODE	CUBLAS_GEMV	64f86c20cfc766d359c75d4b471c98ecf3fa8577e91f37cfb5564379668a2353	CUBLAS_GEMV	CUBLAS_GEMV	a60ec88e63821fd1ae8ec1f835f0243998822c9ee2180883a6df0efafb622efa	1001	1	32,1,1	32,4,1	2912	32	MISSING_SIM_TRACE	NONE	NONE	NONE	NONE	NO
CORE_MINIMAL	STRUCTURAL_STRATUM	9924399	9924399	STR_83d0c7bfb367_P1	STR_83d0c7bfb367	DECODE	PYTORCH_FLASH_FWD	acd9e92a7282d0c17ce34f2bda8a7972bb8913b66629d00bdecf3b119a81d426	FLASH_FWD_SPLITKV	FLASH_FWD_SPLITKV	f7926038860e887e3a02ab5acce8a2f895ae45a183af9dc7e332634f25c9aeba	17543	16	1,9,14	128,1,1	13024	126	REQUIRES_REQUALIFICATION	DECODE_FLASH_PRIMARY_1_STEP16	NONE	282a9b18510bd0aaf54ec528c65bfb39d49b052902c6b87f3b85bb2973096371	59236d6c6746260a3127c8f858270c915e91c9d7959647047a8d44504a984773	NO
CORE_MINIMAL	STRUCTURAL_STRATUM	6837034	6837034	STR_8a5773a1d265_P1	STR_8a5773a1d265	DECODE	CUBLAS_GEMV	64f86c20cfc766d359c75d4b471c98ecf3fa8577e91f37cfb5564379668a2353	CUBLAS_GEMV	CUBLAS_GEMV	6351ba4e0ecca216d0a1231a0b74b65c69b9f72011a47f3289441c36381e6ca5	1043	1	224,1,1	32,4,1	4448	224	MISSING_SIM_TRACE	NONE	NONE	NONE	NONE	NO
CORE_MINIMAL	STRUCTURAL_STRATUM	11757630	11757630	STR_8bc741e5debc_P1	STR_8bc741e5debc	DECODE	CUBLAS_GEMV	9c8b8197c254fdbf63a135e8bd63b6485df1c077c48dcadd41f00f2c59e81469	CUBLAS_GEMV	CUBLAS_GEMV	19b01af788702d2f8edb7d669834686f65beb8a54c2df06a406ef986d76b11bc	1248	1	224,1,1	16,4,1	15296	224	MISSING_SIM_TRACE	NONE	NONE	NONE	NONE	NO
CORE_MINIMAL	STRUCTURAL_STRATUM	3624299	3624299	STR_b0eca525e868_P1	STR_b0eca525e868	PREFILL	PYTORCH_FLASH_FWD	28f5ddff59b2ab385e957e346a004210bdff57579ab7607d302907c74f415ba4	FLASH_FWD	FLASH_FWD	2a9c957f3f6ab9b641e8646d0a1c052cd803363d13a8e095b733c0b39e6c8e7f	34	N/A	16,1,14	128,1,1	159969	224	REUSABLE_NOW	Q05_PREFILL_ATTN_FLASH	T0	d8fa338f82800f646c8501a6a1d1049afaae213fe0d7f70d4913fcfaa76ba67a	a8b4ba1cf33f34be345b38908cb39572c0d14972170fd1972b4b080e81154fd5	NO
CORE_MINIMAL	STRUCTURAL_STRATUM	4783818	4783818	STR_ca7222ce4e26_P1	STR_ca7222ce4e26	PREFILL	CUBLAS_GEMM	8530e1eefcc894c7e7a5fc850f51ffdce69371602db40ea0cca0c9242443f1f5	EXACT_IMPLEMENTATION_UNNORMALIZED	EXACT_SHA256_8530e1eefcc894c7e7a5fc850f51ffdce69371602db40ea0cca0c9242443f1f5	0352e8ba55a7f829466dce7aa4de6d20efa994ff86acfc245d0be6cd3898ff75	329	N/A	7,16,4	128,1,1	199265	448	MISSING_SIM_TRACE	NONE	NONE	NONE	NONE	NO
CORE_MINIMAL	STRUCTURAL_STRATUM	13107325	13107325	STR_fb002dc5652b_P1	STR_fb002dc5652b	DECODE	CUBLAS_GEMV	9c8b8197c254fdbf63a135e8bd63b6485df1c077c48dcadd41f00f2c59e81469	CUBLAS_GEMV	CUBLAS_GEMV	4e64ed3f0eb42660a9650555b6e4370be2a205b468644d515f0ab51a4f179ed9	4138	3	18992,1,1	8,8,1	409121	18992	MISSING_SIM_TRACE	NONE	NONE	NONE	NONE	NO
CORE_MINIMAL	DECODE_SHAPE_TRAJECTORY	10661015	10661015	TRJ_a372e5defa43_P1	TRJ_a372e5defa43	DECODE	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXACT_IMPLEMENTATION_UNNORMALIZED	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	9ce47e8498a4d5592b84adbd53ddeb5bc75ae91fa5dad13de0aa7fdd12b940cb	1101	1	3586,1,1	128,1,1	6944	3586	MISSING_SIM_TRACE	NONE	NONE	NONE	NONE	NO
CORE_MINIMAL	DECODE_SHAPE_TRAJECTORY	10661015	0	TRJ_a372e5defa43_P2	TRJ_a372e5defa43	DECODE	AT_NATIVE_ELEMENTWISE	d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	EXACT_IMPLEMENTATION_UNNORMALIZED	EXACT_SHA256_d3960332886ccbc5c01efcc8f3296deaf00c899258cf4ffd8eafb014d49e1f40	d7ca3f89c56a839ff1f9ae192f95d5c07a179567de9bd4bc0a90bdf0409aadaf	16897	16	3612,1,1	128,1,1	7008	3612	MISSING_SIM_TRACE	NONE	NONE	NONE	NONE	NO
