field	value	role	status
framework_branch	hrl/vm-m4b-speculative-v0	C10-A2 branch	VERIFIED
framework_admission_head	d112714291ff789194ab335940f76243920b4404	authoritative C10-A2 handoff	VERIFIED
core_branch	hrl/vm-m4b-speculative-v0	C10-A2 branch	VERIFIED
core_admission_head	c27bf0e2fc5e24c54966426840bd56748ef92028	C10-A2 sole Core parent	VERIFIED
core_original_parent	c21137bcb86010215c008292f272aacefac175d3	C10-A functional parent	VERIFIED
c10a2_handoff	docs/vm_tlb/codex_handoff/spec_m4b/C10A2_NAMED_BLOCKER_STATIC_CLOSURE.md	stage authority	READ
c10a2_matrix	docs/vm_tlb/codex_handoff/spec_m4b/C10A2_ACCEPTANCE_MATRIX.md	acceptance authority	READ
c10a_report	C10A_ARCHITECTURE_MODEL_IMPLEMENTATION_LOW_RESOURCE/FINAL_REPORT.md	prior state	READ
c10a_blockers	C10A_ARCHITECTURE_MODEL_IMPLEMENTATION_LOW_RESOURCE/KNOWN_DEFERRED_C10B.md	closure scope	READ
c9_decision_pack	C9_SEGMENT_SUBENTRY_ARCHITECTURE_DECISION	architecture authority	READ
window_a	private worktree/scratch/processes	out of scope	UNTOUCHED
execution_boundary	NO_BUILD; NO_LINK; NO_SIMULATOR; NO_C5; NO_LARGE_TRACE	C10-A2 restriction	ENFORCED
