scope	file:symbol	request semantic	current admission finding	C10-A2 planned handling
production_data_translation	src/gpgpu-sim/shader.cc:ldst_unit::memory_cycle	coalesced global/local/param data transaction	sole production controller call; currently omits access enum and receives API READ default	pass ATOMIC if inst.isatomic(), else WRITE if inst.is_store(), else READ
production_pte_path	src/gpgpu-sim/gpu-sim.cc:gpgpu_sim::icnt_cycle	physical PTE request/response	does not call translation_controller::translate; pte_request is explicitly physical/bypass	no access enum needed; retain no-recursion path
controller_internal	src/gpgpu-sim/vm_translation.cc:service_lookups	Segment descriptor lookup	uses lookup_operation access field	retain read-only Segment predicate
test_compatibility	tests/vm_*.cc	unit-directed callers	many legacy overload uses are not production simulation	retain documented READ-only compatibility overload; add explicit C10-A2 tests for write/atomic
registration_parse	src/gpgpu-sim/vm_translation.cc:weight_segment_map::weight_segment_map	V2 driver registration artifact	assert-driven direct live-vector mutation	replace with staging admission result and zero-live-image semantic reject
registration_lifecycle	src/gpgpu-sim/vm_translation.{h,cc}:translation_controller	local descriptor replicas	constructor copies only	add explicit inactive/installing/active/revoking lifecycle APIs and per-replica ack state
subentry_fill_invalidate	src/gpgpu-sim/vm_translation.{h,cc}:subentry_tlb/translation_controller	L2 group fill/shootdown	fill has no captured ASID generation	bind generation at miss/walk admission; discard mismatched fill
runtime_profile	src/gpgpu-sim/gpu-sim.cc; shader.h; vm_translation.{h,cc}	F0--F9 selection/manifest	individual knobs only; static Framework TSV	add official selector, reject H0/F5, derive geometry and emit realized manifest telemetry
delivered_core_files	src/gpgpu-sim/vm_translation.h; src/gpgpu-sim/vm_translation.cc; src/gpgpu-sim/gpu-sim.cc; src/gpgpu-sim/shader.cc; src/gpgpu-sim/shader.h; tests/vm_c10a2_static_model_test.cc	C10-A2 source/test delta	B2--B7 static closure; no compile/run performed	DELIVERED_STATIC_UNRUN
delivered_framework_files	configs/vm_tlb/M4B_C10A2_FAIR_ARM_PROFILES.tsv; util/vm_tlb/validate_c10a2_static_closure.py; C10A2 review pack	static configuration/validator/evidence	B2--B7 static evidence	DELIVERED_STATIC
