target	modeled_page	pc	trace_references	unique_pages	translation_hits_misses_walks	stall_cycles	scope
T0	64KiB	8630	215040	56	NOT_AVAILABLE_WITHOUT_SEMANTIC_INVENTION	NOT_AVAILABLE_WITHOUT_SEMANTIC_INVENTION	offline_top_by_trace_reference_count_not_stall_contribution
T0	64KiB	8680	215040	56	NOT_AVAILABLE_WITHOUT_SEMANTIC_INVENTION	NOT_AVAILABLE_WITHOUT_SEMANTIC_INVENTION	offline_top_by_trace_reference_count_not_stall_contribution
T0	64KiB	86d0	215040	56	NOT_AVAILABLE_WITHOUT_SEMANTIC_INVENTION	NOT_AVAILABLE_WITHOUT_SEMANTIC_INVENTION	offline_top_by_trace_reference_count_not_stall_contribution
T0	64KiB	8710	215040	56	NOT_AVAILABLE_WITHOUT_SEMANTIC_INVENTION	NOT_AVAILABLE_WITHOUT_SEMANTIC_INVENTION	offline_top_by_trace_reference_count_not_stall_contribution
T0	64KiB	8720	215040	56	NOT_AVAILABLE_WITHOUT_SEMANTIC_INVENTION	NOT_AVAILABLE_WITHOUT_SEMANTIC_INVENTION	offline_top_by_trace_reference_count_not_stall_contribution
T0	64KiB	8730	215040	56	NOT_AVAILABLE_WITHOUT_SEMANTIC_INVENTION	NOT_AVAILABLE_WITHOUT_SEMANTIC_INVENTION	offline_top_by_trace_reference_count_not_stall_contribution
T0	64KiB	8740	215040	56	NOT_AVAILABLE_WITHOUT_SEMANTIC_INVENTION	NOT_AVAILABLE_WITHOUT_SEMANTIC_INVENTION	offline_top_by_trace_reference_count_not_stall_contribution
T0	64KiB	8750	215040	56	NOT_AVAILABLE_WITHOUT_SEMANTIC_INVENTION	NOT_AVAILABLE_WITHOUT_SEMANTIC_INVENTION	offline_top_by_trace_reference_count_not_stall_contribution
T0	64KiB	8350	188160	56	NOT_AVAILABLE_WITHOUT_SEMANTIC_INVENTION	NOT_AVAILABLE_WITHOUT_SEMANTIC_INVENTION	offline_top_by_trace_reference_count_not_stall_contribution
T0	64KiB	8380	188160	56	NOT_AVAILABLE_WITHOUT_SEMANTIC_INVENTION	NOT_AVAILABLE_WITHOUT_SEMANTIC_INVENTION	offline_top_by_trace_reference_count_not_stall_contribution
