scenario	phase	family	function	grid	block	launch_count	gpu_duration_ns	gpu_time_share
LLAMA32_1B_B1_T256_D8	DECODE	GEMV	std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)	2048,1,1	16,4,1	256	13347477	0.26652819623569884
LLAMA32_1B_B1_T256_D8	DECODE	GEMV	std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)	512,1,1	32,4,1	128	6687964	0.13354815905727271
LLAMA32_1B_B1_T256_D8	DECODE	GEMV	std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)	32064,1,1	16,4,1	8	6223140	0.12426635229431202
LLAMA32_1B_B1_T256_D8	DECODE	GEMV	std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)6, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)	512,1,1	16,4,1	256	3784415	0.07556883624952658
LLAMA32_1B_B1_T256_D8	PREFILL	GEMM	ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_64x3_tn	64,2,1	128,1,1	32	3671925	0.07332258725471251
LLAMA32_1B_B1_T256_D8	PREFILL	GEMM	void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_128x256_32x3_tn_align8>(T1::Params)	8,2,4	256,1,1	16	1786698	0.03567755877443585
LLAMA32_1B_B1_T256_D8	PREFILL	GEMM	void cutlass::Kernel2<cutlass_80_tensorop_bf16_s16816gemm_relu_bf16_256x128_32x3_tn_align8>(T1::Params)	16,63,1	256,1,1	1	1524873	0.03044932388184814
LLAMA32_1B_B1_T256_D8	DECODE	GEMV	std::enable_if<!T7, void>::type internal::gemvx::kernel<int, int, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, float, (bool)0, (bool)1, (bool)1, (bool)0, (int)7, (bool)0, cublasGemvParamsEx<int, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<const __nv_bfloat16>, cublasGemvTensorStridedBatched<__nv_bfloat16>, float>>(T13)	128,1,1	32,4,1	256	1274342	0.0254466124682135
LLAMA32_1B_B1_T256_D8	PREFILL	GEMM	ampere_bf16_s16816gemm_bf16_128x64_ldg8_f2f_stages_32x6_tn	16,4,1	128,1,1	32	982215	0.019613294127845054
LLAMA32_1B_B1_T256_D8	DECODE	ATTENTION_LIKE	void pytorch_flash::flash_fwd_splitkv_kernel<pytorch_flash::Flash_fwd_kernel_traits<(int)64, (int)64, (int)256, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, pytorch_flash::Flash_kernel_traits<(int)64, (int)64, (int)256, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)1, (bool)0>(pytorch_flash::Flash_fwd_params)	1,2,32	128,1,1	128	932837	0.018627292857812797
LLAMA32_1B_B1_T256_D8	DECODE	COPY	void at::native::<unnamed>::CatArrayBatchedCopy<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)4, (int)64, (int)64>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)	152,2,1	512,1,1	288	636578	0.012711464953513588
LLAMA32_1B_B1_T256_D8	DECODE	COPY	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 12)]::operator ()() const::[lambda(c10::BFloat16) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	4,1,1	128,1,1	264	632453	0.012629095168611748
LLAMA32_1B_B1_T256_D8	DECODE	REDUCTION	void at::native::reduce_kernel<(int)512, (int)1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, (int)4>>(T3)	1,1,1	512,1,1	264	614016	0.012260937174857755
LLAMA32_1B_B1_T256_D8	DECODE	COPY	void at::native::unrolled_elementwise_kernel<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase &)::[lambda() (instance 3)]::operator ()() const::[lambda() (instance 7)]::operator ()() const::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>, TrivialOffsetCalculator<(int)1, unsigned int>, TrivialOffsetCalculator<(int)1, unsigned int>, at::native::memory::LoadWithCast<(int)1>, at::native::memory::StoreWithCast<(int)1>>(int, T1, T2, T3, T4, T5, T6)	4,1,1	128,1,1	264	585028	0.011682092247649382
LLAMA32_1B_B1_T256_D8	DECODE	COPY	void at::native::<unnamed>::CatArrayBatchedCopy_contig<at::native::<unnamed>::OpaqueType<(unsigned int)2>, unsigned int, (int)4, (int)128, (int)1>(T1 *, at::native::<unnamed>::CatArrInputTensorMetadata<T1, T2, T4, T5>, at::native::<unnamed>::TensorSizeStride<T2, (unsigned int)4>, int, T2)	152,2,1	512,1,1	224	497698	0.009938249019654788
LLAMA32_1B_B1_T256_D8	DECODE	OTHER	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	4,1,1	128,1,1	256	475076	0.009486523135036746
LLAMA32_1B_B1_T256_D8	DECODE	OTHER	void at::native::elementwise_kernel<(int)128, (int)4, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	1,1,1	128,1,1	256	452545	0.00903661437779472
LLAMA32_1B_B1_T256_D8	DECODE	OTHER	void at::native::vectorized_elementwise_kernel<(int)4, at::native::CUDAFunctor_add<c10::BFloat16>, at::detail::Array<char *, (int)3>>(int, T2, T3)	4,1,1	128,1,1	384	384868	0.007685210757721548
LLAMA32_1B_B1_T256_D8	DECODE	OTHER	void at::native::elementwise_kernel<(int)128, (int)2, void at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float>>>(at::TensorIteratorBase &, const T1 &)::[lambda(int) (instance 1)]>(int, T3)	8,1,1	128,1,1	264	371555	0.007419371013140167
LLAMA32_1B_B1_T256_D8	PREFILL	GEMM	ampere_bf16_s16816gemm_bf16_64x64_ldg8_f2f_stages_64x5_tn	8,4,2	128,1,1	32	363873	0.007265973513112062
LLAMA32_1B_B1_T256_D8	DECODE	OTHER	void at::native::vectorized_elementwise_kernel<(int)4, at::native::BinaryFunctor<c10::BFloat16, c10::BFloat16, c10::BFloat16, at::native::binary_internal::MulFunctor<float>>, at::detail::Array<char *, (int)3>>(int, T2, T3)	4,1,1	128,1,1	264	266532	0.005322226305322967
LLAMA32_1B_B1_T256_D8	DECODE	OTHER	void at::native::vectorized_elementwise_kernel<(int)4, void at::native::<unnamed>::pow_tensor_scalar_kernel_impl<float, float>(at::TensorIteratorBase &, T2)::[lambda(float) (instance 1)], at::detail::Array<char *, (int)2>>(int, T2, T3)	4,1,1	128,1,1	264	262688	0.005245467650010804
