cell,workload,variant,native_dram_data_bus_util,native_dram_n_cmd,source_dir
D256_BASE,FWT_11_19,B0-Banked,0.031798,128813,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/FWT_11_19
D256_BASE,FWT_7_21,B0-Banked,0.163062,370535,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/FWT_7_21
D256_BASE,btree,B0-Banked,0.146098,94806,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/btree
D256_BASE,cfd_097k,B0-Banked,0.17294,61154,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/cfd_097k
D256_BASE,convolutionSeparable,B0-Banked,0.651103,217987,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/convolutionSeparable
D256_BASE,dwt2d,B0-Banked,0.272605,125368,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/dwt2d
D256_BASE,sad,B0-Banked,0.006812,83088,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/sad
D256_BASE,scan,B0-Banked,0.818642,1620404,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/scan
D256_BASE,sgemm,B0-Banked,0.04623,265629,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/sgemm
D256_BASE,spmv,B0-Banked,0.678137,17610,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/spmv
D256_BASE,vectorAdd_4M,B0-Banked,0.795656,55059,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Banked/vectorAdd_4M
D256_BASE,FWT_11_19,B0-Legacy,0.031798,128813,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/FWT_11_19
D256_BASE,FWT_7_21,B0-Legacy,0.163062,370535,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/FWT_7_21
D256_BASE,btree,B0-Legacy,0.146098,94806,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/btree
D256_BASE,cfd_097k,B0-Legacy,0.176644,59736,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/cfd_097k
D256_BASE,convolutionSeparable,B0-Legacy,0.651103,217987,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/convolutionSeparable
D256_BASE,dwt2d,B0-Legacy,0.272605,125368,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/dwt2d
D256_BASE,sad,B0-Legacy,0.006812,83088,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/sad
D256_BASE,scan,B0-Legacy,0.818642,1620404,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/scan
D256_BASE,sgemm,B0-Legacy,0.04623,265629,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/sgemm
D256_BASE,spmv,B0-Legacy,0.678137,17610,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/spmv
D256_BASE,vectorAdd_4M,B0-Legacy,0.795656,55059,/workspace/worktrees/accel-sim-ep-l2-c7e/docs/ep_l2/target_baseline_results_final_850/B0-Legacy/vectorAdd_4M
