cell,workload,variant,channel_max_to_mean_max,channel_max_to_mean_p95,channel_cv_max,channel_cv_p95
D256_BASE,FWT_11_19,B0-Banked,1.0129870129870129,1.0058479532163742,0.013994415101687955,0.003648282422631486
D256_BASE,FWT_7_21,B0-Banked,1.340952380952381,1.1173370980891213,0.11926694926610033,0.056875318672660824
D256_BASE,btree,B0-Banked,5.0,1.357132320401239,1.3975424859373686,0.1443200803716188
D256_BASE,cfd_097k,B0-Banked,1.7041420118343196,1.7041420118343196,0.39865148550772717,0.39865148550772717
D256_BASE,convolutionSeparable,B0-Banked,4.8,1.3248730964467006,1.4832396974191326,0.1583042351748106
D256_BASE,dwt2d,B0-Banked,4.8,1.4767526823828019,1.5874507866387544,0.1441753559983083
D256_BASE,sad,B0-Banked,32.0,32.0,5.5677643628300215,5.5677643628300215
D256_BASE,scan,B0-Banked,18.285714285714285,1.1653736436588553,3.9149113160127773,0.10011798994758547
D256_BASE,sgemm,B0-Banked,1.2326406487582362,1.2245548764283816,0.10047444105546155,0.09566502784559623
D256_BASE,spmv,B0-Banked,1.0687510084078808,1.0687510084078808,0.02995526735493809,0.02995526735493809
D256_BASE,vectorAdd_4M,B0-Banked,1.0856542008244392,1.0856542008244392,0.03296118440236487,0.03296118440236487
D256_BASE,FWT_11_19,B0-Legacy,1.0129870129870129,1.0058479532163742,0.013994415101687955,0.003648282422631486
D256_BASE,FWT_7_21,B0-Legacy,1.340952380952381,1.1173370980891213,0.11926694926610033,0.056875318672660824
D256_BASE,btree,B0-Legacy,5.0,1.357132320401239,1.3975424859373686,0.1443200803716188
D256_BASE,cfd_097k,B0-Legacy,1.5460122699386503,1.5460122699386503,0.27105180410275487,0.27105180410275487
D256_BASE,convolutionSeparable,B0-Legacy,4.8,1.3248730964467006,1.4832396974191326,0.1583042351748106
D256_BASE,dwt2d,B0-Legacy,4.8,1.4767526823828019,1.5874507866387544,0.1441753559983083
D256_BASE,sad,B0-Legacy,32.0,32.0,5.5677643628300215,5.5677643628300215
D256_BASE,scan,B0-Legacy,18.285714285714285,1.1653736436588553,3.9149113160127773,0.10011798994758547
D256_BASE,sgemm,B0-Legacy,1.2326406487582362,1.2245548764283816,0.10047444105546155,0.09566502784559623
D256_BASE,spmv,B0-Legacy,1.0687510084078808,1.0687510084078808,0.02995526735493809,0.02995526735493809
D256_BASE,vectorAdd_4M,B0-Legacy,1.0856542008244392,1.0856542008244392,0.03296118440236487,0.03296118440236487
