profile_id	condition	set_name	layer	decode_index	selected_range	kernel_count	kernel_names	replay_pass_count	l1tex__t_bytes.sum	lts__t_bytes.sum	dram__bytes.sum	gpu__time_duration.sum	lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum	lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum	dram__bytes_read.sum	profiler_command
L0_UP_D3_CONTROL_N1	CONTROL_N1	N1	0	3	C16_E1_COV_CONTROL_N1_L0_UP_PROJ_D3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	47284224.0	41689760.0	46733696.0	82176.0	154940.0	1102304.0	35279488.0	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_COV_CONTROL_N1_L0_UP_PROJ_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_coverage_scaling_v1/ncu/primary/reports/L0_UP_D3_CONTROL_N1 /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_coverage_natural.py --condition CONTROL_N1 --run-index 500
L0_UP_D3_CONTROL_N28	CONTROL_N28	N28	0	3	C16_E1_COV_CONTROL_N28_L0_UP_PROJ_D3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	47284224.0	41712512.0	46679936.0	82656.0	155596.0	1102304.0	35281536.0	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_COV_CONTROL_N28_L0_UP_PROJ_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_coverage_scaling_v1/ncu/primary/reports/L0_UP_D3_CONTROL_N28 /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_coverage_natural.py --condition CONTROL_N28 --run-index 500
L0_UP_D3_CONTROL_N8	CONTROL_N8	N8	0	3	C16_E1_COV_CONTROL_N8_L0_UP_PROJ_D3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	47284224.0	41706752.0	46576000.0	82528.0	155354.0	1102304.0	35279872.0	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_COV_CONTROL_N8_L0_UP_PROJ_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_coverage_scaling_v1/ncu/primary/reports/L0_UP_D3_CONTROL_N8 /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_coverage_natural.py --condition CONTROL_N8 --run-index 500
L0_UP_D3_FAIR_N1	FAIR_N1	N1	0	3	C16_E1_COV_FAIR_N1_L0_UP_PROJ_D3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	47284224.0	41733408.0	36236416.0	66784.0	173142.0	1085360.0	34748928.0	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_COV_FAIR_N1_L0_UP_PROJ_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_coverage_scaling_v1/ncu/primary/reports/L0_UP_D3_FAIR_N1 /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_coverage_natural.py --condition FAIR_N1 --run-index 500
L0_UP_D3_FAIR_N28	FAIR_N28	N28	0	3	C16_E1_COV_FAIR_N28_L0_UP_PROJ_D3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	47284224.0	41654880.0	35291008.0	63936.0	153704.0	1102316.0	35291008.0	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_COV_FAIR_N28_L0_UP_PROJ_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_coverage_scaling_v1/ncu/primary/reports/L0_UP_D3_FAIR_N28 /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_coverage_natural.py --condition FAIR_N28 --run-index 500
L0_UP_D3_FAIR_N8	FAIR_N8	N8	0	3	C16_E1_COV_FAIR_N8_L0_UP_PROJ_D3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	47284224.0	41616352.0	35255552.0	63584.0	155224.0	1101176.0	35255552.0	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_COV_FAIR_N8_L0_UP_PROJ_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_coverage_scaling_v1/ncu/primary/reports/L0_UP_D3_FAIR_N8 /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_coverage_natural.py --condition FAIR_N8 --run-index 500
L14_UP_D3_CONTROL_N2	CONTROL_N2	N2	14	3	C16_E1_COV_CONTROL_N2_L14_UP_PROJ_D3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	47284224.0	41708896.0	45956480.0	81600.0	155548.0	1102304.0	35280128.0	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_COV_CONTROL_N2_L14_UP_PROJ_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_coverage_scaling_v1/ncu/primary/reports/L14_UP_D3_CONTROL_N2 /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_coverage_natural.py --condition CONTROL_N2 --run-index 500
L14_UP_D3_CONTROL_N28	CONTROL_N28	N28	14	3	C16_E1_COV_CONTROL_N28_L14_UP_PROJ_D3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	47284224.0	41711808.0	45956864.0	81440.0	155672.0	1102304.0	35279488.0	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_COV_CONTROL_N28_L14_UP_PROJ_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_coverage_scaling_v1/ncu/primary/reports/L14_UP_D3_CONTROL_N28 /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_coverage_natural.py --condition CONTROL_N28 --run-index 500
L14_UP_D3_CONTROL_N8	CONTROL_N8	N8	14	3	C16_E1_COV_CONTROL_N8_L14_UP_PROJ_D3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	47284224.0	41718560.0	45924736.0	82208.0	155904.0	1102304.0	35279744.0	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_COV_CONTROL_N8_L14_UP_PROJ_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_coverage_scaling_v1/ncu/primary/reports/L14_UP_D3_CONTROL_N8 /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_coverage_natural.py --condition CONTROL_N8 --run-index 500
L14_UP_D3_FAIR_N2	FAIR_N2	N2	14	3	C16_E1_COV_FAIR_N2_L14_UP_PROJ_D3	2	"[""gemm_forward_4bit_cuda_m16n128k32(int, int, __half *, int *, __half *, int *, int, int, int, __half *)"", ""void at::reduce_kernel<128, 4, at::ReduceOp<c10::Half, at::func_wrapper_t<c10::Half, at::sum_functor<c10::Half, float, c10::Half>::operator ()(at::TensorIterator &)::[lambda(float, float) (instance 1)]>, unsigned int, c10::Half, 4>>(T3)""]"	3	47284224.0	41706208.0	33059712.0	60832.0	224878.0	1032568.0	33059328.0	/opt/nvidia/nsight-compute/2025.1.1/target/linux-desktop-glibc_2_11_3-x64/ncu --nvtx --nvtx-include C16_E1_COV_FAIR_N2_L14_UP_PROJ_D3/ --target-processes application-only --replay-mode application --cache-control none --metrics l1tex__t_bytes.sum,lts__t_bytes.sum,dram__bytes.sum,gpu__time_duration.sum,lts__t_sectors_srcunit_tex_op_read_lookup_hit.sum,lts__t_sectors_srcunit_tex_op_read_lookup_miss.sum,dram__bytes_read.sum,smsp__warp_issue_stalled_long_scoreboard_per_warp_active.pct,smsp__inst_executed_pipe_lsu.avg.pct_of_peak_sustained_active,sm__warps_active.avg.pct_of_peak_sustained_active --force-overwrite -o /data/c16/e1_coverage_scaling_v1/ncu/primary/reports/L14_UP_D3_FAIR_N2 /data/c16/env/c16-awq-v6/bin/python util/vm_tlb/c16/e1_coverage_natural.py --condition FAIR_N2 --run-index 500
