condition	set_name	layer	decode_index	selected	token_id	median_ms	min_ms	max_ms	cv	samples_ms	input_sha256	output_sha256
CONTROL_N1	N1	0	0	True	23578	0.10342399775981903	0.10224000364542007	0.10444799810647964	0.009052231895615307	[0.10444799810647964, 0.10342399775981903, 0.1043199971318245, 0.10224000364542007, 0.10239999741315842, 0.1043199971318245, 0.10239999741315842]	1241b8f94067b40d63d7946e485ab95746b0f01055ccf76f2646e7d9f7bf42ef	858e096b29bd6b0ba94ee9aa1d980ceb45430073354ca232ecc3bba2ed948876
CONTROL_N1	N1	0	1	True	11	0.08089599758386612	0.08089599758386612	0.08191999793052673	0.005558238772720029	[0.08191999793052673, 0.08089599758386612, 0.08089599758386612, 0.08105599880218506, 0.08089599758386612, 0.08191999793052673, 0.08089599758386612]	d2f9eab5b3cde9b1e8e5c4487a91b5e396c6dc12d30d6dda077361b7ff955a66	7b97011d4566bef596de6999abdf634e5c246e2db456b87146cc512378cfbe6b
CONTROL_N1	N1	0	2	True	323	0.08089599758386612	0.08025600016117096	0.08191999793052673	0.0055972439378397945	[0.08089599758386612, 0.08025600016117096, 0.08089599758386612, 0.08089599758386612, 0.08089599758386612, 0.08089599758386612, 0.08191999793052673]	10f11af8b788226f394a91405cc3886e6c7856bde09025a7ad9cd0f7cc361177	1a5703302916b1bb76afbbc8fec106ab2f0c8be1d55050b4acef2594177d3328
CONTROL_N1	N1	0	3	True	3950	0.08191999793052673	0.08089599758386612	0.08191999793052673	0.005667166334626749	[0.08191999793052673, 0.08191999793052673, 0.08191999793052673, 0.08191999793052673, 0.08089599758386612, 0.08089599758386612, 0.08191999793052673]	9e7734930ffe1cb6f035cd455794ce8e535a9853c7ceb5a236770a4cc2b33a06	abb444c62e12fec00485479cc7d40d69aa816d2965f7ba1af6f781a3ede0d142
CONTROL_N1	N1	1	0	False	23578	0.08191999793052673	0.08089599758386612	0.08214399963617325	0.0046371612828447146	[0.08191999793052673, 0.08214399963617325, 0.08089599758386612, 0.08191999793052673, 0.08191999793052673, 0.08191999793052673, 0.08191999793052673]	db6650c0130f05765968af959f30b49088e3776a2723cccf932989e55b9c44da	d9ad4b44025c6f3defe33de7c2c266549f3f5eb9108cb00bec82df16e7626432
CONTROL_N1	N1	1	1	False	11	0.08089599758386612	0.0798719972372055	0.08191999793052673	0.006766109882841733	[0.08089599758386612, 0.08089599758386612, 0.08191999793052673, 0.08089599758386612, 0.08089599758386612, 0.0798719972372055, 0.08089599758386612]	77926c0871ec99596aa206d8f0d9495db1c9fb6244490cbaa74da4ae17104b9c	cdee50ac23114dae0e0a80d691448855c9f374c2b1ff61c0ac63bad84ffd6f59
CONTROL_N1	N1	1	2	False	323	0.08089599758386612	0.0798719972372055	0.08191999793052673	0.010563322548689516	[0.0798719972372055, 0.08191999793052673, 0.0798719972372055, 0.0798719972372055, 0.08191999793052673, 0.08089599758386612, 0.08089599758386612]	c794c82c7f47e34ce6f1c4948ca3078047ff7a6aad4b8a192bcbc8f16b489c6f	0cc8070b490af6d0e71282a544424b492865abf292e926e26654403dd8163443
CONTROL_N1	N1	1	3	False	3950	0.08191999793052673	0.08089599758386612	0.08294399827718735	0.00800024612676865	[0.08089599758386612, 0.08191999793052673, 0.08191999793052673, 0.08294399827718735, 0.08191999793052673, 0.08089599758386612, 0.08191999793052673]	1e5c56c5c3415beb57492c0644c0e933eeb27d164b6b71351726cb9fa0b46272	a3c2689c3af35d336b6ad99ef7dbc096fc3e333da9985fb8829df10b3758b980
CONTROL_N1	N1	2	0	False	23578	0.08191999793052673	0.08089599758386612	0.08191999793052673	0.006219215228291248	[0.08191999793052673, 0.08191999793052673, 0.08089599758386612, 0.08191999793052673, 0.08089599758386612, 0.08191999793052673, 0.08089599758386612]	9d2364762e2f758fe3a74a08daf52c733b3c6c6a44ca0c5ba446d6235903ff7c	100cacb2bdc8e7ac596f46462444f47613f7d6fc10297a130d283bcfb6e59e4d
CONTROL_N1	N1	2	1	False	11	0.08089599758386612	0.08089599758386612	0.08089599758386612	0.0	[0.08089599758386612, 0.08089599758386612, 0.08089599758386612, 0.08089599758386612, 0.08089599758386612, 0.08089599758386612, 0.08089599758386612]	6d7fb6ecc82a1ac1629524618b7e6702fb83cb9e8a10dad449ba4b6828075d4a	9f5458f5f4810751976f3aadd15293a6d9efb25170de53da9fbb124f46c3e041
