layer	role	module_class	qweight_dtype	qweight_shape	qweight_bytes	storage_offset_bytes	contiguous	median_ms	min_ms	max_ms	cv	samples_ms
0	gate_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.07577600330114365	0.0737600028514862	0.07680000364780426	0.011272110218950864	[0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.0737600028514862, 0.07680000364780426, 0.07475200295448303, 0.07577600330114365, 0.07680000364780426, 0.07503999769687653, 0.07475200295448303, 0.07577600330114365, 0.07568000257015228, 0.07475200295448303, 0.07577600330114365, 0.07577600330114365, 0.07475200295448303, 0.07680000364780426, 0.07577600330114365, 0.07407999783754349, 0.07680000364780426, 0.07619199901819229]
1	gate_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.07577600330114365	0.07475200295448303	0.07680000364780426	0.008424466278803612	[0.07577600330114365, 0.07577600330114365, 0.07475200295448303, 0.07577600330114365, 0.0753600001335144, 0.07577600330114365, 0.07475200295448303, 0.07577600330114365, 0.07475200295448303, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.07680000364780426, 0.07577600330114365, 0.07680000364780426, 0.07577600330114365, 0.07680000364780426, 0.07475200295448303, 0.07577600330114365, 0.07680000364780426, 0.07577600330114365]
2	gate_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.07577600330114365	0.07475200295448303	0.07680000364780426	0.007383741139159392	[0.07558400183916092, 0.07475200295448303, 0.07475200295448303, 0.07487999647855759, 0.07475200295448303, 0.07577600330114365, 0.07599999755620956, 0.07577600330114365, 0.07577600330114365, 0.07680000364780426, 0.07475200295448303, 0.07475200295448303, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.07475200295448303, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365]
3	gate_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.07475200295448303	0.07475200295448303	0.07612799853086472	0.006928723870587403	[0.07519999891519547, 0.07475200295448303, 0.07577600330114365, 0.07475200295448303, 0.07577600330114365, 0.07577600330114365, 0.07475200295448303, 0.07612799853086472, 0.07577600330114365, 0.07475200295448303, 0.07475200295448303, 0.07577600330114365, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07577600330114365, 0.07475200295448303, 0.07577600330114365, 0.07577600330114365]
4	gate_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.07475200295448303	0.07446400076150894	0.07680000364780426	0.009223581127936205	[0.07475200295448303, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.07475200295448303, 0.07577600330114365, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07472000271081924, 0.07577600330114365, 0.07472000271081924, 0.07475200295448303, 0.07475200295448303, 0.07680000364780426, 0.07475200295448303, 0.07475200295448303, 0.07446400076150894, 0.07475200295448303, 0.07577600330114365, 0.07680000364780426]
5	gate_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.07577600330114365	0.07475200295448303	0.07680000364780426	0.008716581402872145	[0.07577600330114365, 0.07680000364780426, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.07577600330114365, 0.07475200295448303, 0.07577600330114365, 0.07497599720954895, 0.07577600330114365, 0.07680000364780426, 0.07475200295448303, 0.07577600330114365, 0.07475200295448303, 0.07577600330114365, 0.07680000364780426, 0.07577600330114365, 0.07491199672222137, 0.07475200295448303, 0.07577600330114365, 0.07475200295448303]
6	gate_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.07475200295448303	0.07475200295448303	0.07680000364780426	0.007723477282307109	[0.07475200295448303, 0.07577600330114365, 0.07475200295448303, 0.07475200295448303, 0.07680000364780426, 0.07577600330114365, 0.07475200295448303, 0.07475200295448303, 0.07577600330114365, 0.07475200295448303, 0.07577600330114365, 0.07555200159549713, 0.07475200295448303, 0.07475200295448303, 0.07577600330114365, 0.07475200295448303, 0.07475200295448303, 0.07516799867153168, 0.07475200295448303, 0.07577600330114365, 0.07475200295448303]
7	gate_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.07475200295448303	0.07372800260782242	0.07583999633789062	0.009112998292419391	[0.07372800260782242, 0.07475200295448303, 0.07577600330114365, 0.07475200295448303, 0.07475200295448303, 0.07577600330114365, 0.07475200295448303, 0.07583999633789062, 0.07475200295448303, 0.07372800260782242, 0.07577600330114365, 0.07475200295448303, 0.07475200295448303, 0.07577600330114365, 0.07577600330114365, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07372800260782242, 0.07577600330114365, 0.07475200295448303]
8	gate_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.07475200295448303	0.07372800260782242	0.07577600330114365	0.00764801017591485	[0.07475200295448303, 0.07577600330114365, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07577600330114365, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07372800260782242, 0.07475200295448303, 0.07577600330114365, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07372800260782242, 0.07577600330114365, 0.07577600330114365]
9	gate_proj	WQLinear_GEMM	torch.int32	[3584, 2368]	33947648	0	True	0.07475200295448303	0.07372800260782242	0.07603199779987335	0.007905074379591315	[0.07475200295448303, 0.07372800260782242, 0.07603199779987335, 0.07577600330114365, 0.07577600330114365, 0.07475200295448303, 0.07577600330114365, 0.07577600330114365, 0.07475200295448303, 0.07577600330114365, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07475200295448303, 0.07577600330114365, 0.07475200295448303, 0.07475200295448303, 0.07577600330114365]
