bw_window_max,bw_window_p50,bw_window_p95,cell,descriptor_capacity,descriptor_near_full_fraction,descriptor_window_max,descriptor_window_p50,descriptor_window_p95,dram_window_rows,l2_window_rows,line_mshr_window_max,line_mshr_window_p50,line_mshr_window_p95,lowerq_window_max,lowerq_window_p50,lowerq_window_p95,scheduler_active_window_fraction,scheduler_channel_max_over_mean,scheduler_window_max,scheduler_window_p50,scheduler_window_p95,workload
1.019973369,0.864580559,0.990945406,BASE,512,0.0,326.0,313.0,321.0,448,896,84.0,81.0,83.0,128.0,128.0,128.0,0.9241071428571429,1.0421557282195404,127.0,127.0,127.0,vectorAdd_4M
1.021038615,0.8645625050000001,0.992276964,D512-META-HR,512,0.0,326.0,314.0,322.0,448,896,82.0,79.0,81.0,128.0,128.0,128.0,0.9241071428571429,1.0364180620048444,127.0,127.0,127.0,vectorAdd_4M
1.023968043,0.8646956960000001,0.998135819,D512-BANK-HR,512,0.0,325.0,314.0,322.0,448,896,83.0,80.0,82.0,128.0,128.0,128.0,0.8973214285714286,1.0326265583480139,127.0,127.0,127.0,vectorAdd_4M
1.074034621,0.911318242,0.965645806,BASE,512,0.0,324.0,280.0,297.0,13824,27648,96.0,78.0,86.0,128.0,128.0,128.0,0.9281684027777778,1.0038049523538684,127.0,127.0,127.0,scan
1.088948069,0.917954182,0.979227696,D512-META-HR,512,0.0,322.0,279.0,295.0,13728,27456,93.0,73.0,79.0,128.0,128.0,128.0,0.9263548951048951,1.0055211279068061,127.0,127.0,127.0,scan
1.079094541,0.909696324,0.966435802,D512-BANK-HR,512,0.0,325.0,280.0,299.0,13856,27712,94.0,77.0,85.0,128.0,128.0,128.0,0.9317263279445728,1.0064545175375588,127.0,127.0,127.0,scan
1.0,0.916111851,1.0,BASE,512,0.0,353.0,238.5,350.0,128,256,104.0,66.0,103.0,128.0,95.5,128.0,0.1328125,5.161290322580645,126.0,57.0,112.0,spmv
1.0,0.916111851,1.0,D512-META-HR,512,0.0,346.0,258.5,342.0,128,256,94.0,69.5,93.0,128.0,103.0,128.0,0.0,0,114.0,50.0,106.0,spmv
1.0,0.916111851,1.0,D512-BANK-HR,512,0.0,353.0,235.0,349.0,128,256,106.0,65.0,104.0,128.0,96.0,128.0,0.1328125,6.834951456310679,121.0,56.0,112.0,spmv
0.958177944,0.7144759924999999,0.898002663,BASE,512,0.0,321.0,44.0,303.0,1856,3712,127.0,14.0,124.0,128.0,1.0,128.0,0.5942887931034483,1.0400944780353842,127.0,46.0,127.0,convolutionSeparable
0.950985615,0.737381804,0.891611185,D512-META-HR,512,0.0,313.0,47.0,302.0,1856,3712,127.0,15.0,125.0,128.0,7.0,128.0,0.5813577586206896,1.048946034644955,127.0,47.0,127.0,convolutionSeparable
0.963505594,0.7178052775,0.898268975,D512-BANK-HR,512,0.0,319.0,41.0,302.0,1856,3712,127.0,14.0,125.0,128.0,0.0,128.0,0.5474137931034483,1.059962384948089,127.0,44.0,127.0,convolutionSeparable
0.312383489,0.144759642,0.256724368,BASE,512,0.0,32.0,9.0,20.0,800,1600,10.0,3.0,6.0,10.0,0.0,2.0,0.0,0,18.0,2.0,9.0,btree
0.300665779,0.156591212,0.246604527,D512-META-HR,512,0.0,43.0,9.0,21.0,768,1536,12.0,3.0,6.0,16.0,0.0,3.0,0.0,0,15.0,3.0,10.0,btree
0.300399467,0.15086551250000002,0.248202397,D512-BANK-HR,512,0.0,41.0,9.0,19.0,768,1536,12.0,3.0,6.0,16.0,0.0,2.0,0.0,0,13.0,3.0,9.0,btree
0.134256793,0.0,0.010652463,BASE,512,0.0,2.0,0.0,0.0,704,1408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,sad
0.010918775,0.0,0.002396804,D512-META-HR,512,0.0,2.0,0.0,0.0,672,1344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,sad
0.010918775,0.0,0.005326232,D512-BANK-HR,512,0.0,2.0,0.0,0.0,672,1344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,sad
0.91662227,0.0,0.83195739,BASE,512,0.0,298.0,0.0,202.0,3168,6336,92.0,0.0,58.0,128.0,0.0,86.0,0.20928030303030304,1.1076731789484295,127.0,0.0,110.0,FWT_7_21
0.986414491,0.0,0.830892144,D512-META-HR,512,0.0,297.0,0.0,236.0,3168,6336,86.0,0.0,66.0,128.0,0.0,114.0,0.2143308080808081,1.1399235300196342,127.0,0.0,118.0,FWT_7_21
0.934203516,0.0,0.831424767,D512-BANK-HR,512,0.0,299.0,0.0,193.0,3136,6272,88.0,0.0,58.0,128.0,0.0,80.0,0.20280612244897958,1.123263317310858,127.0,0.0,107.0,FWT_7_21
