cell,workload,run_status,maturity,candidate_core_sha,candidate_framework_sha,promotion_workboard_commit
D512-META-HR,vectorAdd_4M,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,878f80869ce212e779df20b6421e4dc7f987825d,aae62b66685f15437cecf0193934f628e6fac6ae,454264f8e74e6c72126f4efabad793ada2bdd031
D512-META-HR,scan,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,878f80869ce212e779df20b6421e4dc7f987825d,aae62b66685f15437cecf0193934f628e6fac6ae,454264f8e74e6c72126f4efabad793ada2bdd031
D512-META-HR,spmv,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,878f80869ce212e779df20b6421e4dc7f987825d,aae62b66685f15437cecf0193934f628e6fac6ae,454264f8e74e6c72126f4efabad793ada2bdd031
D512-META-HR,convolutionSeparable,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,878f80869ce212e779df20b6421e4dc7f987825d,aae62b66685f15437cecf0193934f628e6fac6ae,454264f8e74e6c72126f4efabad793ada2bdd031
D512-META-HR,btree,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,878f80869ce212e779df20b6421e4dc7f987825d,aae62b66685f15437cecf0193934f628e6fac6ae,454264f8e74e6c72126f4efabad793ada2bdd031
D512-META-HR,sad,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,878f80869ce212e779df20b6421e4dc7f987825d,aae62b66685f15437cecf0193934f628e6fac6ae,454264f8e74e6c72126f4efabad793ada2bdd031
D512-META-HR,FWT_7_21,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,878f80869ce212e779df20b6421e4dc7f987825d,aae62b66685f15437cecf0193934f628e6fac6ae,454264f8e74e6c72126f4efabad793ada2bdd031
D512-BANK-HR,vectorAdd_4M,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,878f80869ce212e779df20b6421e4dc7f987825d,aae62b66685f15437cecf0193934f628e6fac6ae,454264f8e74e6c72126f4efabad793ada2bdd031
D512-BANK-HR,scan,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,878f80869ce212e779df20b6421e4dc7f987825d,aae62b66685f15437cecf0193934f628e6fac6ae,454264f8e74e6c72126f4efabad793ada2bdd031
D512-BANK-HR,spmv,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,878f80869ce212e779df20b6421e4dc7f987825d,aae62b66685f15437cecf0193934f628e6fac6ae,454264f8e74e6c72126f4efabad793ada2bdd031
D512-BANK-HR,convolutionSeparable,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,878f80869ce212e779df20b6421e4dc7f987825d,aae62b66685f15437cecf0193934f628e6fac6ae,454264f8e74e6c72126f4efabad793ada2bdd031
D512-BANK-HR,btree,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,878f80869ce212e779df20b6421e4dc7f987825d,aae62b66685f15437cecf0193934f628e6fac6ae,454264f8e74e6c72126f4efabad793ada2bdd031
D512-BANK-HR,sad,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,878f80869ce212e779df20b6421e4dc7f987825d,aae62b66685f15437cecf0193934f628e6fac6ae,454264f8e74e6c72126f4efabad793ada2bdd031
D512-BANK-HR,FWT_7_21,COMPLETE_VALID,PROMOTED_VALID_CALIBRATION,878f80869ce212e779df20b6421e4dc7f987825d,aae62b66685f15437cecf0193934f628e6fac6ae,454264f8e74e6c72126f4efabad793ada2bdd031
