side	static_index	classification	records	events	unique_va	pages4k	pages64k	pages2m	lines128	min_va	max_va	object
QWEN3	12	ZERO_EXECUTION_PROVEN	0	0	0	0	0	0	0			UNKNOWN_RUNTIME
QWEN3	14	ZERO_EXECUTION_PROVEN	0	0	0	0	0	0	0			UNKNOWN_RUNTIME
QWEN3	101	EXECUTED_SHARD	24576	786432	1	1	1	1	1	0	0	UNKNOWN_RUNTIME
QWEN3	103	EXECUTED_SHARD	24576	786432	1	1	1	1	1	0	0	UNKNOWN_RUNTIME
QWEN3	105	EXECUTED_SHARD	24576	786432	1	1	1	1	1	0	0	UNKNOWN_RUNTIME
QWEN3	107	EXECUTED_SHARD	24576	786432	1	1	1	1	1	0	0	UNKNOWN_RUNTIME
QWEN3	109	EXECUTED_SHARD	24576	786432	1	1	1	1	1	0	0	UNKNOWN_RUNTIME
QWEN3	111	EXECUTED_SHARD	24576	786432	1	1	1	1	1	0	0	UNKNOWN_RUNTIME
QWEN3	113	EXECUTED_SHARD	24576	786432	1	1	1	1	1	0	0	UNKNOWN_RUNTIME
QWEN3	115	EXECUTED_SHARD	24576	786432	1	1	1	1	1	0	0	UNKNOWN_RUNTIME
QWEN3	117	EXECUTED_SHARD	24576	786432	1	1	1	1	1	0	0	UNKNOWN_RUNTIME
QWEN3	119	EXECUTED_SHARD	24576	786432	1	1	1	1	1	0	0	UNKNOWN_RUNTIME
QWEN3	121	EXECUTED_SHARD	24576	786432	1	1	1	1	1	0	0	UNKNOWN_RUNTIME
QWEN3	123	EXECUTED_SHARD	24576	786432	1	1	1	1	1	0	0	UNKNOWN_RUNTIME
QWEN3	125	EXECUTED_SHARD	24576	786432	1	1	1	1	1	0	0	UNKNOWN_RUNTIME
QWEN3	127	EXECUTED_SHARD	24576	786432	1	1	1	1	1	0	0	UNKNOWN_RUNTIME
QWEN3	129	EXECUTED_SHARD	24576	786432	1	1	1	1	1	0	0	UNKNOWN_RUNTIME
QWEN3	131	EXECUTED_SHARD	24576	786432	1	1	1	1	1	0	0	UNKNOWN_RUNTIME
QWEN3	133	EXECUTED_SHARD	24576	786432	1	1	1	1	1	0	0	UNKNOWN_RUNTIME
QWEN3	135	EXECUTED_SHARD	24576	786432	1	1	1	1	1	0	0	UNKNOWN_RUNTIME
QWEN3	137	EXECUTED_SHARD	24576	786432	1	1	1	1	1	0	0	UNKNOWN_RUNTIME
QWEN3	139	EXECUTED_SHARD	24576	786432	1	1	1	1	1	0	0	UNKNOWN_RUNTIME
QWEN3	141	EXECUTED_SHARD	24576	786432	1	1	1	1	1	0	0	UNKNOWN_RUNTIME
QWEN3	143	EXECUTED_SHARD	24576	786432	1	1	1	1	1	0	0	UNKNOWN_RUNTIME
QWEN3	145	EXECUTED_SHARD	24576	786432	1	1	1	1	1	0	0	UNKNOWN_RUNTIME
