comparison	independence_boundary	metric	s3_prefill	s4_prefill	s5_prefill	result	allowed_interpretation
S3_S4_S5_PREFILL	independent_processes;absolute_VA_sets_not_compared	record_count	8192	8192	8192	MATCH	selected-target execution count is reproducible
S3_S4_S5_PREFILL	independent_processes;absolute_VA_sets_not_compared	address_record_count	262144	262144	262144	MATCH	32 active-lane addresses per request
S3_S4_S5_PREFILL	independent_processes;absolute_VA_sets_not_compared	lane_width_bytes	2	2	2	MATCH	U16 request width is reproducible
S3_S4_S5_PREFILL	independent_processes;absolute_VA_sets_not_compared	requested_bytes	524288	524288	524288	MATCH	observed requested-byte proxy is reproducible
S3_S4_S5_PREFILL	independent_processes;absolute_VA_sets_not_compared	unique_exact_gpu_va_count	71680	71680	71680	MATCH	count-only; no cross-process VA-set relation claimed
S3_S4_S5_PREFILL	independent_processes;absolute_VA_sets_not_compared	unique_128b_line_count	1120	1120	1120	MATCH	count-only footprint is reproducible
S3_S4_S5_PREFILL	independent_processes;absolute_VA_sets_not_compared	unique_4k_va_bucket_count	35	35	35	MATCH	count-only observed-VA bucket footprint is reproducible
S3_S4_S5_PREFILL	independent_processes;absolute_VA_sets_not_compared	unique_64k_va_bucket_count	35	35	35	MATCH	count-only observed-VA bucket footprint is reproducible
S3_S4_S5_PREFILL	independent_processes;absolute_VA_sets_not_compared	unique_2m_va_bucket_count	19	19	19	MATCH	count-only observed-VA bucket footprint is reproducible
S3_S4_S5_PREFILL	independent_processes;absolute_VA_sets_not_compared	mean_128b_blocks_per_request	1.0	1.0	1.0	MATCH	lane spatial footprint is reproducible
S3_S4_S5_PREFILL	independent_processes;absolute_VA_sets_not_compared	contiguous_lane_pair_fraction	1.0	1.0	1.0	MATCH	adjacent lane addresses are width-contiguous
S3_S4_S5_PREFILL	independent_processes;absolute_VA_sets_not_compared	top1_line_access_fraction	0.001708984375	0.001708984375	0.001708984375	MATCH	concentration measure is reproducible
