run_id	stage	evidence_label	run_dir	raw_log_path	raw_log_hash_status	raw_log_sha256	reason
b2-smoke-b2-baseline-decode1	B2_VM_SMOKE	SPECULATIVE_DIAGNOSTIC	/workspace/vm-spec-farm/runs/b2-smoke/b2-baseline/decode1	/workspace/vm-spec-farm/runs/b2-smoke/b2-baseline/decode1/run.log	DEFERRED_LOW_RESOURCE_IO_PROTECTION	UNAVAILABLE	路径已索引；全量日志散列延后以避免增加宿主 I/O 压力。
b2-smoke-b2-l1tlb-e16-decode1	B2_VM_SMOKE	SPECULATIVE_DIAGNOSTIC	/workspace/vm-spec-farm/runs/b2-smoke/b2-l1tlb-e16/decode1	/workspace/vm-spec-farm/runs/b2-smoke/b2-l1tlb-e16/decode1/run.log	DEFERRED_LOW_RESOURCE_IO_PROTECTION	UNAVAILABLE	路径已索引；全量日志散列延后以避免增加宿主 I/O 压力。
b2-smoke-b2-l1tlb-e64-decode1	B2_VM_SMOKE	SPECULATIVE_DIAGNOSTIC	/workspace/vm-spec-farm/runs/b2-smoke/b2-l1tlb-e64/decode1	/workspace/vm-spec-farm/runs/b2-smoke/b2-l1tlb-e64/decode1/run.log	DEFERRED_LOW_RESOURCE_IO_PROTECTION	UNAVAILABLE	路径已索引；全量日志散列延后以避免增加宿主 I/O 压力。
b2-smoke-b2-l2tlb-e128-decode1	B2_VM_SMOKE	SPECULATIVE_DIAGNOSTIC	/workspace/vm-spec-farm/runs/b2-smoke/b2-l2tlb-e128/decode1	/workspace/vm-spec-farm/runs/b2-smoke/b2-l2tlb-e128/decode1/run.log	DEFERRED_LOW_RESOURCE_IO_PROTECTION	UNAVAILABLE	路径已索引；全量日志散列延后以避免增加宿主 I/O 压力。
b2-smoke-b2-l2tlb-e256-decode1	B2_VM_SMOKE	SPECULATIVE_DIAGNOSTIC	/workspace/vm-spec-farm/runs/b2-smoke/b2-l2tlb-e256/decode1	/workspace/vm-spec-farm/runs/b2-smoke/b2-l2tlb-e256/decode1/run.log	DEFERRED_LOW_RESOURCE_IO_PROTECTION	UNAVAILABLE	路径已索引；全量日志散列延后以避免增加宿主 I/O 压力。
b2-smoke-b2-l2tlb-e512-decode1	B2_VM_SMOKE	SPECULATIVE_DIAGNOSTIC	/workspace/vm-spec-farm/runs/b2-smoke/b2-l2tlb-e512/decode1	/workspace/vm-spec-farm/runs/b2-smoke/b2-l2tlb-e512/decode1/run.log	DEFERRED_LOW_RESOURCE_IO_PROTECTION	UNAVAILABLE	路径已索引；全量日志散列延后以避免增加宿主 I/O 压力。
b2-smoke-b2-l2tlb-e3072-decode1	B2_VM_SMOKE	SPECULATIVE_DIAGNOSTIC	/workspace/vm-spec-farm/runs/b2-smoke/b2-l2tlb-e3072/decode1	/workspace/vm-spec-farm/runs/b2-smoke/b2-l2tlb-e3072/decode1/run.log	DEFERRED_LOW_RESOURCE_IO_PROTECTION	UNAVAILABLE	路径已索引；全量日志散列延后以避免增加宿主 I/O 压力。
b2-smoke-b2-mshr-8-decode1	B2_VM_SMOKE	SPECULATIVE_DIAGNOSTIC	/workspace/vm-spec-farm/runs/b2-smoke/b2-mshr-8/decode1	/workspace/vm-spec-farm/runs/b2-smoke/b2-mshr-8/decode1/run.log	DEFERRED_LOW_RESOURCE_IO_PROTECTION	UNAVAILABLE	路径已索引；全量日志散列延后以避免增加宿主 I/O 压力。
b2-smoke-b2-mshr-128-decode1	B2_VM_SMOKE	SPECULATIVE_DIAGNOSTIC	/workspace/vm-spec-farm/runs/b2-smoke/b2-mshr-128/decode1	/workspace/vm-spec-farm/runs/b2-smoke/b2-mshr-128/decode1/run.log	DEFERRED_LOW_RESOURCE_IO_PROTECTION	UNAVAILABLE	路径已索引；全量日志散列延后以避免增加宿主 I/O 压力。
b2-smoke-b2-pwq-8-decode1	B2_VM_SMOKE	SPECULATIVE_DIAGNOSTIC	/workspace/vm-spec-farm/runs/b2-smoke/b2-pwq-8/decode1	/workspace/vm-spec-farm/runs/b2-smoke/b2-pwq-8/decode1/run.log	DEFERRED_LOW_RESOURCE_IO_PROTECTION	UNAVAILABLE	路径已索引；全量日志散列延后以避免增加宿主 I/O 压力。
