stage	run_id	config_id	roi	evidence_label	experiment_status	geometry_validation_mode	geometry_validation_result	effective_l1_bytes_per_sm	effective_l2_total_bytes	effective_l2_assoc	simulator_metrics
B5_TLB_L2_GRID	b5-smoke-b5-l2tlb-256-l2-1p5mb-prefill	b5-l2tlb-256-l2-1p5mb	prefill	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	131072	1572864	16	UNAVAILABLE_NOT_RUN
B5_TLB_L2_GRID	b5-smoke-b5-l2tlb-256-l2-1p5mb-decode1	b5-l2tlb-256-l2-1p5mb	decode1	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	131072	1572864	16	UNAVAILABLE_NOT_RUN
B5_TLB_L2_GRID	b5-smoke-b5-l2tlb-256-l2-3mb-prefill	b5-l2tlb-256-l2-3mb	prefill	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	131072	3145728	16	UNAVAILABLE_NOT_RUN
B5_TLB_L2_GRID	b5-smoke-b5-l2tlb-256-l2-3mb-decode1	b5-l2tlb-256-l2-3mb	decode1	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	131072	3145728	16	UNAVAILABLE_NOT_RUN
B5_TLB_L2_GRID	b5-smoke-b5-l2tlb-256-l2-6mb-prefill	b5-l2tlb-256-l2-6mb	prefill	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	131072	6291456	16	UNAVAILABLE_NOT_RUN
B5_TLB_L2_GRID	b5-smoke-b5-l2tlb-256-l2-6mb-decode1	b5-l2tlb-256-l2-6mb	decode1	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	131072	6291456	16	UNAVAILABLE_NOT_RUN
B5_TLB_L2_GRID	b5-smoke-b5-l2tlb-768-l2-1p5mb-prefill	b5-l2tlb-768-l2-1p5mb	prefill	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	131072	1572864	16	UNAVAILABLE_NOT_RUN
B5_TLB_L2_GRID	b5-smoke-b5-l2tlb-768-l2-1p5mb-decode1	b5-l2tlb-768-l2-1p5mb	decode1	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	131072	1572864	16	UNAVAILABLE_NOT_RUN
B5_TLB_L2_GRID	b5-smoke-b5-l2tlb-768-l2-3mb-prefill	b5-l2tlb-768-l2-3mb	prefill	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	131072	3145728	16	UNAVAILABLE_NOT_RUN
B5_TLB_L2_GRID	b5-smoke-b5-l2tlb-768-l2-3mb-decode1	b5-l2tlb-768-l2-3mb	decode1	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	131072	3145728	16	UNAVAILABLE_NOT_RUN
B5_TLB_L2_GRID	b5-smoke-b5-l2tlb-768-l2-6mb-prefill	b5-l2tlb-768-l2-6mb	prefill	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	131072	6291456	16	UNAVAILABLE_NOT_RUN
B5_TLB_L2_GRID	b5-smoke-b5-l2tlb-768-l2-6mb-decode1	b5-l2tlb-768-l2-6mb	decode1	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	131072	6291456	16	UNAVAILABLE_NOT_RUN
B5_TLB_L2_GRID	b5-smoke-b5-l2tlb-1536-l2-1p5mb-prefill	b5-l2tlb-1536-l2-1p5mb	prefill	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	131072	1572864	16	UNAVAILABLE_NOT_RUN
B5_TLB_L2_GRID	b5-smoke-b5-l2tlb-1536-l2-1p5mb-decode1	b5-l2tlb-1536-l2-1p5mb	decode1	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	131072	1572864	16	UNAVAILABLE_NOT_RUN
B5_TLB_L2_GRID	b5-smoke-b5-l2tlb-1536-l2-3mb-prefill	b5-l2tlb-1536-l2-3mb	prefill	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	131072	3145728	16	UNAVAILABLE_NOT_RUN
B5_TLB_L2_GRID	b5-smoke-b5-l2tlb-1536-l2-3mb-decode1	b5-l2tlb-1536-l2-3mb	decode1	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	131072	3145728	16	UNAVAILABLE_NOT_RUN
B5_TLB_L2_GRID	b5-smoke-b5-l2tlb-1536-l2-6mb-prefill	b5-l2tlb-1536-l2-6mb	prefill	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	131072	6291456	16	UNAVAILABLE_NOT_RUN
B5_TLB_L2_GRID	b5-smoke-b5-l2tlb-1536-l2-6mb-decode1	b5-l2tlb-1536-l2-6mb	decode1	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	131072	6291456	16	UNAVAILABLE_NOT_RUN
