stage	workload	config_id	roi	evidence_label	experiment_status	compatibility_status	trace_list	simulator_metrics
B4_NONLLM_SMOKE	bfs	ideal-identity	nonllm	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	STATIC_TRACE_LIST_AND_FORMAT_CHECKED	/workspace/vm-spec-farm/inputs/nonllm/smoke/bfs.kernelslist.g	UNAVAILABLE_NOT_RUN
B4_NONLLM_SMOKE	bfs	l2tlb-256	nonllm	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	STATIC_TRACE_LIST_AND_FORMAT_CHECKED	/workspace/vm-spec-farm/inputs/nonllm/smoke/bfs.kernelslist.g	UNAVAILABLE_NOT_RUN
B4_NONLLM_SMOKE	bfs	l2tlb-768	nonllm	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	STATIC_TRACE_LIST_AND_FORMAT_CHECKED	/workspace/vm-spec-farm/inputs/nonllm/smoke/bfs.kernelslist.g	UNAVAILABLE_NOT_RUN
B4_NONLLM_SMOKE	bfs	l2tlb-1536	nonllm	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	STATIC_TRACE_LIST_AND_FORMAT_CHECKED	/workspace/vm-spec-farm/inputs/nonllm/smoke/bfs.kernelslist.g	UNAVAILABLE_NOT_RUN
B4_NONLLM_SMOKE	hotspot	ideal-identity	nonllm	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	STATIC_TRACE_LIST_AND_FORMAT_CHECKED	/workspace/vm-spec-farm/inputs/nonllm/smoke/hotspot.kernelslist.g	UNAVAILABLE_NOT_RUN
B4_NONLLM_SMOKE	hotspot	l2tlb-256	nonllm	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	STATIC_TRACE_LIST_AND_FORMAT_CHECKED	/workspace/vm-spec-farm/inputs/nonllm/smoke/hotspot.kernelslist.g	UNAVAILABLE_NOT_RUN
B4_NONLLM_SMOKE	hotspot	l2tlb-768	nonllm	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	STATIC_TRACE_LIST_AND_FORMAT_CHECKED	/workspace/vm-spec-farm/inputs/nonllm/smoke/hotspot.kernelslist.g	UNAVAILABLE_NOT_RUN
B4_NONLLM_SMOKE	hotspot	l2tlb-1536	nonllm	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	STATIC_TRACE_LIST_AND_FORMAT_CHECKED	/workspace/vm-spec-farm/inputs/nonllm/smoke/hotspot.kernelslist.g	UNAVAILABLE_NOT_RUN
B4_NONLLM_SMOKE	srad	ideal-identity	nonllm	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	STATIC_TRACE_LIST_AND_FORMAT_CHECKED	/workspace/vm-spec-farm/inputs/nonllm/smoke/srad.kernelslist.g	UNAVAILABLE_NOT_RUN
B4_NONLLM_SMOKE	srad	l2tlb-256	nonllm	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	STATIC_TRACE_LIST_AND_FORMAT_CHECKED	/workspace/vm-spec-farm/inputs/nonllm/smoke/srad.kernelslist.g	UNAVAILABLE_NOT_RUN
B4_NONLLM_SMOKE	srad	l2tlb-768	nonllm	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	STATIC_TRACE_LIST_AND_FORMAT_CHECKED	/workspace/vm-spec-farm/inputs/nonllm/smoke/srad.kernelslist.g	UNAVAILABLE_NOT_RUN
B4_NONLLM_SMOKE	srad	l2tlb-1536	nonllm	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	STATIC_TRACE_LIST_AND_FORMAT_CHECKED	/workspace/vm-spec-farm/inputs/nonllm/smoke/srad.kernelslist.g	UNAVAILABLE_NOT_RUN
