stage	config_id	roi	evidence_label	semantic_status	realized_run_id	rss_kb	wall_seconds	gpu_tot_ipc	vm_l2_tlb_misses
B2_VM_SMOKE	b2-baseline	prefill	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-b2-baseline-prefill	626688	53.29	1663.7548	815
B2_VM_SMOKE	b2-baseline	decode1	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-b2-baseline-decode1	204800	02.81	116.1201	32
B2_VM_SMOKE	b2-l1tlb-e16	prefill	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-b2-l1tlb-e16-prefill	626688	56.07	1664.2103	808
B2_VM_SMOKE	b2-l1tlb-e16	decode1	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-b2-l1tlb-e16-decode1	204800	02.77	116.1201	32
B2_VM_SMOKE	b2-l1tlb-e64	prefill	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-b2-l1tlb-e64-prefill	626688	47.17	1665.1526	815
B2_VM_SMOKE	b2-l1tlb-e64	decode1	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-b2-l1tlb-e64-decode1	204800	02.81	116.1201	32
B2_VM_SMOKE	b2-l1tlb-e128	prefill	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-b2-l1tlb-e128-prefill	626688	45.88	1665.1526	815
B2_VM_SMOKE	b2-l1tlb-e128	decode1	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-b2-l1tlb-e128-decode1	204800	03.65	116.1201	32
B2_VM_SMOKE	b2-l2tlb-e128	prefill	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-b2-l2tlb-e128-prefill	626688	56.04	1663.7548	815
B2_VM_SMOKE	b2-l2tlb-e128	decode1	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-b2-l2tlb-e128-decode1	204800	02.85	116.1201	32
B2_VM_SMOKE	b2-l2tlb-e256	prefill	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-b2-l2tlb-e256-prefill	626688	52.15	1663.7548	815
B2_VM_SMOKE	b2-l2tlb-e256	decode1	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-b2-l2tlb-e256-decode1	204800	02.76	116.1201	32
B2_VM_SMOKE	b2-l2tlb-e512	prefill	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-retry1-b2-l2tlb-e512-prefill	626688	40.92	1663.7548	815
B2_VM_SMOKE	b2-l2tlb-e512	decode1	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-retry1-b2-l2tlb-e512-decode1	204800	02.61	116.1201	32
B2_VM_SMOKE	b2-l2tlb-e1536	prefill	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-b2-l2tlb-e1536-prefill	626688	47.00	1663.7548	815
B2_VM_SMOKE	b2-l2tlb-e1536	decode1	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-b2-l2tlb-e1536-decode1	204800	35.72	116.1201	32
B2_VM_SMOKE	b2-l2tlb-e3072	prefill	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-b2-l2tlb-e3072-prefill	626688	53.21	1663.7548	815
B2_VM_SMOKE	b2-l2tlb-e3072	decode1	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-b2-l2tlb-e3072-decode1	204800	02.75	116.1201	32
B2_VM_SMOKE	b2-mshr-8	prefill	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-b2-mshr-8-prefill	626688	47.43	1663.7548	815
B2_VM_SMOKE	b2-mshr-8	decode1	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-b2-mshr-8-decode1	204800	02.81	116.1201	32
B2_VM_SMOKE	b2-mshr-16	prefill	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-retry1-b2-mshr-16-prefill	626688	41.41	1663.7548	815
B2_VM_SMOKE	b2-mshr-16	decode1	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-retry1-b2-mshr-16-decode1	204800	02.59	116.1201	32
B2_VM_SMOKE	b2-mshr-64	prefill	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-retry1-b2-mshr-64-prefill	626688	41.42	1663.7548	815
B2_VM_SMOKE	b2-mshr-64	decode1	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-retry2-b2-mshr-64-decode1	204800	02.67	116.1201	32
B2_VM_SMOKE	b2-mshr-128	prefill	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-b2-mshr-128-prefill	626688	49.57	1663.7548	815
B2_VM_SMOKE	b2-mshr-128	decode1	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-b2-mshr-128-decode1	204800	02.88	116.1201	32
B2_VM_SMOKE	b2-pwq-8	prefill	SPECULATIVE_DIAGNOSTIC	COMPLETE	b2-smoke-b2-pwq-8-prefill	626688	49.29	1663.7548	815
