stage	run_id	config_id	roi	evidence_label	experiment_status	geometry_validation_mode	geometry_validation_result	effective_l1_bytes_per_sm	effective_l2_total_bytes	effective_l2_assoc	simulator_metrics
B3_CACHE	b3-smoke-b3-cache-baseline-prefill	b3-cache-baseline	prefill	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	131072	3145728	16	UNAVAILABLE_NOT_RUN
B3_CACHE	b3-smoke-b3-cache-baseline-decode1	b3-cache-baseline	decode1	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	131072	3145728	16	UNAVAILABLE_NOT_RUN
B3_CACHE	b3-smoke-b3-l1d-32kb-prefill	b3-l1d-32kb	prefill	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	32768	3145728	16	UNAVAILABLE_NOT_RUN
B3_CACHE	b3-smoke-b3-l1d-32kb-decode1	b3-l1d-32kb	decode1	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	32768	3145728	16	UNAVAILABLE_NOT_RUN
B3_CACHE	b3-smoke-b3-l1d-64kb-prefill	b3-l1d-64kb	prefill	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	65536	3145728	16	UNAVAILABLE_NOT_RUN
B3_CACHE	b3-smoke-b3-l1d-64kb-decode1	b3-l1d-64kb	decode1	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	65536	3145728	16	UNAVAILABLE_NOT_RUN
B3_CACHE	b3-smoke-b3-l1d-256kb-prefill	b3-l1d-256kb	prefill	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	262144	3145728	16	UNAVAILABLE_NOT_RUN
B3_CACHE	b3-smoke-b3-l1d-256kb-decode1	b3-l1d-256kb	decode1	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	262144	3145728	16	UNAVAILABLE_NOT_RUN
B3_CACHE	b3-smoke-b3-l2-1p5mb-prefill	b3-l2-1p5mb	prefill	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	131072	1572864	16	UNAVAILABLE_NOT_RUN
B3_CACHE	b3-smoke-b3-l2-1p5mb-decode1	b3-l2-1p5mb	decode1	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	131072	1572864	16	UNAVAILABLE_NOT_RUN
B3_CACHE	b3-smoke-b3-l2-6mb-prefill	b3-l2-6mb	prefill	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	131072	6291456	16	UNAVAILABLE_NOT_RUN
B3_CACHE	b3-smoke-b3-l2-6mb-decode1	b3-l2-6mb	decode1	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	131072	6291456	16	UNAVAILABLE_NOT_RUN
B3_CACHE	b3-smoke-b3-l2-12mb-prefill	b3-l2-12mb	prefill	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	131072	12582912	16	UNAVAILABLE_NOT_RUN
B3_CACHE	b3-smoke-b3-l2-12mb-decode1	b3-l2-12mb	decode1	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	131072	12582912	16	UNAVAILABLE_NOT_RUN
B3_CACHE	b3-smoke-b3-l2-assoc-8-prefill	b3-l2-assoc-8	prefill	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	131072	3145728	8	UNAVAILABLE_NOT_RUN
B3_CACHE	b3-smoke-b3-l2-assoc-8-decode1	b3-l2-assoc-8	decode1	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	131072	3145728	8	UNAVAILABLE_NOT_RUN
B3_CACHE	b3-smoke-b3-l2-assoc-32-prefill	b3-l2-assoc-32	prefill	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	131072	3145728	32	UNAVAILABLE_NOT_RUN
B3_CACHE	b3-smoke-b3-l2-assoc-32-decode1	b3-l2-assoc-32	decode1	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	131072	3145728	32	UNAVAILABLE_NOT_RUN
B3_CACHE	b3-smoke-b3-global-l1d-bypass-prefill	b3-global-l1d-bypass	prefill	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	131072	3145728	16	UNAVAILABLE_NOT_RUN
B3_CACHE	b3-smoke-b3-global-l1d-bypass-decode1	b3-global-l1d-bypass	decode1	SPECULATIVE_DIAGNOSTIC	DEFERRED_LOW_RESOURCE	planned	PASS	131072	3145728	16	UNAVAILABLE_NOT_RUN
