authority	artifact	role	sha256	bytes
f25312635dae33342d6540be92467c6ed67fdb0d	git:f25312635dae33342d6540be92467c6ed67fdb0d:docs/vm_tlb/review_packs/AWMA_AI_UVM_MODEL_DERIVED_CHARACTERIZATION_V1/REPORT.md	ACCEPTED_UVM_REPORT	c9c1c590b5fb8610fd582aa23a90bd0809db35291ea413d2d1318e5412e64a9b	1111
f25312635dae33342d6540be92467c6ed67fdb0d	git:f25312635dae33342d6540be92467c6ed67fdb0d:docs/vm_tlb/review_packs/AWMA_AI_UVM_MODEL_DERIVED_CHARACTERIZATION_V1/FINAL_DECISION.md	ACCEPTED_UVM_DECISION	2b712c2a85fbafaafa9777c0d6abb922026933ed104a8335a987270a6369852b	1234
f25312635dae33342d6540be92467c6ed67fdb0d	git:f25312635dae33342d6540be92467c6ed67fdb0d:docs/vm_tlb/review_packs/AWMA_AI_UVM_MODEL_DERIVED_CHARACTERIZATION_V1/SHA256SUMS	ACCEPTED_UVM_MANIFEST	dc713faa0a02ba2912c73a8c3c0013b4f1edf858fe5e7fd5e9da1b83a2528907	707
d116e64b6c2d7faab1babc56c966ff4c1d628904	git:d116e64b6c2d7faab1babc56c966ff4c1d628904:docs/vm_tlb/review_packs/AWMA_AI_GPU_RESOURCE_BOTTLENECK_CHARACTERIZATION_V1/REPORT.md	ACCEPTED_RESOURCE_REPORT	131dafe3ce83dd05901d36f8ef4208317611abe2b57663b438f316b13cbf7baf	4551
d116e64b6c2d7faab1babc56c966ff4c1d628904	git:d116e64b6c2d7faab1babc56c966ff4c1d628904:docs/vm_tlb/review_packs/AWMA_AI_GPU_RESOURCE_BOTTLENECK_CHARACTERIZATION_V1/RESOURCE_SATURATION_MAP.tsv	ACCEPTED_RESOURCE_MAP	bb472571a6e9f132f7db244a1eb0844b668aad67a49cdc4013e5634002a6bb38	1490
d116e64b6c2d7faab1babc56c966ff4c1d628904	git:d116e64b6c2d7faab1babc56c966ff4c1d628904:docs/vm_tlb/review_packs/AWMA_AI_GPU_RESOURCE_BOTTLENECK_CHARACTERIZATION_V1/SHA256SUMS	ACCEPTED_RESOURCE_MANIFEST	5aaebc7cb2ddbac2c7c4b12d8eb35656a96a7ac9abae20de155ec2c1cbdac3d7	1635
3e29f234a971e2be68076eef22a05391cf9e4b67	git:3e29f234a971e2be68076eef22a05391cf9e4b67:docs/vm_tlb/review_packs/AWMA_AI_TRANSLATION_NATIVE_RESIDUAL_174NEW_V1/REPORT.md	ACCEPTED_TRANSLATION_REPORT	3892381f6b1f1a3afe0f0fdb6f3bf5fd0487a0659a959ee33d0c8d0d5620c006	1302
9efe8236e0c6338addfef5480e1da91bffb504eb	git:9efe8236e0c6338addfef5480e1da91bffb504eb:docs/vm_tlb/review_packs/AWMA_INTRAWARP_TRANSLATION_BASELINE_AND_RESIDUAL_V1/REPORT.md	ACCEPTED_CLASSIC_BASELINE_REPORT	59250c12873c59acb32247d5bc7321de9a0d4a22cb4b4ebd3d021ce583276ffb	2767
22004807cabb09e8795e0c61f5dc679aa3f37007	/root/workspace/accel-sim-framework-awma-post-negative-problem-pivot-v1/docs/vm_tlb/review_packs/C16_FIRST_V2_FORMAL_INGEST_174NEW_V1/FINAL_DECISION.json	C16_OBJECT_ACCEPTANCE	16ac26686a1d46623f449fb8eda8ed93ba8909058dbd222e07d2daec13877708	754
22004807cabb09e8795e0c61f5dc679aa3f37007	/root/workspace/accel-sim-framework-awma-post-negative-problem-pivot-v1/docs/vm_tlb/review_packs/C16_FIRST_V2_FORMAL_INGEST_174NEW_V1/OBJECT_ATTRIBUTION.tsv	C16_OBJECT_RESULT	ba8d3d39d08a2042b20b9efaab1f50fbb4f846df89d910d46766872551e5684f	171
