evidence_id	source_commit	workload_target	phenomenon	measurement_layer	accepted_claim	forbidden_extrapolation	reusable_artifact
E_UVM_KV	f25312635dae33342d6540be92467c6ed67fdb0d	Llama KV model-derived D2	Reproducible migration-volume transition at 18.790 GB / 1.094x VRAM	MODEL_DERIVED_REPLAY	Known UVM oversubscription boundary; current-step prefetch worsens movement/time	No fault/TLB/PPN/page-size mechanism; no distinct UVM problem	docs/vm_tlb/review_packs/AWMA_AI_UVM_MODEL_DERIVED_CHARACTERIZATION_V1/MODEL_DERIVED_RESULT_SUMMARY.tsv
E_UVM_MOE	f25312635dae33342d6540be92467c6ed67fdb0d	OLMoE exact routing	64/64 experts observed; normalized entropy 0.9851; complete 13.838 GB footprint resident	NATIVE_PLUS_MODEL_DERIVED	Natural OLMoE deployment has no expert oversubscription on 16 GB device	No artificial larger-MoE or oversubscription claim	docs/vm_tlb/review_packs/AWMA_AI_UVM_MODEL_DERIVED_CHARACTERIZATION_V1/REAL_ROUTING_BEHAVIOR.tsv
E_RESOURCE_MAP	d116e64b6c2d7faab1babc56c966ff4c1d628904	T0/T1/T2/SPLITKV/L2/L1/M1/M2	Family- and scale-dependent bounded modeled-resource response	SIMULATOR_OBSERVATORY	No single stable limiter; finite/non-monotonic/low responses; no actionable generic resource problem	No real RTX4080 capacity/bandwidth claim; no generic cache/MSHR/DRAM mechanism	docs/vm_tlb/review_packs/AWMA_AI_GPU_RESOURCE_BOTTLENECK_CHARACTERIZATION_V1/RESOURCE_SATURATION_MAP.tsv
E_NATIVE_TRANSLATION	3e29f234a971e2be68076eef22a05391cf9e4b67	L1/M1/L2/M2 Native Atlas	Access-path sensitivity without localized translation service pressure	SIMULATOR_PLUS_NATIVE_IDENTITY	NO_NEW_AI_TRANSLATION_PROBLEM_IDENTIFIED_V1	No new TLB/PTW mechanism; path response is not additive runtime fraction	docs/vm_tlb/review_packs/AWMA_AI_TRANSLATION_NATIVE_RESIDUAL_174NEW_V1/REPORT.md
E_CLASSIC_DEDUP	9efe8236e0c6338addfef5480e1da91bffb504eb	Qwen and qualified attention targets	Classic intra-warp VPN dedup covers old PREL1 benefit	SIMULATOR	CLASSIC_INTRAWARP_CAPABILITY_COVERS_CURRENT_BENEFIT	Do not repackage PREL1 as a novel candidate	docs/vm_tlb/review_packs/AWMA_INTRAWARP_TRANSLATION_BASELINE_AND_RESIDUAL_V1/REPORT.md
E_OBJECT_FORMAL	39c23ed4a2b2fde61b762aac6362c4ede7ab9879	Q05_ATTN/Q05_GEMM	258048 and 1245184 active-lane address events fall outside bound object ranges	NVBIT_FORMAL_INGEST	Preserve both targets as UNKNOWN_RUNTIME; exact event/page aggregates only	No object class, byte width, reuse distance, cross-shard or hardware order	docs/vm_tlb/review_packs/C16_FIRST_V2_FORMAL_INGEST_174NEW_V1/OBJECT_ATTRIBUTION.tsv
E_OBJECT_Q05	8f7fb5bffe6b51f74a51866233f4725e274550dd	Q05 prefill Flash	Formal simulator object map distinguishes 525 KV misses and 1575 unknown-data misses in one target	SIMULATOR	Single-target object-attributed counts under exact map	No weights/activation/lifetime contrast; no causal performance cost	docs/vm_tlb/review_packs/AWMA_FIRST_CURRENT_MODEL_BASELINE_SIM_174NEW_V1/raw/replay_1/telemetry/L1D_OBJECT_STATS.tsv
E_CONTEXT_PREFIX	2640c4368aea1dc44eb6c34fdc9bb5f738ec3fb2	Q05 prefill Flash P1/P2/P4/P8/P16/P34	Same target varies 835145-895312 cycles with real predecessor suffix; instructions/CTA fixed	SIMULATOR_CONTEXT_REPLAY	L2 data and translation state persist; L1D is flushed; target delta is measured at exact boundary	No root-cause label; no generic fusion or translation mechanism	docs/vm_tlb/review_packs/AWMA_Q05_CONTEXTUAL_WARM_PREFIX_REPLAY_174NEW_V1/WARM_PREFIX_RESULTS.tsv
E_AWQ_NATIVE	c9f948382b1312c43457d41122c5b17a4f29a877	Qwen2.5-7B-AWQ S2 text	Qualified standalone median 1596.41956 ms; 6.522 GB allocated / 6.872 GB reserved	NATIVE_NSYS	Exact AWQ standalone identity and timing/census are scientific-eligible	No comparison to raw 7B; no per-operator semantic timing	docs/vm_tlb/codex_handoff/c16/autodl_wave1/P3_AWQ_S2_TEXT_G1_CHECKPOINT.json
E_AWQ_SEMANTIC	d473906f83d9a94060f4092e703ac9dd3c05c77e	Qwen2.5-7B-AWQ S2 text direct semantic	47.49% prefill and 46.81% decode GPU time directly mapped; remaining rows UNKNOWN	NATIVE_NSYS_DIAGNOSTIC	Direct operator/layer identity qualification within its own run	NOT_FOR_NATIVE_TIMING; not selector or performance result	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_g_wave1_native/direct_semantic_p3_awq_s2/SEMANTIC_COVERAGE.tsv
E_RAW7B_BLOCK	b5e48f7a69d3bc3a978660a99e53907ef5072b6e	Qwen2.5-7B raw S0	CUDA OOM during frozen resource admission	NATIVE_PREFLIGHT	No raw baseline or G1 result exists under no-offload contract	No AWQ-vs-raw runtime/traffic contrast	docs/vm_tlb/codex_handoff/c16/autodl_wave1/P2_RAW_S0_RESOURCE_ADMISSION.json
E_MULTIMODEL_BLOCK	556ab6ca39425cf1c7642db6f1327594309071b3	Post-Llama Qwen/AWQ/DeepSeek/GLM campaign	No successful full-model formal trace; assets unavailable under exact identity	NVBIT_CAMPAIGN_CLOSEOUT	Blocked models are not scientific positives	No substitution, download, or inference from absent traces	docs/vm_tlb/review_packs/C16_MULTIMODEL_NATIVE/lane_g_retry570_nvbit175_full_multimodel_campaign/CAMPAIGN_FINAL_REPORT.md
