page_size	q05_page	nearest_predecessor_member	distance_kernels	observed_in_predecessor
4K	0xfff			NO
4K	0x7dcbda000	32	2	YES
4K	0x7dcbda001	32	2	YES
4K	0x7dcbda002	32	2	YES
4K	0x7dcbda003	32	2	YES
4K	0x7dcbda004	32	2	YES
4K	0x7dcbda005	32	2	YES
4K	0x7dcbda006	32	2	YES
4K	0x7dcbda007	32	2	YES
4K	0x7dcbda008	32	2	YES
4K	0x7dcbda009	32	2	YES
4K	0x7dcbda00a	32	2	YES
4K	0x7dcbda00b	32	2	YES
4K	0x7dcbda00c	32	2	YES
4K	0x7dcbda00d	32	2	YES
4K	0x7dcbda00e	32	2	YES
4K	0x7dcbda00f	32	2	YES
4K	0x7dcbda010	32	2	YES
4K	0x7dcbda011	32	2	YES
4K	0x7dcbda012	32	2	YES
4K	0x7dcbda013	32	2	YES
4K	0x7dcbda014	32	2	YES
4K	0x7dcbda015	32	2	YES
4K	0x7dcbda016	32	2	YES
4K	0x7dcbda017	32	2	YES
4K	0x7dcbda018	32	2	YES
4K	0x7dcbda019	32	2	YES
4K	0x7dcbda01a	32	2	YES
4K	0x7dcbda01b	32	2	YES
4K	0x7dcbda01c	32	2	YES
4K	0x7dcbda01d	32	2	YES
4K	0x7dcbda01e	32	2	YES
4K	0x7dcbda01f	32	2	YES
4K	0x7dcbda020	32	2	YES
4K	0x7dcbda021	32	2	YES
4K	0x7dcbda022	32	2	YES
4K	0x7dcbda023	32	2	YES
4K	0x7dcbda024	32	2	YES
4K	0x7dcbda025	32	2	YES
4K	0x7dcbda026	32	2	YES
4K	0x7dcbda027	32	2	YES
4K	0x7dcbda028	32	2	YES
4K	0x7dcbda029	32	2	YES
4K	0x7dcbda02a	32	2	YES
4K	0x7dcbda02b	32	2	YES
4K	0x7dcbda02c	32	2	YES
4K	0x7dcbda02d	32	2	YES
4K	0x7dcbda02e	32	2	YES
4K	0x7dcbda02f	32	2	YES
4K	0x7dcbda030	32	2	YES
4K	0x7dcbda031	32	2	YES
4K	0x7dcbda032	32	2	YES
4K	0x7dcbda033	32	2	YES
4K	0x7dcbda034	32	2	YES
4K	0x7dcbda035	32	2	YES
4K	0x7dcbda036	32	2	YES
4K	0x7dcbda037	32	2	YES
4K	0x7dcbda038	32	2	YES
4K	0x7dcbda039	32	2	YES
4K	0x7dcbda03a	32	2	YES
4K	0x7dcbda03b	32	2	YES
4K	0x7dcbda03c	32	2	YES
4K	0x7dcbda03d	32	2	YES
4K	0x7dcbda03e	32	2	YES
4K	0x7dcbda03f	32	2	YES
4K	0x7dcbda040	32	2	YES
4K	0x7dcbda041	32	2	YES
4K	0x7dcbda042	32	2	YES
4K	0x7dcbda043	32	2	YES
4K	0x7dcbda044	32	2	YES
4K	0x7dcbda045	32	2	YES
4K	0x7dcbda046	32	2	YES
4K	0x7dcbda047	32	2	YES
4K	0x7dcbda048	32	2	YES
4K	0x7dcbda049	32	2	YES
4K	0x7dcbda04a	32	2	YES
4K	0x7dcbda04b	32	2	YES
4K	0x7dcbda04c	32	2	YES
4K	0x7dcbda04d	32	2	YES
4K	0x7dcbda04e	32	2	YES
4K	0x7dcbda04f	32	2	YES
4K	0x7dcbda050	32	2	YES
4K	0x7dcbda051	32	2	YES
4K	0x7dcbda052	32	2	YES
4K	0x7dcbda053	32	2	YES
4K	0x7dcbda054	32	2	YES
4K	0x7dcbda055	32	2	YES
4K	0x7dcbda056	32	2	YES
4K	0x7dcbda057	32	2	YES
4K	0x7dcbda058	32	2	YES
4K	0x7dcbda059	32	2	YES
4K	0x7dcbda05a	32	2	YES
4K	0x7dcbda05b	32	2	YES
4K	0x7dcbda05c	32	2	YES
4K	0x7dcbda05d	32	2	YES
4K	0x7dcbda05e	32	2	YES
4K	0x7dcbda05f	32	2	YES
4K	0x7dcbda060	32	2	YES
4K	0x7dcbda061	32	2	YES
4K	0x7dcbda062	32	2	YES
4K	0x7dcbda063	32	2	YES
4K	0x7dcbda064	32	2	YES
4K	0x7dcbda065	32	2	YES
4K	0x7dcbda066	32	2	YES
4K	0x7dcbda067	32	2	YES
4K	0x7dcbda068	32	2	YES
4K	0x7dcbda069	32	2	YES
4K	0x7dcbda06a	32	2	YES
4K	0x7dcbda06b	32	2	YES
4K	0x7dcbda06c	32	2	YES
4K	0x7dcbda06d	32	2	YES
4K	0x7dcbda06e	32	2	YES
4K	0x7dcbda06f	32	2	YES
4K	0x7dcbda070	32	2	YES
4K	0x7dcbda071	32	2	YES
4K	0x7dcbda072	32	2	YES
4K	0x7dcbda073	32	2	YES
4K	0x7dcbda074	32	2	YES
4K	0x7dcbda075	32	2	YES
4K	0x7dcbda076	32	2	YES
4K	0x7dcbda077	32	2	YES
4K	0x7dcbda078	32	2	YES
4K	0x7dcbda079	32	2	YES
4K	0x7dcbda07a	32	2	YES
4K	0x7dcbda07b	32	2	YES
4K	0x7dcbda07c	32	2	YES
4K	0x7dcbda07d	32	2	YES
4K	0x7dcbda07e	32	2	YES
4K	0x7dcbda07f	32	2	YES
4K	0x7dcbda080	32	2	YES
4K	0x7dcbda081	32	2	YES
4K	0x7dcbda082	32	2	YES
4K	0x7dcbda083	32	2	YES
4K	0x7dcbda084	32	2	YES
4K	0x7dcbda085	32	2	YES
4K	0x7dcbda086	32	2	YES
4K	0x7dcbda087	32	2	YES
4K	0x7dcbda088	32	2	YES
4K	0x7dcbda089	32	2	YES
4K	0x7dcbda08a	32	2	YES
4K	0x7dcbda08b	32	2	YES
4K	0x7dcbda08c	32	2	YES
4K	0x7dcbda08d	32	2	YES
4K	0x7dcbda08e	32	2	YES
4K	0x7dcbda08f	32	2	YES
4K	0x7dcbda090	32	2	YES
4K	0x7dcbda091	32	2	YES
4K	0x7dcbda092	32	2	YES
4K	0x7dcbda093	32	2	YES
4K	0x7dcbda094	32	2	YES
4K	0x7dcbda095	32	2	YES
4K	0x7dcbda096	32	2	YES
4K	0x7dcbda097	32	2	YES
4K	0x7dcbda098	32	2	YES
4K	0x7dcbda099	32	2	YES
4K	0x7dcbda09a	32	2	YES
4K	0x7dcbda09b	32	2	YES
4K	0x7dcbda09c	32	2	YES
4K	0x7dcbda09d	32	2	YES
4K	0x7dcbda09e	32	2	YES
4K	0x7dcbda09f	32	2	YES
4K	0x7dcbda0a0	32	2	YES
4K	0x7dcbda0a1	32	2	YES
4K	0x7dcbda0a2	32	2	YES
4K	0x7dcbda0a3	32	2	YES
4K	0x7dcbda0a4	32	2	YES
4K	0x7dcbda0a5	32	2	YES
4K	0x7dcbda0a6	32	2	YES
4K	0x7dcbda0a7	32	2	YES
4K	0x7dcbda0a8	32	2	YES
4K	0x7dcbda0a9	32	2	YES
4K	0x7dcbda0aa	32	2	YES
4K	0x7dcbda0ab	32	2	YES
4K	0x7dcbda0ac	32	2	YES
4K	0x7dcbda0ad	32	2	YES
4K	0x7dcbda0ae	32	2	YES
4K	0x7dcbda0af	32	2	YES
4K	0x7dcbda0b0	32	2	YES
4K	0x7dcbda0b1	32	2	YES
4K	0x7dcbda0b2	32	2	YES
4K	0x7dcbda0b3	32	2	YES
4K	0x7dcbda0b4	32	2	YES
4K	0x7dcbda0b5	32	2	YES
4K	0x7dcbda0b6	32	2	YES
4K	0x7dcbda0b7	32	2	YES
4K	0x7dcbda0b8	32	2	YES
4K	0x7dcbda0b9	32	2	YES
4K	0x7dcbda0ba	32	2	YES
4K	0x7dcbda0bb	32	2	YES
4K	0x7dcbda0bc	32	2	YES
4K	0x7dcbda0bd	32	2	YES
4K	0x7dcbda0be	32	2	YES
4K	0x7dcbda0bf	32	2	YES
4K	0x7dcbda0c0	32	2	YES
4K	0x7dcbda0c1	32	2	YES
4K	0x7dcbda0c2	32	2	YES
4K	0x7dcbda0c3	32	2	YES
4K	0x7dcbda0c4	32	2	YES
4K	0x7dcbda0c5	32	2	YES
4K	0x7dcbda0c6	32	2	YES
4K	0x7dcbda0c7	32	2	YES
4K	0x7dcbda0c8	32	2	YES
4K	0x7dcbda0c9	32	2	YES
4K	0x7dcbda0ca	32	2	YES
4K	0x7dcbda0cb	32	2	YES
4K	0x7dcbda0cc	32	2	YES
4K	0x7dcbda0cd	32	2	YES
4K	0x7dcbda0ce	32	2	YES
4K	0x7dcbda0cf	32	2	YES
4K	0x7dcbda0d0	32	2	YES
4K	0x7dcbda0d1	32	2	YES
4K	0x7dcbda0d2	32	2	YES
4K	0x7dcbda0d3	32	2	YES
4K	0x7dcbda0d4	32	2	YES
4K	0x7dcbda0d5	32	2	YES
4K	0x7dcbda0d6	32	2	YES
4K	0x7dcbda0d7	32	2	YES
4K	0x7dcbda0d8	32	2	YES
4K	0x7dcbda0d9	32	2	YES
4K	0x7dcbda0da	32	2	YES
4K	0x7dcbda0db	32	2	YES
4K	0x7dcbda0dc	32	2	YES
4K	0x7dcbda0dd	32	2	YES
4K	0x7dcbda0de	32	2	YES
4K	0x7dcbda0df	32	2	YES
4K	0x7dcbda0e0	32	2	YES
4K	0x7dcbda0e1	32	2	YES
4K	0x7dcbda0e2	32	2	YES
4K	0x7dcbda0e3	32	2	YES
4K	0x7dcbda0e4	32	2	YES
4K	0x7dcbda0e5	32	2	YES
4K	0x7dcbda0e6	32	2	YES
4K	0x7dcbda0e7	32	2	YES
4K	0x7dcbda0e8	32	2	YES
4K	0x7dcbda0e9	32	2	YES
4K	0x7dcbda0ea	32	2	YES
4K	0x7dcbda0eb	32	2	YES
4K	0x7dcbda0ec	32	2	YES
4K	0x7dcbda0ed	32	2	YES
4K	0x7dcbda0ee	32	2	YES
4K	0x7dcbda0ef	32	2	YES
4K	0x7dcbda0f0	32	2	YES
4K	0x7dcbda0f1	32	2	YES
4K	0x7dcbda0f2	32	2	YES
4K	0x7dcbda0f3	32	2	YES
4K	0x7dcbda0f4	32	2	YES
4K	0x7dcbda0f5	32	2	YES
4K	0x7dcbda0f6	32	2	YES
4K	0x7dcbda0f7	32	2	YES
4K	0x7dcbda0f8	32	2	YES
4K	0x7dcbda0f9	32	2	YES
4K	0x7dcbda0fa	32	2	YES
4K	0x7dcbda0fb	32	2	YES
4K	0x7dcbda0fc	32	2	YES
4K	0x7dcbda0fd	32	2	YES
4K	0x7dcbda0fe	32	2	YES
4K	0x7dcbda0ff	32	2	YES
4K	0x7dcbda100	32	2	YES
4K	0x7dcbda101	32	2	YES
4K	0x7dcbda102	32	2	YES
4K	0x7dcbda103	32	2	YES
4K	0x7dcbda104	32	2	YES
4K	0x7dcbda105	32	2	YES
4K	0x7dcbda106	32	2	YES
4K	0x7dcbda107	32	2	YES
4K	0x7dcbda108	32	2	YES
4K	0x7dcbda109	32	2	YES
4K	0x7dcbda10a	32	2	YES
4K	0x7dcbda10b	32	2	YES
4K	0x7dcbda10c	32	2	YES
4K	0x7dcbda10d	32	2	YES
4K	0x7dcbda10e	32	2	YES
4K	0x7dcbda10f	32	2	YES
4K	0x7dcbda110	32	2	YES
4K	0x7dcbda111	32	2	YES
4K	0x7dcbda112	32	2	YES
4K	0x7dcbda113	32	2	YES
4K	0x7dcbda114	32	2	YES
4K	0x7dcbda115	32	2	YES
4K	0x7dcbda116	32	2	YES
4K	0x7dcbda117	32	2	YES
4K	0x7dcbda118	32	2	YES
4K	0x7dcbda119	32	2	YES
4K	0x7dcbda11a	32	2	YES
4K	0x7dcbda11b	32	2	YES
4K	0x7dcbda11c	32	2	YES
4K	0x7dcbda11d	32	2	YES
4K	0x7dcbda11e	32	2	YES
4K	0x7dcbda11f	32	2	YES
4K	0x7dcbda120	32	2	YES
