member	global_lane_addresses	local_lane_addresses	shared_lane_addresses	excluded_lane_addresses
0	5505024	0	0	0
1	2048	0	0	0
2	4096	0	0	0
3	69632	0	0	135168
4	262144	0	0	0
5	65536	0	0	0
6	65536	0	0	0
7	65536	0	0	0
8	65536	0	0	0
9	262144	0	0	0
10	262144	0	0	0
11	3670016	0	0	0
12	917504	0	0	0
13	460800	0	0	0
14	1024	0	0	0
15	1024	0	0	0
16	5505024	0	0	0
17	3670016	0	0	0
18	5505024	0	0	0
19	3928064	0	0	12343296
20	999424	0	0	2260992
21	999424	0	0	2260992
22	5505024	0	0	0
23	1835008	0	0	0
24	3670016	0	0	0
25	5505024	0	0	0
26	5505024	0	0	0
27	786432	0	0	0
28	262144	0	0	0
29	524288	0	0	0
30	786432	0	0	0
31	786432	0	0	0
32	3670016	0	0	0
33	3670016	0	0	0
34	4386816	6483456	0	18694144
